isogroup28559	GO:0005929
isogroup5006	GO:0005929;GO:0005789;GO:0071782;GO:0005768;GO:0005794;GO:0032593;GO:0030670;GO:0055037;GO:0055038;GO:0005802;GO:0019003;GO:0005525;GO:0003924;GO:0007409;GO:0061467;GO:0032869;GO:0071786;GO:0016197;GO:0045200;GO:0097051;GO:0043001;GO:0006893;GO:0030859;GO:0072659;GO:0016192
isogroup190791	GO:0005783;GO:0030176;GO:0000246;GO:0006696
isogroup16460	GO:0005634;GO:0006355;GO:0006351
isogroup152653	GO:0016021;GO:0005765;GO:0005764;GO:0055085
isogroup34565	
isogroup14134	GO:0031902;GO:0005635;GO:0010458;GO:0031468;GO:0015031;GO:0007034
isogroup187692	GO:0005654;GO:0005634;GO:0043234;GO:0032993;GO:0003677;GO:0042802;GO:0003697;GO:0006974;GO:0034599;GO:0010792;GO:0000730;GO:0006310;GO:0006302;GO:0051260;GO:2000819
isogroup47956	GO:0016021;GO:0005639;GO:0016020;GO:0005637;GO:0031965;GO:0031490;GO:0070197;GO:0032926;GO:0030514;GO:0030512;GO:0006998
isogroup156558	GO:0031410;GO:0050135;GO:0061809;GO:0016740;GO:0007338
isogroup159709	GO:0005829;GO:0004842;GO:0001662;GO:0000209
isogroup57959	GO:0070062;GO:0005739;GO:0005525;GO:0046872;GO:0004613;GO:0006094
isogroup7126	GO:0034464;GO:0005814;GO:0005813;GO:0036064;GO:0060170;GO:0005929;GO:0016020;GO:0032391;GO:0001103;GO:0007411;GO:0060219;GO:0060271;GO:0048560;GO:0001736;GO:0090002;GO:0045444;GO:0060122;GO:1903251;GO:0035264;GO:0034260;GO:0021772;GO:0015031;GO:0032880;GO:0051492;GO:0061326;GO:0007608
isogroup161926	GO:0005634
isogroup192544	
isogroup1655	GO:0046658;GO:0005615;GO:0005507;GO:0004322;GO:0007568;GO:0006879;GO:0001889;GO:0030324;GO:0015679;GO:0046688;GO:0007584
isogroup166222	GO:0003723
isogroup526224	GO:0031012;GO:0004222;GO:0008270
isogroup122130	GO:0005604;GO:0005938;GO:0030054;GO:0032154;GO:0070062;GO:0005509;GO:0007049;GO:0051301;GO:0050896;GO:0007601
isogroup401631	GO:0030054;GO:0005737;GO:0030425;GO:0005887;GO:0016020;GO:0043025;GO:0005886;GO:0045202;GO:0008144;GO:0001965;GO:0004993;GO:0005096;GO:0030594;GO:0051378;GO:0007610;GO:0019722;GO:0003300;GO:0071418;GO:1904015;GO:0071502;GO:0006182;GO:0048598;GO:0070371;GO:0007186;GO:0003007;GO:0035733;GO:0043647;GO:0014827;GO:0034220;GO:0043066;GO:0010507;GO:0060548;GO:0014033;GO:0001755;GO:0014065;GO:0007200;GO:0016310;GO:0051781;GO:0008284;GO:0001819;GO:0050715;GO:0001938;GO:0070374;GO:0043123;GO:0051000;GO:0010513;GO:0070528;GO:0007205;GO:0050795;GO:0051209;GO:0042493;GO:0007210;GO:0042310
isogroup397073	GO:0005813;GO:0005737;GO:0030496;GO:0072686;GO:1990023;GO:0097431;GO:0007049;GO:0051301;GO:0007346
isogroup234352	GO:0005576;GO:0051216;GO:0030154;GO:0035844;GO:0007368;GO:0009953;GO:0048703;GO:0030514;GO:0045596;GO:0048793
isogroup232080	GO:0030054;GO:0005737;GO:0030425;GO:0038037;GO:0038039;GO:0005887;GO:0016020;GO:0045211;GO:0098793;GO:0042734;GO:0004965;GO:0007193;GO:0007214;GO:0007194
isogroup111550	GO:0016021;GO:0004555;GO:0005991
isogroup46246	GO:0005737;GO:0000790;GO:0005634;GO:0004536;GO:0006309;GO:0007420
isogroup507913	GO:0009507;GO:0009295;GO:0009508;GO:0004519;GO:0003723;GO:0045893;GO:0009451;GO:0042793
isogroup115836	GO:0005578;GO:0004222;GO:0008270;GO:0001658;GO:1902017;GO:0003073
isogroup30164	GO:0005576;GO:0032580;GO:0016021;GO:0016020;GO:0048471;GO:0030246;GO:0030145;GO:0004653;GO:0006493;GO:0018242;GO:0018243
isogroup69691	GO:0000324;GO:0016021;GO:0005774;GO:0015809;GO:0015819;GO:0051453
isogroup47177	GO:0005829;GO:0005794;GO:0005730;GO:0005654;GO:0031069;GO:1905515;GO:1901622
isogroup9225	GO:0071540;GO:0071541;GO:0043614;GO:0003729;GO:0003743;GO:0001732;GO:0002188
isogroup106456	GO:0090651;GO:0005903;GO:0070062;GO:0005902;GO:0016459;GO:0003779;GO:0005524;GO:0003774;GO:1904970;GO:0030154
isogroup205146	GO:0005634;GO:0003677
isogroup65974	GO:0005654;GO:0005773;GO:0004559;GO:0030246;GO:0008270;GO:0006013;GO:0006517
isogroup88146	GO:0005576;GO:0016491
isogroup160053	GO:0016021;GO:0005887;GO:0032421;GO:0005262;GO:0015278;GO:0015267;GO:0005216;GO:0097604;GO:0070588;GO:0006816;GO:0007166;GO:0050968;GO:0050966;GO:0051289;GO:0009409;GO:0042493;GO:0042542;GO:0014070;GO:0010033;GO:0048265;GO:0019233;GO:0050955
isogroup156364	GO:0016021;GO:0005524;GO:0016849;GO:0004674;GO:0009190;GO:0035556
isogroup60971	GO:0005905;GO:0031904;GO:0030117;GO:0032588;GO:0006886;GO:0016192
isogroup90974	GO:0045177;GO:0070062;GO:0016021;GO:0005622;GO:0005886;GO:0005509;GO:0001658;GO:0021987;GO:0072137;GO:0048565;GO:0001736;GO:0008543;GO:0003007;GO:0007157;GO:0035329;GO:0007156;GO:0060122;GO:0001822;GO:0072006;GO:0022008;GO:0007219;GO:0043931;GO:0007009;GO:0072307
isogroup104573	GO:0005789;GO:0031090;GO:0070330;GO:0008144;GO:0018585;GO:0020037;GO:0005506;GO:0015643;GO:0018879;GO:0042738;GO:0018917
isogroup64580	
isogroup221135	GO:0016021
isogroup397895	GO:0000791;GO:0000792;GO:0005654;GO:0005634;GO:0031519;GO:0035102;GO:0003682;GO:0003677;GO:0035064;GO:0030154;GO:0016569;GO:0045137;GO:0000122;GO:0006351
isogroup301841	GO:0016491
isogroup3279	GO:0005737;GO:0005634;GO:0005667;GO:0003677;GO:0000981;GO:0003713;GO:0008134;GO:0043276;GO:0008544;GO:0000278;GO:0070345;GO:0045944;GO:2000278;GO:0006357;GO:0006351
isogroup363568	GO:0016021;GO:0031227;GO:0044232;GO:0005886;GO:0008289;GO:0046872;GO:0006869
isogroup163072	GO:0004519;GO:0003676;GO:0003964;GO:0015074
isogroup103100	GO:0016021;GO:0005743;GO:0042721;GO:0005758;GO:0015031
isogroup169664	GO:0016021;GO:0005886;GO:0007411;GO:0007155;GO:0042552;GO:0007422;GO:0050808;GO:0019226
isogroup31422	GO:0005769;GO:0071203;GO:0015031
isogroup115389	GO:0005737;GO:0005524;GO:0003879;GO:0000287;GO:0000105
isogroup203536	GO:0005737;GO:0005622;GO:0005634;GO:0005524;GO:0004004;GO:0046872;GO:0003723;GO:0010501
isogroup15223	GO:0045177;GO:0070062;GO:0016021;GO:0005622;GO:0005886;GO:0005509;GO:0001658;GO:0021987;GO:0072137;GO:0048565;GO:0001736;GO:0008543;GO:0003007;GO:0007157;GO:0035329;GO:0007156;GO:0060122;GO:0001822;GO:0072006;GO:0022008;GO:0007219;GO:0043931;GO:0007009;GO:0072307
isogroup7596	GO:0005737;GO:0005829;GO:0070062;GO:0050662;GO:0009055;GO:0042356;GO:0050577;GO:0042802;GO:0016853;GO:0042351;GO:0019835;GO:0019673;GO:0007159
isogroup93374	GO:0036064;GO:0031410;GO:0005096;GO:0017137;GO:0090630;GO:1902018;GO:0032007;GO:0031398;GO:0070848
isogroup27811	GO:0005737;GO:0005525;GO:0003924;GO:0003746
isogroup85153	GO:0005829;GO:0000408;GO:0016020;GO:0005654;GO:0005634;GO:0005524;GO:0016787;GO:0002039;GO:0004674;GO:0006468;GO:1901796;GO:0008033;GO:0070525
isogroup5734	GO:0016021;GO:0031227;GO:0044232;GO:0005886;GO:0008289;GO:0046872;GO:0006869
isogroup100769	GO:0005615;GO:0005509
isogroup160729	GO:0005739;GO:0005524;GO:0004004;GO:0046872;GO:0003723;GO:0006396
isogroup336151	GO:0005576;GO:0005615;GO:0019897;GO:0070492;GO:0005547;GO:0043325;GO:0080025;GO:0032266;GO:0005546;GO:0070273;GO:0010314;GO:0001786;GO:0016062;GO:0007155;GO:0051260;GO:0010842;GO:0007601
isogroup1367	GO:0016021;GO:0008250;GO:0018279
isogroup145766	GO:0005829;GO:0030426;GO:0043005;GO:0005886;GO:0035254;GO:0005085;GO:0005088;GO:0005089;GO:0090630;GO:0008283;GO:0007616;GO:0000165;GO:0031175;GO:0043547;GO:0046579;GO:0048168;GO:2000310;GO:0035020;GO:0046578;GO:0035023;GO:0048167;GO:0007165;GO:0007264
isogroup312441	GO:0016020;GO:0005524;GO:0031072;GO:0046872;GO:0051082;GO:0006457;GO:0009408
isogroup61918	GO:0003964;GO:0006313
isogroup223360	GO:0008168
isogroup290518	GO:0005789;GO:0016021;GO:0046872;GO:0016740;GO:0016567;GO:0006986
isogroup7665	GO:0030121;GO:0045176;GO:0060271;GO:0009792;GO:0006886;GO:0002119;GO:0097500;GO:0016192;GO:0040025
isogroup97837	GO:0005912;GO:0070062;GO:0005794;GO:0005887;GO:0016020;GO:0005886;GO:0005178;GO:0042577;GO:0008195;GO:0004721;GO:0042392;GO:0060020;GO:0001568;GO:0044329;GO:0044328;GO:0044330;GO:0001702;GO:0008354;GO:0034109;GO:0006629;GO:0001933;GO:0046839;GO:0006644;GO:0050731;GO:0051091;GO:0050821;GO:1902068;GO:0030111;GO:0030148
isogroup72292	GO:0030659;GO:0016021;GO:0015171;GO:0003333;GO:0006836
isogroup23958	GO:0005737;GO:0070062;GO:0005576;GO:0005615;GO:0019898;GO:0030670;GO:0042589;GO:0048306;GO:0005044;GO:0008329;GO:0035375;GO:0044267;GO:0050829;GO:0050830;GO:0051607;GO:0030855;GO:0043152;GO:0045087;GO:0007275;GO:0015031
isogroup349176	GO:0016021;GO:0005886;GO:0045227;GO:0009405
isogroup57534	GO:0043679;GO:0044308;GO:0030425;GO:0005769;GO:0031901;GO:0005789;GO:0016021;GO:0043231;GO:0005770;GO:0005886;GO:0055038;GO:0015386;GO:0015385;GO:0048675;GO:0031547;GO:0097484;GO:0060996;GO:0006811;GO:0048812;GO:0071805;GO:0051453;GO:0051386;GO:0098719;GO:0050808;GO:0006810
isogroup88571	GO:0005634;GO:0001046;GO:0046983;GO:0000977;GO:0001228;GO:0009994;GO:0045944;GO:0001545;GO:0010468;GO:0007283
isogroup96842	GO:0030054;GO:0016021;GO:0005886;GO:0045211;GO:0005524;GO:0004714;GO:0030154;GO:0007275;GO:0008582
isogroup64484	GO:0005737;GO:0046570;GO:0008270;GO:0006915;GO:0019509
isogroup94169	GO:0005858;GO:0005737;GO:0005874;GO:0005524;GO:0016887;GO:0003777;GO:0001539;GO:0007018
isogroup404742	GO:0005737;GO:0016020;GO:0047677;GO:0004096;GO:0020037;GO:0047987;GO:0005506;GO:0019369;GO:0031408
isogroup224338	GO:0005737;GO:0033588;GO:0008023;GO:0008607;GO:0006357;GO:0006351;GO:0002098
isogroup5481	
isogroup132204	GO:0005737;GO:0005886;GO:0005509;GO:0004435;GO:0004629;GO:0004871;GO:0035556;GO:0016042;GO:0046488
isogroup53150	
isogroup8219	GO:0005576;GO:0004867
isogroup264127	GO:0071013;GO:0031048;GO:0016246;GO:0006396
isogroup43377	GO:0030663;GO:0033116;GO:0016021
isogroup79115	GO:0005788;GO:0005576;GO:0004065;GO:0046872;GO:0006687;GO:0043687
isogroup10400	GO:0005737;GO:0005634;GO:0000943;GO:0004190;GO:0005524;GO:0003677;GO:0003887;GO:0008233;GO:0004540;GO:0003723;GO:0003964;GO:0004523;GO:0008270;GO:0015074;GO:0006310;GO:0032197
isogroup218755	GO:0005789;GO:0043231;GO:0031090;GO:0020037;GO:0005506;GO:0008396;GO:0008387;GO:0006699;GO:0030573;GO:0006707;GO:0007586
isogroup396082	GO:0030054;GO:0005829;GO:0019898;GO:0016021;GO:0097038;GO:0005886;GO:0098793;GO:0030672;GO:0005509;GO:0005544;GO:0048306;GO:0030276;GO:0001786;GO:0042803;GO:0019905;GO:0060478;GO:0048791;GO:0017158;GO:0006906
isogroup561902	GO:0004519;GO:0046872;GO:0003964;GO:0006310
isogroup160503	GO:0016020;GO:0016491
isogroup285911	GO:0005737;GO:0005634;GO:0000943;GO:0004190;GO:0005524;GO:0003677;GO:0003887;GO:0008233;GO:0004540;GO:0003723;GO:0003964;GO:0004523;GO:0008270;GO:0015074;GO:0006310;GO:0032197
isogroup172138	GO:0016021;GO:0005524;GO:0005007;GO:0008284
isogroup68907	GO:0005829;GO:0070062;GO:0016020;GO:0042803
isogroup81397	GO:0005581;GO:0005737;GO:0005578
isogroup207692	GO:0000775;GO:0000307;GO:0005737;GO:0005829;GO:0035974;GO:0072686;GO:1990023;GO:0044732;GO:0000790;GO:0005634;GO:0005524;GO:0097472;GO:0004693;GO:0004672;GO:0004674;GO:0008353;GO:0030154;GO:0098783;GO:0016572;GO:1905785;GO:1902424;GO:0031138;GO:2001033;GO:0001100;GO:1903467;GO:1902845;GO:1904537;GO:1905168;GO:1900087;GO:0010971;GO:1903465;GO:1903380;GO:0045842;GO:0031031;GO:0008361;GO:0010389;GO:0010468;GO:0051445;GO:0072429;GO:1990820;GO:0072435;GO:0072434;GO:0007089
isogroup213997	GO:0005829;GO:0005886;GO:0051260
isogroup5274	GO:0005913;GO:0005737;GO:0016281;GO:0016020;GO:0045296;GO:0003723;GO:0008135;GO:0003743;GO:0034645;GO:0010507;GO:0030307;GO:0006446
isogroup115312	GO:0016021;GO:0005887;GO:0098793;GO:0004952;GO:0001588;GO:0004930;GO:0007191;GO:0008306;GO:0071329;GO:0007212;GO:0007612;GO:0007613;GO:0008355;GO:0090328;GO:0099509;GO:1990834;GO:0042594;GO:0009744;GO:0040040;GO:0043052;GO:0008542
isogroup21685	GO:0005783;GO:0005788;GO:0005789;GO:0005576;GO:0005794;GO:0042470;GO:0016020;GO:0033018;GO:0005509;GO:0002576
isogroup177775	GO:0005886;GO:0001518;GO:0030018;GO:0031402;GO:0005248;GO:0050966;GO:0086010;GO:0019228
isogroup67535	GO:0051260
isogroup211040	GO:0016021;GO:0005524;GO:0070733
isogroup9067	GO:0009986;GO:0030118;GO:0030665;GO:0005769;GO:0030139;GO:0005768;GO:0070062;GO:0005615;GO:0005925;GO:0005794;GO:0005887;GO:0005770;GO:0005765;GO:0005764;GO:0016020;GO:0005641;GO:0048471;GO:0005886;GO:0030667;GO:0005802;GO:0032588;GO:0030140;GO:0030133;GO:0019899;GO:0001965;GO:0004930;GO:0001948;GO:0042802;GO:0031995;GO:0005010;GO:0005537;GO:0051219;GO:0004872;GO:0001972;GO:0005215;GO:0031100;GO:0001889;GO:0061024;GO:0043312;GO:0043065;GO:0009791;GO:0006898;GO:0032526;GO:0007165;GO:0007283
isogroup172693	GO:0030673;GO:0016323;GO:0005856;GO:0005829;GO:0031430;GO:0005634;GO:0005886;GO:0045211;GO:0042383;GO:0016529;GO:0014731;GO:0030018;GO:0051117;GO:0008093;GO:0019899;GO:0030507;GO:0005200;GO:0005198;GO:0007010;GO:0006888;GO:0006887;GO:0045199;GO:0010638;GO:0072661;GO:0007165
isogroup19419	GO:0005789;GO:0016021;GO:0048038;GO:0047057;GO:0034599;GO:0017187;GO:0042373
isogroup92777	GO:0005694;GO:0005737;GO:0016020;GO:0005730;GO:0005654;GO:0003723;GO:0007275;GO:0040019
isogroup9029	GO:0016324;GO:0005783;GO:0005793;GO:0016021;GO:0031528;GO:0005886
isogroup111704	GO:0045177;GO:0005938;GO:0005829;GO:0000922;GO:0001965;GO:0005092;GO:0042802;GO:0000166;GO:0000132;GO:0007186;GO:0060487;GO:0051661;GO:0007052
isogroup326418	GO:0005615;GO:0004252;GO:0007586
isogroup163647	GO:0016323;GO:0005887;GO:0016020;GO:0005886;GO:0031088;GO:0016404;GO:0005524;GO:0015662;GO:0042626;GO:0043225;GO:0060271;GO:0002576;GO:0048661;GO:0032310;GO:0042493;GO:0014070;GO:0010243;GO:0055085
isogroup485271	GO:0005737;GO:0030425;GO:0005769;GO:0005794;GO:0008270;GO:0015031
isogroup197709	GO:0005783;GO:0016021;GO:0017040;GO:0007420;GO:0046514;GO:0019216;GO:0006665
isogroup304971	GO:0005737;GO:0005829;GO:0005634;GO:0004843;GO:0036459;GO:0101005;GO:1904332;GO:0016579;GO:0035871;GO:0070536;GO:0006511
isogroup118732	GO:0005789;GO:0031090;GO:0070330;GO:0020037;GO:0005506;GO:0004497
isogroup279446	GO:0045177;GO:0070062;GO:0016021;GO:0005622;GO:0005886;GO:0005509;GO:0001658;GO:0021987;GO:0072137;GO:0048565;GO:0008543;GO:0003007;GO:0007157;GO:0035329;GO:0007156;GO:0060122;GO:0022008;GO:0007219;GO:0043931;GO:0007009;GO:0072307
isogroup179794	
isogroup152012	GO:0005634;GO:0003677;GO:0008270;GO:0006355;GO:0006351
isogroup157609	GO:0004190;GO:0004519;GO:0046872;GO:0003723;GO:0003964
isogroup175437	GO:0005634
isogroup50899	GO:0016021;GO:0005770;GO:0043025;GO:0005886;GO:0055037;GO:0015088;GO:0006878;GO:0072719;GO:0015677;GO:0098705;GO:0006855
isogroup82849	GO:0004721
isogroup472400	GO:0005576;GO:0016020
isogroup76256	GO:0005737;GO:0005829;GO:0097504;GO:0016020;GO:0016604;GO:0005654;GO:0032797;GO:0034718;GO:0034719;GO:0003730;GO:0043022;GO:0000340;GO:0003723;GO:0017069;GO:0030619;GO:0030621;GO:0030622;GO:0006417;GO:0000387;GO:0006412
isogroup18803	GO:0008168
isogroup650606	
isogroup1982	GO:0045177;GO:0005903;GO:0070062;GO:0016460;GO:0001725;GO:0030018;GO:0005509;GO:0032036;GO:0008360
isogroup112254	GO:0005829;GO:0005764;GO:0005086;GO:0030507;GO:0030036;GO:0031589;GO:0006935;GO:0043327;GO:0031154;GO:0072661;GO:0032012
isogroup28281	GO:0005634;GO:0003723
isogroup11805	GO:0005737;GO:0005871;GO:0005874;GO:0003777
isogroup46595	GO:0016021;GO:0000293;GO:0046872
isogroup20217	GO:0036064;GO:0005829;GO:0005634;GO:0003677;GO:0005525;GO:0032794;GO:0005096;GO:0003924;GO:0005543;GO:0032403;GO:0007411;GO:0007413;GO:0016477;GO:0031668;GO:0021955;GO:0030950;GO:0030879;GO:0097485;GO:0045724;GO:0043547;GO:0010976;GO:0032956;GO:0008064;GO:0050770;GO:0006355;GO:0007165;GO:0006351;GO:0044319
isogroup3824	GO:0005737;GO:0046872;GO:0004748;GO:0009263;GO:0006260
isogroup39097	GO:0005829;GO:0031985;GO:0016020;GO:0043025;GO:0005886;GO:0005524;GO:0046872;GO:0030165;GO:0004674;GO:0017048;GO:0097110;GO:0017124;GO:0000910;GO:0000086;GO:0048699;GO:0007030;GO:0035556;GO:0000278;GO:0000281;GO:0051402;GO:0032467;GO:0008064
isogroup114397	GO:0016592;GO:0001047;GO:0001104;GO:0045648;GO:0006351
isogroup28200	GO:0005634;GO:0005525;GO:0004484;GO:0004651;GO:0004725;GO:0008138;GO:0050355;GO:0006370
isogroup60029	
isogroup9433	GO:0016021;GO:0005886;GO:0046872;GO:0019903;GO:0031175
isogroup63479	GO:0043590;GO:0005737;GO:0030894;GO:0017117;GO:0005524;GO:0043140;GO:0004003;GO:0016887;GO:0003677;GO:0008094;GO:0009378;GO:0017116;GO:0046914;GO:0008270;GO:0006974;GO:0006310;GO:0006281;GO:0006260;GO:0009432
isogroup54205	GO:0005578;GO:0004222;GO:0008237;GO:0008270;GO:0035904;GO:0003279;GO:0060976
isogroup91009	GO:0005576;GO:0004252
isogroup25173	GO:0005929;GO:0030992;GO:0060271;GO:0042073
isogroup76651	GO:0005576;GO:0004623;GO:0050482;GO:0016042;GO:0006644
isogroup3142	GO:0005737;GO:0005856;GO:0003779;GO:0005509;GO:0051693;GO:0030043;GO:0030041;GO:0051014;GO:0045010;GO:0007275
isogroup158903	GO:0005737;GO:0005634;GO:0019900;GO:0046872;GO:0000977;GO:0001078;GO:0060536;GO:0016477;GO:0001837;GO:0003198;GO:0031069;GO:0060972;GO:0001707;GO:0060806;GO:0043518;GO:1902230;GO:0000122;GO:0010957;GO:0061314;GO:0001649;GO:0060021;GO:0030335;GO:0010718;GO:0045893;GO:2000810;GO:0060707
isogroup223145	GO:0046872;GO:0003964
isogroup66909	GO:0005829;GO:0005634;GO:0004857;GO:0042393;GO:0042826;GO:0055082;GO:0032869;GO:0006006;GO:0001701;GO:0035264;GO:0045717;GO:0000122;GO:0016567;GO:0008361
isogroup387205	GO:0009507;GO:0051537;GO:0009055;GO:0046872;GO:0022900
isogroup59706	GO:0005604;GO:0005938;GO:0030054;GO:0032154;GO:0070062;GO:0005576;GO:0005509;GO:0007049;GO:0051301
isogroup230412	GO:0005759;GO:0005739;GO:0003996;GO:0005524;GO:0047760;GO:0015645;GO:0004321;GO:0046872;GO:0005549;GO:0006637;GO:0006633;GO:0007608
isogroup102001	GO:0070062;GO:0005524
isogroup83321	GO:0005813;GO:0005737;GO:0030496;GO:0000922;GO:0007049;GO:0051301;GO:0007346
isogroup7793	GO:0016324;GO:0016323;GO:0005925;GO:0005887;GO:0016020;GO:0005886;GO:0008509;GO:0015301;GO:0019899;GO:0005452;GO:0006820;GO:0015701;GO:0048565;GO:0051453;GO:0007283
isogroup15125	GO:0008270;GO:0007275;GO:0006351
isogroup20494	GO:0005604;GO:0005938;GO:0030054;GO:0032154;GO:0070062;GO:0005509;GO:0007049;GO:0051301;GO:0050896;GO:0007601
isogroup122286	GO:0005829;GO:0005634;GO:0048858
isogroup44039	GO:0005783;GO:0005793;GO:0005576;GO:0005794;GO:0005509;GO:0007420;GO:0019752;GO:0060548;GO:0015031;GO:0016192
isogroup18567	
isogroup127370	GO:0016021;GO:0005743;GO:0070469;GO:0008137
isogroup56603	GO:0005829;GO:0070062;GO:0000118;GO:0005886;GO:0016787;GO:0000166;GO:0072332;GO:0050850;GO:0009154;GO:0006355;GO:0006351
isogroup12985	GO:0031390;GO:0005663;GO:0005634;GO:0005524;GO:0003689;GO:0019899;GO:0043142;GO:0006261;GO:1900264
isogroup108085	GO:0005769;GO:0035726;GO:0034058;GO:0002244;GO:0042176;GO:0048536;GO:0017145
isogroup394040	GO:0020037;GO:0005506;GO:0004497;GO:0016705
isogroup19093	GO:0005737;GO:0005829;GO:0000813;GO:0005794;GO:0005886;GO:0043130;GO:0015031;GO:0043162
isogroup15431	GO:0005737;GO:0046872;GO:0003723;GO:0006355
isogroup46510	GO:0005634;GO:0003723;GO:0003700;GO:0008270
isogroup4565	GO:0030127;GO:0005737;GO:0005783;GO:0070062;GO:0000139;GO:0060090;GO:0005509;GO:0004198;GO:0048306;GO:0046983;GO:0046982;GO:0003723;GO:0048208;GO:0006888;GO:0014032;GO:0014029;GO:1902527;GO:0006508;GO:0051592
isogroup16031	GO:0005525;GO:0003924;GO:0071346;GO:0042742;GO:0006955
isogroup67281	GO:0005587;GO:0005788;GO:0070062;GO:0031012;GO:0005576;GO:0005615;GO:0005201;GO:0001525;GO:0071560;GO:0030574;GO:0038063;GO:0035987;GO:0030198;GO:0016525;GO:0006351
isogroup475837	GO:0005604;GO:0071944;GO:0005737;GO:0033564;GO:0032488;GO:0040023;GO:0042472;GO:0030517;GO:0001764;GO:0045773;GO:2000147;GO:0008284;GO:0007265;GO:0030334;GO:0016337;GO:0006930
isogroup84841	GO:0005634;GO:0008022;GO:0008641;GO:0060216;GO:0061484;GO:0016925
isogroup37842	GO:0005737;GO:0016020;GO:0005815;GO:0030496;GO:0072686;GO:0005886;GO:0051233;GO:0005525;GO:0003924;GO:0030154;GO:0007399;GO:0032467;GO:1900026;GO:0051988;GO:0051489;GO:0007264
isogroup19704	GO:0005737;GO:0005524;GO:0030553;GO:0005525;GO:0005543;GO:0004672;GO:0004674;GO:0005088;GO:0004871;GO:0031589;GO:0019934;GO:0007163;GO:0051272;GO:0045860;GO:0046579;GO:0050920;GO:0007264
isogroup265	GO:0035578;GO:0005783;GO:0005768;GO:0070062;GO:0005576;GO:0005615;GO:0005764;GO:0005125;GO:0008083;GO:0003723;GO:0043312;GO:0007165
isogroup31433	GO:0005737;GO:0005829;GO:0005798;GO:0016020;GO:0048471;GO:0005524;GO:0004715;GO:0004672;GO:0004674;GO:0001077;GO:0071560;GO:0045944;GO:0046777
isogroup717967	GO:0030673;GO:0032590;GO:0005887;GO:0032809;GO:0042734;GO:0005275;GO:0005254;GO:0005329;GO:0005330;GO:0046872;GO:0015837;GO:0006821;GO:0090494;GO:0051583;GO:1905803;GO:1905847;GO:1901216
isogroup66712	GO:0005737
isogroup69203	GO:0005737;GO:0005887;GO:0043005;GO:0005886;GO:0042923;GO:0004994;GO:0007193;GO:0071385;GO:0007268;GO:0008285;GO:0050796
isogroup32309	GO:0072492;GO:0005758;GO:0005739;GO:0005886;GO:0005507;GO:0004129;GO:0042774;GO:0008535
isogroup350904	GO:0005759;GO:0005524;GO:0003676;GO:0052381;GO:0008270;GO:0070900
isogroup34040	
isogroup130380	GO:0005634;GO:0003723;GO:0003700;GO:0008270
isogroup98776	GO:0005634;GO:0003677;GO:0009299;GO:0007275;GO:0090698;GO:0006355;GO:0009416
isogroup111896	GO:0005737;GO:0070286;GO:0044458
isogroup34266	GO:0005929;GO:0005737;GO:0005524;GO:0030145;GO:0004674;GO:0004702;GO:0051301;GO:0006974;GO:0000278;GO:0045893;GO:0006468;GO:2000772;GO:1900062;GO:2001020
isogroup25103	GO:0031307;GO:0005739;GO:0005509;GO:0005525;GO:0003924;GO:0019725;GO:0097345;GO:0047497;GO:0007264
isogroup46938	GO:0008782;GO:0008930;GO:0019509;GO:0009164
isogroup27029	GO:0005680;GO:0005634;GO:0007049;GO:0051301;GO:0070979
isogroup92853	GO:0005829;GO:0000932;GO:0019005;GO:0031625;GO:0022008;GO:0043161;GO:0042787;GO:0030162
