query	qlen.bp	qtrans.aa	hit	hlen.aa
Cladocopium260957	4422	448	sp|O88871|GABR2_RAT	940
Cladocopium260957	3885	448	sp|O88871|GABR2_RAT	940
Cladocopium260957	4742	448	sp|O88871|GABR2_RAT	940
Cladocopium260992	965	130	sp|Q8RY89|PI5K8_ARATH	769
Cladocopium261010	2526	336	sp|Q12613|GLNA_COLGL	360
Cladocopium261010	2683	346	sp|Q86ZF9|GLNA_NEUCR	362
Cladocopium261010	1661	204	sp|P04078|GLNA1_MEDSA	356
Cladocopium261010	2547	344	sp|Q12613|GLNA_COLGL	360
Cladocopium261010	596	196	sp|Q12613|GLNA_COLGL	360
Cladocopium261289	1722	378	sp|Q9LPV5|NRT25_ARATH	502
Cladocopium261289	1736	375	sp|Q9LPV5|NRT25_ARATH	502
Cladocopium261289	1947	382	sp|Q9LPV5|NRT25_ARATH	502
Cladocopium261298	5208	1040	sp|Q9LKB9|MYO6_ARATH	1505
Cladocopium261298	5615	889	sp|F4K5J1|MYO17_ARATH	1531
Cladocopium261298	5436	864	sp|F4K5J1|MYO17_ARATH	1531
Cladocopium261298	1882	534	sp|F4IVR7|MYO10_ARATH	1770
Cladocopium261349	4938	161	sp|P47179|DAN4_YEAST	1161
Cladocopium261515	1719	251	sp|Q9SCX8|PPA17_ARATH	338
Cladocopium261607	1709	321	sp|Q4QRK0|MAP11_DANRE	386
Cladocopium261623	5235	1509	sp|P20054|PYR1_DICDI	2225
Cladocopium261639	784	195	sp|Q9LYZ7|UPL4_ARATH	1502
Cladocopium261639	6258	395	sp|F1RCR6|TRIPC_DANRE	2026
Cladocopium261639	3811	324	sp|F1RCR6|TRIPC_DANRE	2026
Cladocopium261664	2623	771	sp|Q9NQW1|SC31B_HUMAN	1179
Cladocopium261781	4613	209	sp|Q8T882|TADH_ARAIR	397
Cladocopium261781	5606	209	sp|Q8T882|TADH_ARAIR	397
Cladocopium261781	3952	209	sp|Q8T882|TADH_ARAIR	397
Cladocopium261781	3928	209	sp|Q8T882|TADH_ARAIR	397
Cladocopium261781	5618	209	sp|Q8T882|TADH_ARAIR	397
Cladocopium261802	698	212	sp|P32901|PTR2_YEAST	601
Cladocopium261819	2447	412	sp|Q99104|MYO5A_MOUSE	1853
Cladocopium261819	1423	412	sp|Q9Y4I1|MYO5A_HUMAN	1855
Cladocopium261911	2325	732	sp|Q75JI3|NSF_DICDI	738
Cladocopium262007	2188	609	sp|Q05746|HSP70_PLACB	686
Cladocopium262007	2204	609	sp|Q05746|HSP70_PLACB	686
Cladocopium262007	819	267	sp|Q05746|HSP70_PLACB	686
Cladocopium262012	3069	147	sp|Q9JJS0|SCUB2_MOUSE	997
Cladocopium262075	606	56	sp|Q53B88|NOD2_HYLLA	1040
Cladocopium262084	635	93	sp|Q9ZMU4|BCP_HELPJ	152
Cladocopium262103	3867	404	sp|O26759|Y663_METTH	412
Cladocopium262103	3841	399	sp|O26759|Y663_METTH	412
Cladocopium262103	3856	404	sp|O26759|Y663_METTH	412
Cladocopium262103	3802	403	sp|P69681|AMTB_ECOLI	428
Cladocopium262103	657	160	sp|O26759|Y663_METTH	412
Cladocopium262103	1575	404	sp|O26759|Y663_METTH	412
Cladocopium262103	3937	399	sp|O26759|Y663_METTH	412
Cladocopium262103	699	160	sp|O26759|Y663_METTH	412
Cladocopium262103	3956	404	sp|O26759|Y663_METTH	412
Cladocopium262103	538	146	sp|O66515|AMT_AQUAE	423
Cladocopium262103	3813	247	sp|P69681|AMTB_ECOLI	428
Cladocopium262103	1617	404	sp|O26759|Y663_METTH	412
Cladocopium262103	788	188	sp|O66515|AMT_AQUAE	423
Cladocopium262103	618	146	sp|O66515|AMT_AQUAE	423
Cladocopium262103	830	188	sp|O66515|AMT_AQUAE	423
Cladocopium262103	3852	399	sp|O26759|Y663_METTH	412
Cladocopium262103	540	128	sp|Q07429|AMTB_BACSU	404
Cladocopium262103	764	191	sp|O66515|AMT_AQUAE	423
Cladocopium262135	1239	291	sp|Q91ZV7|PLDX1_MOUSE	500
Cladocopium262135	1487	279	sp|Q91ZV7|PLDX1_MOUSE	500
Cladocopium262135	1160	291	sp|Q91ZV7|PLDX1_MOUSE	500
Cladocopium262135	1408	274	sp|Q91ZV7|PLDX1_MOUSE	500
Cladocopium262135	992	237	sp|Q91ZV7|PLDX1_MOUSE	500
Cladocopium262135	1233	282	sp|Q6DE92|PXDC2_XENLA	513
Cladocopium262173	2581	281	sp|P46863|KL61_DROME	1066
Cladocopium262185	3124	887	sp|Q59754|PPDK_RHIME	898
Cladocopium262185	1272	339	sp|Q59754|PPDK_RHIME	898
Cladocopium262185	1263	339	sp|Q59754|PPDK_RHIME	898
Cladocopium262304	1240	153	sp|Q96PP8|GBP5_HUMAN	586
Cladocopium262502	952	151	sp|P22152|CRNA_EMENI	507
Cladocopium262502	944	151	sp|P22152|CRNA_EMENI	507
Cladocopium262502	697	103	sp|P22152|CRNA_EMENI	507
Cladocopium262517	932	248	sp|Q14AK4|ZDH11_MOUSE	347
Cladocopium262517	1046	284	sp|Q14AK4|ZDH11_MOUSE	347
Cladocopium262751	4195	1079	sp|Q91V92|ACLY_MOUSE	1091
Cladocopium262751	4214	1079	sp|Q91V92|ACLY_MOUSE	1091
Cladocopium262751	4199	1079	sp|Q91V92|ACLY_MOUSE	1091
Cladocopium262793	4550	1225	sp|Q9Y719|MOK13_SCHPO	2358
Cladocopium262793	5826	702	sp|Q9USK8|AGS1_SCHPO	2410
Cladocopium262821	1019	145	sp|Q50KB1|SEP2_EMIHU	223
Cladocopium262902	1221	273	sp|Q5DTL9|S4A10_MOUSE	1118
Cladocopium262902	1966	530	sp|P04919|B3AT_MOUSE	929
Cladocopium262902	1945	523	sp|P23562|B3AT_RAT	927
Cladocopium262902	1916	530	sp|P23562|B3AT_RAT	927
Cladocopium262902	1123	266	sp|Q5DTL9|S4A10_MOUSE	1118
Cladocopium262902	1895	523	sp|P23562|B3AT_RAT	927
Cladocopium262902	1208	273	sp|Q5DTL9|S4A10_MOUSE	1118
Cladocopium263208	4915	597	sp|O30408|TYCB_BREPA	3587
Cladocopium263208	4900	597	sp|O30408|TYCB_BREPA	3587
Cladocopium263208	3792	212	sp|A8NVB7|N6235_COPC7	1026
Cladocopium263208	4896	596	sp|O30408|TYCB_BREPA	3587
Cladocopium263292	4317	419	sp|P12527|LOX5_RAT	673
Cladocopium263292	3758	341	sp|O16025|AOSL_PLEHO	1066
Cladocopium263297	3796	198	sp|P35859|ALS_RAT	603
Cladocopium263297	3822	198	sp|P35859|ALS_RAT	603
Cladocopium263341	6437	2059	sp|P11029|ACAC_CHICK	2324
Cladocopium263380	3586	1080	sp|Q2RMD6|PFOR_MOOTA	1171
Cladocopium263380	3114	925	sp|Q2RMD6|PFOR_MOOTA	1171
Cladocopium263380	2381	722	sp|Q94IN5|PNO_EUGGR	1803
Cladocopium263380	2401	722	sp|Q94IN5|PNO_EUGGR	1803
Cladocopium263503	1340	103	sp|Q9CR40|KLH28_MOUSE	571
Cladocopium263503	1090	164	sp|Q8CE33|KLH11_MOUSE	709
Cladocopium263503	1099	116	sp|Q9CR40|KLH28_MOUSE	571
Cladocopium263525	3002	257	sp|Q5JH51|METE_THEKO	336
Cladocopium263525	2993	257	sp|Q5JH51|METE_THEKO	336
Cladocopium263525	2956	257	sp|Q5JH51|METE_THEKO	336
Cladocopium263525	2947	257	sp|Q5JH51|METE_THEKO	336
Cladocopium263525	2416	478	sp|Q7TXM0|PPSA_MYCBO	1876
Cladocopium263631	814	153	sp|P0C8H2|VF859_ASFP4	859
Cladocopium263631	1432	153	sp|P0C8H0|VF859_ASFK5	859
Cladocopium263631	1267	257	sp|P0C8H0|VF859_ASFK5	859
Cladocopium263631	1469	153	sp|P0C8H0|VF859_ASFK5	859
Cladocopium263631	1068	153	sp|P0C8H0|VF859_ASFK5	859
Cladocopium263631	1304	257	sp|P0C8H0|VF859_ASFK5	859
Cladocopium263660	2148	120	sp|Q24816|RACC_ENTHI	194
Cladocopium263660	2007	120	sp|Q24816|RACC_ENTHI	194
Cladocopium263660	2106	120	sp|Q24816|RACC_ENTHI	194
Cladocopium263660	2049	120	sp|Q24816|RACC_ENTHI	194
Cladocopium263671	5206	77	sp|Q1ZXD6|ROCO5_DICDI	2800
Cladocopium263697	802	243	sp|O94289|LUB1_SCHPO	718
Cladocopium263720	6207	273	sp|Q6PAY8|HSDL2_XENLA	417
Cladocopium263720	6224	273	sp|Q6PAY8|HSDL2_XENLA	417
Cladocopium263746	4174	110	sp|Q9D2X0|ANR39_MOUSE	183
Cladocopium263746	3991	110	sp|Q9D2X0|ANR39_MOUSE	183
Cladocopium263746	3237	110	sp|Q9D2X0|ANR39_MOUSE	183
Cladocopium263746	4227	110	sp|Q9D2X0|ANR39_MOUSE	183
Cladocopium263838	1112	298	sp|Q4N655|RL5_THEPA	306
Cladocopium263846	919	197	sp|P62243|RS8_RAT	208
Cladocopium263847	795	191	sp|O65082|RL15B_PICMA	204
Cladocopium263850	1393	328	sp|A2XQE8|SAG39_ORYSI	339
Cladocopium263851	1356	321	sp|Q6RVV4|TIC32_PEA	316
Cladocopium263858	512	122	sp|Q9M0E2|RL282_ARATH	143
Cladocopium263868	1207	335	sp|O49923|ADK_PHYPA	343
Cladocopium263869	3438	1016	sp|P11024|NNTM_BOVIN	1086
Cladocopium263870	671	157	sp|C5FHU9|SKP1_ARTOC	165
Cladocopium263874	680	97	sp|Q8W493|FNRL2_ARATH	369
Cladocopium263881	1524	419	sp|P07205|PGK2_HUMAN	417
Cladocopium263883	503	167	sp|Q4N655|RL5_THEPA	306
Cladocopium263897	769	256	sp|Q9CA67|CHLP_ARATH	467
Cladocopium263900	733	165	sp|Q9TW32|PPIB_DICDI	197
Cladocopium263902	558	112	sp|Q9M0E2|RL282_ARATH	143
Cladocopium263906	1405	351	sp|A5HII1|ACTN_ACTDE	380
Cladocopium263909	508	107	sp|Q9XF62|DIP13_CHLRE	111
Cladocopium263910	554	94	sp|Q9W6X3|CH10_ORYLA	99
Cladocopium263911	668	83	sp|Q6BPF6|RL37_DEBHA	88
Cladocopium263914	652	190	sp|Q23858|CALR_DICDI	424
Cladocopium263916	620	80	sp|A0T0L2|PSAC_PHATC	81
Cladocopium263917	2285	379	sp|P0CN04|MET3_CRYNJ	581
Cladocopium263919	840	125	sp|A9VNZ4|GCSH_BACWK	127
Cladocopium263921	595	171	sp|P41129|RL132_BRANA	206
Cladocopium263922	1351	335	sp|P39896|TCMO_STRGA	339
Cladocopium263925	706	139	sp|O09452|G3PA_GUITH	386
Cladocopium263926	1006	86	sp|O17310|SXL_MUSDO	324
Cladocopium263931	2266	635	sp|P83829|IFT81_RAT	675
Cladocopium263934	617	170	sp|Q64152|BTF3_MOUSE	204
Cladocopium263939	1717	452	sp|Q02318|CP27A_HUMAN	531
Cladocopium263944	1676	242	sp|Q9ZW07|PUM1_ARATH	968
Cladocopium263948	1025	51	sp|Q559A0|GACU_DICDI	1164
Cladocopium263952	1173	201	sp|Q9DAK2|PACRG_MOUSE	241
Cladocopium263954	915	248	sp|Q9LXC9|IPYR6_ARATH	300
Cladocopium263959	1427	323	sp|Q10MW6|DJC27_ORYSJ	582
Cladocopium263961	746	186	sp|P42791|RL182_ARATH	187
Cladocopium263964	1598	476	sp|Q10Q08|RFA1B_ORYSJ	630
Cladocopium263965	1606	458	sp|Q5TD94|RSH4A_HUMAN	716
Cladocopium263979	1515	394	sp|Q9LFN6|RH56_ARATH	427
Cladocopium263983	1845	534	sp|Q9SF16|TCPH_ARATH	557
Cladocopium263984	962	279	sp|P43297|RD21A_ARATH	462
Cladocopium263991	1633	198	sp|Q10137|SEC14_SCHPO	286
Cladocopium263995	678	161	sp|Q8TGW7|SKP1_ARTOT	165
Cladocopium264005	1406	106	sp|Q6YNC8|H2AZ_SHEEP	128
Cladocopium264015	2025	148	sp|Q22918|IF5_CAEEL	436
Cladocopium264016	1005	238	sp|A5K7J8|RS3A_PLAVS	262
Cladocopium264017	889	212	sp|P05689|CATZ_BOVIN	304
Cladocopium264017	513	52	sp|Q9R1T3|CATZ_RAT	306
Cladocopium264026	674	108	sp|P40525|RL34B_YEAST	121
Cladocopium264028	1794	530	sp|Q8L7N0|TCPZB_ARATH	535
Cladocopium264031	837	139	sp|B5DGI7|RBM8A_SALSA	175
Cladocopium264033	1488	310	sp|Q86KU6|MTD1_DICDI	313
Cladocopium264038	814	209	sp|P31692|ADT_PARKE	339
Cladocopium264050	971	237	sp|P39721|AIM2_YEAST	246
Cladocopium264053	523	124	sp|O82528|RL15_PETHY	204
Cladocopium264056	918	248	sp|P43333|RU2A_ARATH	249
Cladocopium264058	746	156	sp|Q9NGP4|UBC9_DICDI	159
Cladocopium264060	957	226	sp|Q39604|IDLC_CHLRE	253
Cladocopium264063	1007	300	sp|P38132|MCM7_YEAST	845
Cladocopium264069	1490	405	sp|P53312|SUCB_YEAST	427
Cladocopium264071	660	148	sp|Q0VC92|MGN2_BOVIN	148
Cladocopium264076	775	178	sp|Q9SLA2|VATO2_ARATH	178
Cladocopium264079	562	148	sp|Q9LEJ0|ENO1_HEVBR	445
Cladocopium264081	687	121	sp|Q29361|RL35_PIG	123
Cladocopium264084	1211	245	sp|O04294|IMPA3_ARATH	531
Cladocopium264087	628	131	sp|P40978|RS19_ORYSJ	146
Cladocopium264092	2368	398	sp|Q9NES8|PPP5_CAEEL	496
Cladocopium264095	709	137	sp|Q67ZM4|ADF7_ARATH	137
Cladocopium264096	1914	279	sp|E2JA28|DDAC_ENTAG	329
Cladocopium264100	543	111	sp|B0G159|MCFC_DICDI	472
Cladocopium264106	2482	324	sp|Q8VDU0|GPSM2_MOUSE	679
Cladocopium264114	1734	516	sp|Q54CL2|TCPD_DICDI	533
Cladocopium264119	1206	330	sp|B0XFT7|EIF3I_CULQU	328
Cladocopium264121	662	116	sp|P08976|LH18_EUGGR	530
Cladocopium264122	696	193	sp|P12261|EF1G_ARTSA	430
Cladocopium264126	1387	236	sp|Q9AV39|GLO1A_ORYSJ	301
Cladocopium264135	1219	278	sp|Q9FGQ6|EB1C_ARATH	329
Cladocopium264139	926	205	sp|P46436|GST1_ASCSU	206
Cladocopium264140	1550	435	sp|Q92LW9|XYLA_RHIME	436
Cladocopium264144	526	108	sp|O04287|FKB12_VICFA	112
Cladocopium264146	1151	151	sp|Q5RC69|DCTD_PONAB	178
Cladocopium264157	825	171	sp|Q4WP12|PPIB_ASPFU	209
Cladocopium264158	529	128	sp|P38545|RAN_PLAFA	214
Cladocopium264164	2053	391	sp|Q9LT68|NHD1_ARATH	576
Cladocopium264165	715	83	sp|P27774|KPPR_MESCR	397
Cladocopium264169	2459	758	sp|Q15436|SC23A_HUMAN	765
Cladocopium264171	1003	220	sp|Q18169|LOVG_CAEEL	221
Cladocopium264172	2101	518	sp|Q4R630|NDC80_MACFA	642
Cladocopium264178	1346	103	sp|F8RP11|HSOP_WHEAT	581
Cladocopium264187	1120	265	sp|Q9JHW0|PSB7_RAT	277
Cladocopium264191	1331	321	sp|Q987N5|PANE_RHILO	326
Cladocopium264192	1273	300	sp|H3ZPL1|ARAT1_THELN	417
Cladocopium264199	581	193	sp|P11024|NNTM_BOVIN	1086
Cladocopium264200	1834	309	sp|Q8R3F5|FABD_MOUSE	381
Cladocopium264206	932	217	sp|P08579|RU2B_HUMAN	225
Cladocopium264207	896	62	sp|Q5B020|CWC15_EMENI	232
Cladocopium264208	603	140	sp|Q9X1C1|HPR_THEMA	306
Cladocopium264212	720	86	sp|Q39591|DYL4_CHLRE	129
Cladocopium264213	661	94	sp|O08585|CLCA_MOUSE	235
Cladocopium264218	1424	257	sp|P47124|HOC1_YEAST	396
Cladocopium264219	1876	416	sp|P70269|CATE_MOUSE	397
Cladocopium264226	874	202	sp|P21872|PUR2_CHICK	1003
Cladocopium264229	1565	423	sp|Q38885|SCY1_ARATH	551
Cladocopium264232	918	217	sp|Q7DLR9|PSB4_ARATH	246
Cladocopium264233	540	108	sp|Q86IV4|Y4775_DICDI	458
Cladocopium264235	511	120	sp|Q3B8D7|TC1DA_XENLA	177
Cladocopium264242	772	114	sp|E1C656|HACE1_CHICK	942
Cladocopium264246	833	170	sp|Q09734|MIP_TRYCR	196
Cladocopium264247	1125	267	sp|Q96M69|LRGUK_HUMAN	825
Cladocopium264248	1878	430	sp|Q56WF8|SCP48_ARATH	510
Cladocopium264249	1229	282	sp|Q8S2E5|KPRS3_ORYSJ	409
Cladocopium264260	505	99	sp|P58374|RL30_BRABE	114
Cladocopium264265	2582	232	sp|Q05744|CATD_CHICK	398
Cladocopium264266	2127	365	sp|Q6TDU7|CASC1_HUMAN	716
Cladocopium264271	1941	541	sp|K7IM66|EIF3D_NASVI	558
Cladocopium264276	1613	488	sp|Q3IE45|ILVC_PSEHT	490
Cladocopium264278	1330	303	sp|Q6P342|DGAT2_XENTR	361
Cladocopium264282	967	192	sp|Q8WYR4|RSPH1_HUMAN	309
Cladocopium264284	1024	271	sp|Q38931|FKB62_ARATH	551
Cladocopium264290	1381	314	sp|Q92GA4|Y1219_RICCN	301
Cladocopium264297	509	85	sp|Q9U7D0|H4_MASBA	108
Cladocopium264298	1954	477	sp|A8JF70|ODA1_CHLRE	552
Cladocopium264303	999	242	sp|Q42134|PSA5B_ARATH	237
Cladocopium264305	639	77	sp|Q08935|ROC1_NICSY	273
Cladocopium264306	908	228	sp|Q969X1|LFG3_HUMAN	311
Cladocopium264312	1823	386	sp|P37747|GLF_ECOLI	367
Cladocopium264314	866	203	sp|O65084|PSB3_PICMA	204
Cladocopium264316	1162	206	sp|Q96I24|FUBP3_HUMAN	572
Cladocopium264318	2553	513	sp|P55189|YBAR_BACSU	478
Cladocopium264324	1741	181	sp|Q5RCZ7|RCBT2_PONAB	551
Cladocopium264332	1213	322	sp|P31384|CCR4_YEAST	837
Cladocopium264334	1230	266	sp|Q8H110|XCT_ARATH	337
Cladocopium264336	1485	112	sp|P15705|STI1_YEAST	589
Cladocopium264337	1342	325	sp|D2Z027|DCSD_STRLA	324
Cladocopium264339	716	56	sp|P48870|COX2_CYACA	255
Cladocopium264345	1396	291	sp|Q5QN75|M2K1_ORYSJ	355
Cladocopium264354	1748	408	sp|Q28653|2A5D_RABIT	586
Cladocopium264360	1075	161	sp|P14832|CYPH_YEAST	162
Cladocopium264361	795	203	sp|Q9C718|RH20_ARATH	501
Cladocopium264364	1959	515	sp|Q6PGZ3|MIPT3_DANRE	629
Cladocopium264365	501	62	sp|Q945L0|CX6B2_ARATH	78
Cladocopium264370	895	238	sp|Q9ULC3|RAB23_HUMAN	237
Cladocopium264376	2161	568	sp|P13697|MAOX_RAT	572
Cladocopium264378	1055	103	sp|Q9STX1|ACBP3_ARATH	362
Cladocopium264383	1311	306	sp|Q8UAA9|BLH_AGRFC	431
Cladocopium264387	667	128	sp|Q50KB1|SEP2_EMIHU	223
Cladocopium264391	1566	386	sp|O88764|DAPK3_RAT	448
Cladocopium264397	2019	150	sp|P35134|UBC11_ARATH	148
Cladocopium264398	601	188	sp|O13755|OSM1_SCHPO	513
Cladocopium264399	965	240	sp|P52427|PSA4_SPIOL	250
Cladocopium264401	1073	168	sp|Q65X92|C3H37_ORYSJ	255
Cladocopium264405	847	70	sp|Q9BX10|GTPB2_HUMAN	602
Cladocopium264415	1635	79	sp|Q0P5F0|PPAL_BOVIN	423
Cladocopium264423	1701	325	sp|Q503L9|NXN_DANRE	418
Cladocopium264424	981	133	sp|P23869|PPIB_ECOLI	164
Cladocopium264427	1174	294	sp|Q54UD0|EIF3H_DICDI	319
Cladocopium264428	1888	528	sp|A0AVF1|IFT56_HUMAN	554
Cladocopium264437	1130	215	sp|Q93VV0|ZDHC6_ARATH	286
Cladocopium264446	2620	697	sp|Q9FVQ5|CSCL1_ARATH	806
Cladocopium264453	1746	331	sp|Q9S850|SUOX_ARATH	393
Cladocopium264457	568	168	sp|Q8W1L6|MFP_ORYSJ	726
Cladocopium264458	1450	321	sp|Q91819|AURAB_XENLA	408
Cladocopium264467	1630	473	sp|P33610|PRI2_MOUSE	505
Cladocopium264468	1146	312	sp|Q6QNM1|KC1_TOXGO	324
Cladocopium264471	1056	324	sp|Q96UF2|G3P2_MUCCL	338
Cladocopium264478	1712	521	sp|Q9SLX0|IMA1B_ORYSJ	534
Cladocopium264479	1329	355	sp|A8J0N6|DRC10_CHLRE	356
Cladocopium264481	1947	371	sp|Q800A0|CATE_LITCT	397
Cladocopium264482	1823	133	sp|Q7XJ60|EB1A_ARATH	276
Cladocopium264484	1082	219	sp|Q9ZR39|U2A2A_NICPL	555
Cladocopium264490	3287	392	sp|Q1JPG1|RS10B_BOVIN	840
Cladocopium264491	1258	139	sp|Q9Z3S6|CSPA_RHIME	69
Cladocopium264493	1164	290	sp|Q54C49|EIF3F_DICDI	284
Cladocopium264498	1644	468	sp|Q90ZM2|S61A1_DANRE	476
Cladocopium264499	2031	121	sp|B9FKW9|CDPKE_ORYSJ	522
Cladocopium264502	884	231	sp|O24362|PSA3_SPIOL	249
Cladocopium264506	1758	466	sp|Q24208|IF2G_DROME	475
Cladocopium264512	655	168	sp|Q7ZV68|VPS29_DANRE	182
Cladocopium264513	1311	116	sp|B6EUA9|PR40A_ARATH	958
Cladocopium264514	1339	347	sp|C5YUK3|FEN11_SORBI	380
Cladocopium264515	591	163	sp|O75602|SPAG6_HUMAN	509
Cladocopium264519	1616	457	sp|Q91WE6|CDKAL_MOUSE	578
Cladocopium264520	2127	453	sp|A5D8V7|CC151_HUMAN	595
Cladocopium264523	1408	233	sp|P0DMA5|SCNAA_ONYTO	1959
Cladocopium264534	886	214	sp|Q5UR59|YL803_MIMIV	243
Cladocopium264536	1152	316	sp|Q42971|ENO_ORYSJ	446
Cladocopium264538	1874	502	sp|Q58D72|ATLA1_BOVIN	558
Cladocopium264543	3611	743	sp|Q6Z4T5|POLIA_ORYSJ	1033
Cladocopium264546	1863	401	sp|Q9HAC7|SUCHY_HUMAN	445
Cladocopium264552	973	146	sp|Q9JM83|CALM4_MOUSE	148
Cladocopium264553	4591	186	sp|P39069|KAD1_RAT	194
Cladocopium264556	1203	305	sp|Q9UIJ5|ZDHC2_HUMAN	367
Cladocopium264560	1150	288	sp|Q46845|YGHU_ECOLI	288
Cladocopium264565	1315	261	sp|O82637|P2C61_ARATH	326
Cladocopium264566	1270	248	sp|F6QEU4|LIN41_XENTR	814
Cladocopium264574	1700	497	sp|Q949Y0|UBP6_ARATH	482
Cladocopium264589	718	96	sp|Q9VYV3|TXND5_DROME	416
Cladocopium264593	569	86	sp|O02414|DYL1_HELCR	89
Cladocopium264595	2807	869	sp|Q9UFE4|CCD39_HUMAN	941
Cladocopium264607	1541	457	sp|Q5BE22|PRP46_EMENI	452
Cladocopium264609	1272	257	sp|Q32KM6|MORN3_BOVIN	241
Cladocopium264611	2042	554	sp|Q23H79|CF206_TETTS	635
Cladocopium264617	1621	423	sp|A8JB22|DRC2_CHLRE	573
Cladocopium264618	1844	468	sp|Q8CDK3|IQUB_MOUSE	788
Cladocopium264631	2358	609	sp|A8ILK1|CFA52_CHLRE	615
