sym3_c0_seq1	sym3
sym7056_c0_seq1	sym7056
sym7056_c0_seq2	sym7056
sym7071_c0_seq1	sym7071
sym7119_c0_seq1	sym7119
sym7171_c0_seq1	sym7171
sym7225_c0_seq2	sym7225
sym7234_c0_seq1	sym7234
sym7234_c0_seq2	sym7234
sym7265_c0_seq1	sym7265
sym7401_c0_seq1	sym7401
sym7437_c0_seq1	sym7437
sym7464_c0_seq1	sym7464
sym7464_c0_seq2	sym7464
sym7482_c0_seq1	sym7482
sym7513_c0_seq1	sym7513
sym7546_c0_seq2	sym7546
sym7618_c0_seq2	sym7618
sym7619_c0_seq1	sym7619
sym7627_c0_seq1	sym7627
sym7656_c0_seq1	sym7656
sym7683_c0_seq1	sym7683
sym7746_c0_seq1	sym7746
sym7779_c0_seq1	sym7779
sym7843_c0_seq1	sym7843
sym7866_c0_seq1	sym7866
sym7867_c0_seq1	sym7867
sym7867_c0_seq2	sym7867
sym7886_c0_seq1	sym7886
sym7906_c0_seq1	sym7906
sym7939_c0_seq1	sym7939
sym7979_c0_seq1	sym7979
sym8124_c0_seq1	sym8124
sym8124_c0_seq2	sym8124
sym8172_c0_seq1	sym8172
sym8307_c0_seq1	sym8307
sym8360_c0_seq1	sym8360
sym8449_c0_seq1	sym8449
sym8453_c0_seq1	sym8453
sym8564_c0_seq1	sym8564
sym8596_c0_seq1	sym8596
sym8615_c0_seq1	sym8615
sym8771_c0_seq1	sym8771
sym8771_c0_seq2	sym8771
sym8773_c0_seq1	sym8773
sym8811_c0_seq1	sym8811
sym8824_c0_seq1	sym8824
sym8828_c0_seq1	sym8828
sym8851_c0_seq1	sym8851
sym8899_c0_seq4	sym8899
sym8942_c0_seq1	sym8942
sym9068_c0_seq1	sym9068
sym9108_c0_seq1	sym9108
sym9125_c0_seq1	sym9125
sym9125_c0_seq2	sym9125
sym9184_c0_seq1	sym9184
sym9232_c0_seq1	sym9232
sym9233_c0_seq1	sym9233
sym9261_c0_seq1	sym9261
sym9261_c0_seq2	sym9261
sym9317_c0_seq1	sym9317
sym9359_c0_seq1	sym9359
sym9379_c0_seq1	sym9379
sym9434_c0_seq1	sym9434
sym9488_c0_seq1	sym9488
sym9512_c0_seq1	sym9512
sym9522_c0_seq1	sym9522
sym9560_c0_seq1	sym9560
sym9666_c0_seq1	sym9666
sym9666_c0_seq2	sym9666
sym9787_c0_seq1	sym9787
sym9882_c0_seq1	sym9882
sym9915_c0_seq1	sym9915
sym9972_c0_seq1	sym9972
sym9981_c0_seq1	sym9981
sym9981_c0_seq2	sym9981
sym10007_c0_seq1	sym10007
sym10053_c0_seq1	sym10053
sym10063_c0_seq1	sym10063
sym10146_c0_seq1	sym10146
sym10263_c0_seq1	sym10263
sym10272_c0_seq1	sym10272
sym10309_c0_seq1	sym10309
sym10310_c0_seq1	sym10310
sym10331_c0_seq1	sym10331
sym10357_c0_seq1	sym10357
sym10357_c0_seq2	sym10357
sym10369_c0_seq1	sym10369
sym10376_c0_seq1	sym10376
sym10382_c0_seq1	sym10382
sym10579_c0_seq1	sym10579
sym10640_c0_seq1	sym10640
sym10675_c0_seq1	sym10675
sym10789_c0_seq1	sym10789
sym10792_c0_seq1	sym10792
sym10792_c0_seq2	sym10792
sym10894_c0_seq1	sym10894
sym10936_c0_seq1	sym10936
sym10946_c0_seq1	sym10946
sym10968_c0_seq1	sym10968
sym11005_c0_seq1	sym11005
sym11005_c0_seq2	sym11005
sym11223_c0_seq1	sym11223
sym11226_c0_seq1	sym11226
sym11231_c0_seq1	sym11231
sym11253_c0_seq1	sym11253
sym11384_c0_seq1	sym11384
sym11551_c0_seq2	sym11551
sym11748_c0_seq2	sym11748
sym11804_c0_seq1	sym11804
sym11849_c0_seq1	sym11849
sym11899_c0_seq1	sym11899
sym11899_c0_seq2	sym11899
sym11952_c0_seq1	sym11952
sym12017_c0_seq1	sym12017
sym12037_c0_seq1	sym12037
sym12065_c0_seq1	sym12065
sym12258_c0_seq1	sym12258
sym12275_c0_seq1	sym12275
sym12313_c0_seq1	sym12313
sym12316_c0_seq2	sym12316
sym12436_c0_seq1	sym12436
sym12643_c0_seq1	sym12643
sym12648_c0_seq1	sym12648
sym12689_c0_seq1	sym12689
sym12782_c0_seq1	sym12782
sym12801_c0_seq1	sym12801
sym12824_c0_seq1	sym12824
sym12830_c0_seq1	sym12830
sym12965_c0_seq1	sym12965
sym12979_c0_seq1	sym12979
sym13050_c0_seq1	sym13050
sym13114_c0_seq2	sym13114
sym13429_c0_seq1	sym13429
sym13438_c0_seq1	sym13438
sym13857_c0_seq1	sym13857
sym13920_c0_seq1	sym13920
sym13920_c0_seq2	sym13920
sym13933_c0_seq1	sym13933
sym13945_c0_seq1	sym13945
sym14047_c0_seq2	sym14047
sym14111_c0_seq1	sym14111
sym14157_c0_seq1	sym14157
sym14303_c0_seq1	sym14303
sym14321_c0_seq1	sym14321
sym14353_c0_seq1	sym14353
sym14448_c0_seq1	sym14448
sym14456_c0_seq1	sym14456
sym14742_c0_seq1	sym14742
sym14829_c0_seq1	sym14829
sym14829_c0_seq2	sym14829
sym14899_c0_seq1	sym14899
sym15027_c0_seq1	sym15027
sym15098_c0_seq1	sym15098
sym15114_c0_seq1	sym15114
sym15122_c0_seq1	sym15122
sym15165_c0_seq1	sym15165
sym15182_c0_seq1	sym15182
sym15217_c0_seq1	sym15217
sym15376_c0_seq1	sym15376
sym15506_c0_seq1	sym15506
sym15565_c0_seq1	sym15565
sym15666_c0_seq2	sym15666
sym15746_c0_seq1	sym15746
sym15772_c0_seq1	sym15772
sym15799_c0_seq1	sym15799
sym15799_c0_seq2	sym15799
sym15829_c0_seq1	sym15829
sym15845_c0_seq1	sym15845
sym15850_c0_seq1	sym15850
sym15897_c0_seq1	sym15897
sym15932_c0_seq1	sym15932
sym15960_c0_seq1	sym15960
sym15996_c0_seq1	sym15996
sym16064_c0_seq2	sym16064
sym16137_c0_seq1	sym16137
sym16466_c0_seq1	sym16466
sym16486_c0_seq1	sym16486
sym16492_c0_seq1	sym16492
sym16494_c0_seq1	sym16494
sym16496_c0_seq1	sym16496
sym16507_c0_seq1	sym16507
sym16589_c0_seq1	sym16589
sym16589_c0_seq2	sym16589
sym16633_c0_seq1	sym16633
sym16690_c0_seq1	sym16690
sym16819_c0_seq1	sym16819
sym16837_c0_seq1	sym16837
sym16871_c0_seq1	sym16871
sym16972_c0_seq1	sym16972
sym17043_c0_seq1	sym17043
sym17067_c0_seq1	sym17067
sym17122_c0_seq1	sym17122
sym17122_c0_seq2	sym17122
sym17152_c0_seq1	sym17152
sym17166_c0_seq2	sym17166
sym17189_c0_seq1	sym17189
sym17230_c0_seq1	sym17230
sym17377_c0_seq1	sym17377
sym17533_c0_seq1	sym17533
sym17543_c0_seq1	sym17543
sym17600_c0_seq1	sym17600
sym17756_c0_seq2	sym17756
sym17771_c0_seq1	sym17771
sym17835_c0_seq1	sym17835
sym17905_c0_seq1	sym17905
sym17912_c0_seq2	sym17912
sym17933_c0_seq1	sym17933
sym18038_c0_seq1	sym18038
sym18136_c0_seq1	sym18136
sym18160_c0_seq1	sym18160
sym18201_c0_seq1	sym18201
sym18201_c0_seq2	sym18201
sym18298_c0_seq1	sym18298
sym18313_c0_seq1	sym18313
sym18334_c0_seq1	sym18334
sym18334_c0_seq2	sym18334
sym18337_c0_seq1	sym18337
sym18337_c0_seq2	sym18337
sym18438_c0_seq1	sym18438
sym18683_c0_seq1	sym18683
sym18763_c0_seq1	sym18763
sym18783_c0_seq1	sym18783
sym18783_c0_seq2	sym18783
sym18789_c0_seq1	sym18789
sym18833_c0_seq1	sym18833
sym18842_c0_seq1	sym18842
sym18852_c0_seq1	sym18852
sym18852_c0_seq2	sym18852
sym18858_c0_seq1	sym18858
sym18881_c0_seq1	sym18881
sym18905_c0_seq1	sym18905
sym18917_c0_seq1	sym18917
sym18956_c0_seq1	sym18956
sym19009_c0_seq1	sym19009
sym19049_c0_seq2	sym19049
sym19092_c0_seq1	sym19092
sym19094_c0_seq1	sym19094
sym19113_c0_seq1	sym19113
sym19125_c0_seq1	sym19125
sym19137_c0_seq1	sym19137
sym19137_c0_seq2	sym19137
sym19223_c0_seq1	sym19223
sym19224_c0_seq1	sym19224
sym19231_c0_seq1	sym19231
sym19233_c0_seq1	sym19233
sym19237_c0_seq1	sym19237
sym19304_c0_seq1	sym19304
sym19305_c0_seq1	sym19305
sym19317_c0_seq1	sym19317
sym19332_c0_seq1	sym19332
sym19336_c0_seq1	sym19336
sym19349_c0_seq1	sym19349
sym19385_c0_seq1	sym19385
sym19386_c0_seq1	sym19386
sym19388_c0_seq1	sym19388
sym19392_c0_seq1	sym19392
sym19407_c0_seq1	sym19407
sym19418_c0_seq1	sym19418
sym19426_c0_seq1	sym19426
sym19461_c0_seq1	sym19461
sym19461_c0_seq2	sym19461
sym19465_c0_seq1	sym19465
sym19474_c0_seq1	sym19474
sym19553_c0_seq1	sym19553
sym19573_c0_seq1	sym19573
sym19594_c0_seq1	sym19594
sym19621_c0_seq1	sym19621
sym19702_c0_seq1	sym19702
sym19736_c0_seq1	sym19736
sym19748_c0_seq1	sym19748
sym19749_c0_seq1	sym19749
sym19772_c0_seq1	sym19772
sym19773_c0_seq1	sym19773
sym19775_c0_seq1	sym19775
sym19779_c0_seq1	sym19779
sym19795_c0_seq1	sym19795
sym19825_c0_seq1	sym19825
sym19855_c0_seq1	sym19855
sym19861_c0_seq1	sym19861
sym19861_c0_seq2	sym19861
sym19866_c0_seq1	sym19866
sym19873_c0_seq1	sym19873
sym19879_c0_seq1	sym19879
sym19879_c0_seq2	sym19879
sym19893_c0_seq1	sym19893
sym19920_c0_seq1	sym19920
sym19920_c0_seq2	sym19920
sym19955_c0_seq1	sym19955
sym19970_c1_seq1	sym19970
sym19976_c0_seq1	sym19976
sym19999_c0_seq1	sym19999
sym20003_c0_seq1	sym20003
sym20009_c0_seq1	sym20009
sym20026_c0_seq1	sym20026
sym20035_c0_seq1	sym20035
sym20051_c0_seq2	sym20051
sym20067_c0_seq1	sym20067
sym20110_c0_seq1	sym20110
sym20150_c0_seq1	sym20150
sym20160_c0_seq1	sym20160
sym20168_c0_seq1	sym20168
sym20171_c0_seq1	sym20171
sym20196_c0_seq1	sym20196
sym20206_c0_seq1	sym20206
sym20210_c0_seq1	sym20210
sym20210_c0_seq2	sym20210
sym20266_c0_seq1	sym20266
sym20268_c0_seq1	sym20268
sym20294_c0_seq1	sym20294
sym20310_c0_seq1	sym20310
sym20310_c0_seq2	sym20310
sym20313_c0_seq1	sym20313
sym20313_c0_seq2	sym20313
sym20322_c0_seq1	sym20322
sym20333_c0_seq1	sym20333
sym20333_c0_seq2	sym20333
sym20341_c0_seq1	sym20341
sym20385_c0_seq1	sym20385
sym20389_c0_seq1	sym20389
sym20405_c0_seq1	sym20405
sym20431_c0_seq1	sym20431
sym20434_c0_seq1	sym20434
sym20441_c0_seq1	sym20441
sym20478_c0_seq1	sym20478
sym20478_c0_seq2	sym20478
sym20499_c0_seq1	sym20499
sym20499_c0_seq2	sym20499
sym20507_c0_seq1	sym20507
sym20521_c0_seq1	sym20521
sym20564_c0_seq1	sym20564
sym20564_c0_seq2	sym20564
sym20567_c0_seq1	sym20567
sym20567_c0_seq2	sym20567
sym20571_c0_seq1	sym20571
sym20576_c0_seq1	sym20576
sym20588_c0_seq1	sym20588
sym20631_c0_seq1	sym20631
sym20631_c0_seq2	sym20631
sym20633_c0_seq1	sym20633
sym20639_c0_seq1	sym20639
sym20642_c0_seq1	sym20642
sym20647_c0_seq1	sym20647
sym20654_c0_seq1	sym20654
sym20657_c0_seq1	sym20657
sym20672_c0_seq1	sym20672
sym20682_c0_seq2	sym20682
sym20700_c0_seq1	sym20700
sym20702_c0_seq1	sym20702
sym20723_c0_seq1	sym20723
sym20734_c0_seq1	sym20734
sym20769_c0_seq1	sym20769
sym20769_c0_seq2	sym20769
sym20775_c0_seq1	sym20775
sym20786_c0_seq1	sym20786
sym20787_c0_seq1	sym20787
sym20793_c0_seq1	sym20793
sym20793_c0_seq2	sym20793
sym20795_c0_seq1	sym20795
sym20814_c0_seq1	sym20814
sym20817_c0_seq1	sym20817
sym20819_c0_seq1	sym20819
sym20825_c0_seq1	sym20825
sym20826_c0_seq1	sym20826
sym20844_c0_seq1	sym20844
sym20844_c0_seq2	sym20844
sym20877_c0_seq1	sym20877
sym20895_c0_seq1	sym20895
sym20937_c0_seq1	sym20937
sym21006_c0_seq1	sym21006
sym21018_c0_seq1	sym21018
sym21018_c0_seq2	sym21018
sym21039_c0_seq1	sym21039
sym21056_c0_seq1	sym21056
sym21078_c0_seq2	sym21078
sym21105_c0_seq1	sym21105
sym21123_c1_seq1	sym21123
sym21138_c0_seq1	sym21138
sym21141_c0_seq1	sym21141
sym21141_c0_seq2	sym21141
sym21155_c0_seq1	sym21155
sym21164_c0_seq1	sym21164
sym21167_c0_seq1	sym21167
sym21177_c0_seq1	sym21177
sym21181_c0_seq1	sym21181
sym21190_c0_seq1	sym21190
sym21207_c0_seq1	sym21207
sym21207_c0_seq2	sym21207
sym21227_c0_seq2	sym21227
sym21271_c0_seq1	sym21271
sym21271_c0_seq2	sym21271
sym21284_c0_seq1	sym21284
sym21286_c0_seq1	sym21286
sym21318_c0_seq1	sym21318
sym21320_c0_seq1	sym21320
sym21324_c0_seq1	sym21324
sym21333_c0_seq1	sym21333
sym21383_c0_seq1	sym21383
sym21397_c0_seq2	sym21397
sym21432_c0_seq1	sym21432
sym21440_c0_seq1	sym21440
sym21440_c0_seq2	sym21440
sym21452_c0_seq1	sym21452
sym21493_c0_seq1	sym21493
sym21528_c0_seq1	sym21528
sym21552_c0_seq1	sym21552
sym21578_c0_seq1	sym21578
sym21626_c0_seq1	sym21626
sym21650_c0_seq1	sym21650
sym21678_c0_seq1	sym21678
sym21761_c0_seq1	sym21761
sym21771_c0_seq1	sym21771
sym21783_c0_seq1	sym21783
sym21800_c0_seq1	sym21800
sym21826_c0_seq1	sym21826
sym21837_c0_seq1	sym21837
sym21837_c0_seq2	sym21837
sym21879_c0_seq1	sym21879
sym21882_c0_seq1	sym21882
sym21897_c0_seq1	sym21897
sym21897_c0_seq2	sym21897
sym21914_c0_seq1	sym21914
sym21924_c0_seq1	sym21924
sym21924_c0_seq2	sym21924
sym21951_c0_seq1	sym21951
sym21964_c0_seq1	sym21964
sym21967_c0_seq1	sym21967
sym21967_c0_seq2	sym21967
sym21983_c0_seq1	sym21983
sym21994_c0_seq1	sym21994
sym22029_c0_seq1	sym22029
sym22030_c0_seq1	sym22030
sym22061_c0_seq1	sym22061
sym22061_c0_seq2	sym22061
sym22122_c0_seq1	sym22122
sym22123_c0_seq1	sym22123
sym22131_c0_seq1	sym22131
sym22138_c0_seq1	sym22138
sym22157_c0_seq1	sym22157
sym22162_c0_seq1	sym22162
sym22162_c0_seq2	sym22162
sym22173_c0_seq2	sym22173
sym22178_c0_seq1	sym22178
sym22183_c0_seq1	sym22183
sym22192_c0_seq1	sym22192
sym22205_c0_seq1	sym22205
sym22209_c0_seq1	sym22209
sym22210_c0_seq1	sym22210
sym22214_c0_seq1	sym22214
sym22248_c0_seq1	sym22248
sym22266_c0_seq1	sym22266
sym22270_c0_seq2	sym22270
sym22271_c0_seq1	sym22271
sym22278_c0_seq1	sym22278
sym22294_c0_seq1	sym22294
sym22294_c0_seq2	sym22294
sym22301_c0_seq1	sym22301
sym22335_c0_seq1	sym22335
sym22337_c0_seq1	sym22337
sym22343_c0_seq1	sym22343
sym22352_c0_seq1	sym22352
sym22384_c0_seq1	sym22384
sym22422_c0_seq1	sym22422
sym22437_c0_seq1	sym22437
sym22437_c0_seq2	sym22437
sym22457_c0_seq1	sym22457
sym22491_c0_seq1	sym22491
sym22507_c0_seq1	sym22507
sym22521_c0_seq1	sym22521
sym22521_c0_seq2	sym22521
sym22536_c0_seq1	sym22536
sym22572_c0_seq1	sym22572
sym22572_c0_seq2	sym22572
sym22616_c0_seq1	sym22616
sym22622_c0_seq1	sym22622
sym22633_c0_seq1	sym22633
sym22674_c0_seq1	sym22674
sym22679_c0_seq1	sym22679
sym22694_c0_seq1	sym22694
sym22726_c0_seq1	sym22726
sym22772_c0_seq2	sym22772
sym22774_c0_seq1	sym22774
sym22775_c0_seq1	sym22775
sym22787_c0_seq1	sym22787
sym22833_c0_seq1	sym22833
sym22833_c0_seq2	sym22833
sym22834_c0_seq1	sym22834
sym22867_c0_seq1	sym22867
sym22868_c0_seq1	sym22868
sym22888_c0_seq1	sym22888
sym22931_c0_seq1	sym22931
sym22935_c0_seq2	sym22935
sym22956_c0_seq1	sym22956
sym22968_c0_seq2	sym22968
sym22982_c0_seq1	sym22982
sym22982_c0_seq2	sym22982
sym23008_c0_seq1	sym23008
sym23031_c0_seq1	sym23031
sym23031_c0_seq2	sym23031
sym23034_c0_seq1	sym23034
sym23045_c0_seq1	sym23045
sym23064_c0_seq1	sym23064
sym23066_c0_seq1	sym23066
sym23066_c0_seq2	sym23066
sym23069_c0_seq1	sym23069
sym23124_c0_seq1	sym23124
sym23165_c0_seq1	sym23165
sym23180_c0_seq1	sym23180
sym23202_c0_seq1	sym23202
sym23213_c0_seq1	sym23213
sym23241_c0_seq1	sym23241
sym23242_c0_seq1	sym23242
sym23243_c0_seq1	sym23243
sym23244_c0_seq1	sym23244
sym23249_c0_seq1	sym23249
sym23267_c0_seq1	sym23267
sym23267_c0_seq2	sym23267
sym23315_c0_seq1	sym23315
sym23323_c0_seq1	sym23323
sym23328_c0_seq1	sym23328
sym23406_c0_seq1	sym23406
sym23406_c0_seq2	sym23406
sym23481_c0_seq2	sym23481
sym23510_c0_seq1	sym23510
sym23528_c0_seq1	sym23528
sym23542_c0_seq1	sym23542
sym23549_c0_seq2	sym23549
sym23550_c0_seq1	sym23550
sym23550_c0_seq2	sym23550
sym23570_c0_seq1	sym23570
sym23570_c0_seq2	sym23570
sym23591_c0_seq1	sym23591
sym23616_c0_seq1	sym23616
sym23616_c0_seq2	sym23616
sym23629_c0_seq1	sym23629
sym23711_c0_seq1	sym23711
sym23711_c0_seq2	sym23711
sym23719_c0_seq1	sym23719
sym23730_c0_seq1	sym23730
sym23734_c0_seq1	sym23734
sym23734_c0_seq2	sym23734
sym23749_c0_seq1	sym23749
sym23784_c0_seq1	sym23784
sym23812_c0_seq1	sym23812
sym23828_c0_seq1	sym23828
sym23834_c0_seq1	sym23834
sym23873_c0_seq1	sym23873
sym23900_c0_seq1	sym23900
sym23904_c0_seq1	sym23904
sym23905_c0_seq1	sym23905
sym23908_c0_seq1	sym23908
sym23925_c0_seq1	sym23925
sym23925_c0_seq2	sym23925
sym23938_c0_seq1	sym23938
sym23941_c0_seq1	sym23941
sym23941_c0_seq2	sym23941
sym23945_c0_seq2	sym23945
sym23954_c0_seq1	sym23954
sym23957_c0_seq1	sym23957
sym23957_c0_seq2	sym23957
sym23972_c0_seq1	sym23972
sym24000_c0_seq1	sym24000
sym24019_c0_seq1	sym24019
sym24050_c0_seq1	sym24050
sym24050_c0_seq2	sym24050
sym24077_c0_seq1	sym24077
sym24083_c0_seq1	sym24083
sym24093_c0_seq1	sym24093
sym24124_c0_seq1	sym24124
sym24141_c0_seq1	sym24141
sym24191_c0_seq1	sym24191
sym24206_c0_seq1	sym24206
sym24213_c0_seq1	sym24213
sym24237_c0_seq1	sym24237
sym24243_c0_seq1	sym24243
sym24262_c0_seq1	sym24262
sym24271_c0_seq1	sym24271
sym24275_c0_seq1	sym24275
sym24300_c0_seq1	sym24300
sym24301_c0_seq1	sym24301
sym24338_c0_seq1	sym24338
sym24356_c0_seq1	sym24356
sym24403_c0_seq1	sym24403
sym24416_c0_seq1	sym24416
sym24416_c0_seq2	sym24416
sym24454_c0_seq1	sym24454
sym24475_c0_seq1	sym24475
sym24496_c0_seq1	sym24496
sym24497_c0_seq2	sym24497
sym24505_c0_seq1	sym24505
sym24506_c0_seq1	sym24506
sym24552_c0_seq1	sym24552
sym24608_c0_seq1	sym24608
sym24633_c0_seq1	sym24633
sym24655_c0_seq1	sym24655
sym24656_c0_seq1	sym24656
sym24669_c0_seq1	sym24669
sym24671_c0_seq1	sym24671
sym24675_c0_seq1	sym24675
sym24682_c0_seq1	sym24682
sym24683_c0_seq1	sym24683
sym24683_c0_seq2	sym24683
sym24687_c0_seq1	sym24687
sym24692_c0_seq1	sym24692
sym24700_c0_seq1	sym24700
sym24700_c0_seq2	sym24700
sym24743_c0_seq1	sym24743
sym24753_c0_seq1	sym24753
sym24778_c0_seq1	sym24778
sym24800_c0_seq1	sym24800
sym24806_c0_seq1	sym24806
sym24816_c0_seq1	sym24816
sym24819_c0_seq1	sym24819
sym24826_c0_seq1	sym24826
sym24826_c0_seq2	sym24826
sym24854_c0_seq1	sym24854
sym24862_c0_seq1	sym24862
sym24887_c0_seq1	sym24887
sym24887_c0_seq2	sym24887
sym24910_c0_seq1	sym24910
sym24936_c0_seq1	sym24936
sym24936_c0_seq2	sym24936
sym24939_c0_seq1	sym24939
sym24939_c0_seq2	sym24939
sym24943_c0_seq1	sym24943
sym24946_c0_seq1	sym24946
sym25003_c0_seq1	sym25003
sym25008_c0_seq1	sym25008
sym25014_c0_seq1	sym25014
sym25043_c0_seq1	sym25043
sym25068_c0_seq1	sym25068
sym25068_c0_seq2	sym25068
sym25097_c0_seq2	sym25097
sym25135_c0_seq1	sym25135
sym25164_c0_seq1	sym25164
sym25215_c0_seq1	sym25215
sym25223_c0_seq1	sym25223
sym25223_c0_seq2	sym25223
sym25229_c0_seq1	sym25229
sym25250_c0_seq1	sym25250
sym25251_c0_seq1	sym25251
sym25272_c0_seq1	sym25272
sym25285_c0_seq1	sym25285
sym25288_c0_seq1	sym25288
sym25288_c0_seq2	sym25288
sym25295_c0_seq1	sym25295
sym25330_c0_seq1	sym25330
