Mcavernosa30988	K13912
Mcavernosa01715	K00626
Mcavernosa02488	K00078
Mcavernosa07056	K12487
Mcavernosa12759	K06972
Mcavernosa00810	K09579
Mcavernosa01036	K05756
Mcavernosa25701	K03333
Mcavernosa33860	K00976
Mcavernosa15954	K19328
Mcavernosa17295	K16669
Mcavernosa20615	K23908
Mcavernosa14126	K12866
Mcavernosa08055	K01456
Mcavernosa20040	K04429
Mcavernosa22536	K10312
Mcavernosa10287	K20166
Mcavernosa09847	K04142
Mcavernosa09428	K20396
Mcavernosa19968	K16353
Mcavernosa00332	K06225
Mcavernosa20672	K00059
Mcavernosa01487	K03950
Mcavernosa02694	K05093
Mcavernosa14227	K10592
Mcavernosa30274	K11796
Mcavernosa20487	K08187
Mcavernosa21572	K07939
Mcavernosa14239	K15283
Mcavernosa23153	K11376
Mcavernosa06587	K12751
Mcavernosa21772	K13707
Mcavernosa21962	K11491
Mcavernosa16180	K10270
Mcavernosa09212	K15297
Mcavernosa00535	K21439
Mcavernosa05635	K14574
Mcavernosa28018	K15381
Mcavernosa15179	K10464
Mcavernosa05918	K01017
Mcavernosa09646	K07912
Mcavernosa15384	K16744
Mcavernosa10632	K02503
Mcavernosa16882	K04887
Mcavernosa00795	K14569
Mcavernosa02784	K10641
Mcavernosa00120	K19195
Mcavernosa06144	K04362
Mcavernosa20869	K13699
Mcavernosa22551	K16342
Mcavernosa19597	K00826
Mcavernosa08584	K18739
Mcavernosa08139	K08547
Mcavernosa23959	K03875
Mcavernosa22832	K23406
Mcavernosa01364	K06628
Mcavernosa10798	K15335
Mcavernosa16657	K05122
Mcavernosa18937	K04887
Mcavernosa29855	K09884
Mcavernosa32274	K16506
Mcavernosa28059	K08836
Mcavernosa28033	K20828
Mcavernosa32199	K24822
Mcavernosa23248	K04804
Mcavernosa20519	K24824
Mcavernosa10103	K08269
Mcavernosa02172	K05502
Mcavernosa18916	K21863
Mcavernosa13027	K09027
Mcavernosa22586	K01365
Mcavernosa18619	K07611
Mcavernosa04728	K09214
Mcavernosa03054	K21766
Mcavernosa31949	K04316
Mcavernosa04464	K14347
Mcavernosa02806	K09223
Mcavernosa13376	K05722
Mcavernosa10094	K22376
Mcavernosa00007	K11451
Mcavernosa18985	K22655
Mcavernosa08494	K17921
Mcavernosa07379	K10264
Mcavernosa05562	K13125
Mcavernosa19288	K10803
Mcavernosa33868	K07888
Mcavernosa12931	K20704
Mcavernosa00038	K12132
Mcavernosa25618	K14808
Mcavernosa17063	K03068
Mcavernosa23370	K04238
Mcavernosa00178	K10457
Mcavernosa01592	K24070
Mcavernosa32497	K08149
Mcavernosa10714	K19511
Mcavernosa02716	K01301
Mcavernosa06583	K09608
Mcavernosa34817	K17861
Mcavernosa18398	K14718
Mcavernosa13749	K18798
Mcavernosa17245	K20798
Mcavernosa09553	K19993
Mcavernosa10352	K17932
Mcavernosa07721	K03097
Mcavernosa23543	K14564
Mcavernosa23836	K08269
Mcavernosa26352	K16669
Mcavernosa22131	K00069
Mcavernosa17685	K11165
Mcavernosa13218	K03929
Mcavernosa03971	K19178
Mcavernosa08949	K06240
Mcavernosa02517	K01415
Mcavernosa17301	K10451
Mcavernosa16557	K15053
Mcavernosa16357	K10706
Mcavernosa05504	K17495
Mcavernosa31834	K11887
Mcavernosa17513	K19408
Mcavernosa32387	K00624
Mcavernosa13166	K24734
Mcavernosa14464	K06176
Mcavernosa10483	K25421
Mcavernosa18282	K01262
Mcavernosa01769	K05463
Mcavernosa14714	K14072
Mcavernosa02052	K08145
Mcavernosa32842	K19626
Mcavernosa29566	K22128
Mcavernosa18070	K14015
Mcavernosa03551	K03444
Mcavernosa13000	K01052
Mcavernosa10805	K24426
Mcavernosa02355	K24437
Mcavernosa15914	K19626
Mcavernosa19334	K04947
Mcavernosa21314	K04223
Mcavernosa12307	K06753
Mcavernosa31648	K01874
Mcavernosa26060	K18334
Mcavernosa29129	K11798
Mcavernosa22848	K00864
Mcavernosa09618	K14590
Mcavernosa09036	K24932
Mcavernosa24507	K04967
Mcavernosa31115	K24792
Mcavernosa15617	K19682
Mcavernosa24377	K18200
Mcavernosa05831	K06238
Mcavernosa04023	K20282
Mcavernosa04280	K04975
Mcavernosa23853	K22524
Mcavernosa28914	K15414
Mcavernosa27741	K17985
Mcavernosa14240	K01565
Mcavernosa15988	K04431
Mcavernosa08228	K11488
Mcavernosa10692	K18619
Mcavernosa10914	K01869
Mcavernosa12308	K05093
Mcavernosa11677	K06824
Mcavernosa08151	K24942
Mcavernosa33703	K03163
Mcavernosa19281	K23314
Mcavernosa18469	K20222
Mcavernosa04130	K09643
Mcavernosa17050	K20299
Mcavernosa08205	K17586
Mcavernosa11990	K08399
Mcavernosa32585	K23562
Mcavernosa03502	K00643
Mcavernosa00935	K19947
Mcavernosa24754	K02440
Mcavernosa03823	K11206
Mcavernosa17103	K01883
Mcavernosa28812	K14963
Mcavernosa28667	K14327
Mcavernosa25006	K21440
Mcavernosa10367	K05293
Mcavernosa26276	K09570
Mcavernosa03658	K05702
Mcavernosa27086	K18532
Mcavernosa29242	K19721
Mcavernosa28399	K03935
Mcavernosa31919	K20994
Mcavernosa30959	K03386
Mcavernosa28107	K02327
Mcavernosa15729	K10418
Mcavernosa32103	K02151
Mcavernosa15590	K23542
Mcavernosa00518	K05859
Mcavernosa02333	K02602
Mcavernosa33759	K02703
Mcavernosa26982	K05673
Mcavernosa14908	K08857
Mcavernosa30789	K20776
Mcavernosa21263	K15133
Mcavernosa24509	K04967
Mcavernosa04355	K16629
Mcavernosa32415	K06569
Mcavernosa32880	K00106
Mcavernosa32995	K10799
Mcavernosa16202	K05036
Mcavernosa32878	K00546
Mcavernosa05134	K23538
Mcavernosa20549	K12322
Mcavernosa22352	K01049
Mcavernosa05470	K12798
Mcavernosa16577	K16754
Mcavernosa32841	K20191
Mcavernosa24331	K19329
Mcavernosa03109	K01110
Mcavernosa21721	K23295
Mcavernosa04093	K09317
Mcavernosa25725	K16547
Mcavernosa32622	K23491
Mcavernosa05613	K01074
Mcavernosa34895	K19467
Mcavernosa02292	K06275
Mcavernosa30246	K10398
Mcavernosa10381	K12399
Mcavernosa10250	K01488
Mcavernosa04453	K04569
Mcavernosa28692	K05728
Mcavernosa18021	K14715
Mcavernosa02278	K10153
Mcavernosa03710	K04988
Mcavernosa13897	K02605
Mcavernosa18110	K03065
Mcavernosa02427	K05034
Mcavernosa25431	K20403
Mcavernosa29704	K06711
Mcavernosa32836	K13177
Mcavernosa14090	K24759
Mcavernosa29975	K10349
Mcavernosa17549	K13047
Mcavernosa21153	K24938
Mcavernosa18464	K07759
Mcavernosa31077	K12602
Mcavernosa11284	K13236
Mcavernosa31084	K02175
Mcavernosa19816	K10862
Mcavernosa00828	K00547
Mcavernosa21929	K09646
Mcavernosa20968	K04595
Mcavernosa31972	K04266
Mcavernosa12952	K12132
Mcavernosa12519	K09377
Mcavernosa33483	K10408
Mcavernosa10513	K10630
Mcavernosa27100	K11730
Mcavernosa12542	K09109
Mcavernosa01022	K21768
Mcavernosa04062	K20293
Mcavernosa34187	K04798
Mcavernosa26843	K17352
Mcavernosa21230	K13985
Mcavernosa19448	K11857
Mcavernosa22169	K03789
Mcavernosa02849	K04306
Mcavernosa24343	K23222
Mcavernosa15277	K22909
Mcavernosa10680	K04498
Mcavernosa35005	K05181
Mcavernosa17154	K10406
Mcavernosa11799	K09849
Mcavernosa05638	K15449
Mcavernosa35069	K05092
Mcavernosa18279	K02964
Mcavernosa11064	K18398
Mcavernosa21637	K08825
Mcavernosa06699	K24104
Mcavernosa18574	K06238
Mcavernosa21529	K15685
Mcavernosa12244	K20908
Mcavernosa18072	K08731
Mcavernosa23105	K23881
Mcavernosa14222	K08150
Mcavernosa00031	K00913
Mcavernosa18691	K05746
Mcavernosa11229	K12302
Mcavernosa01383	K24243
Mcavernosa28548	K02325
Mcavernosa13859	K05502
Mcavernosa07680	K08851
Mcavernosa13426	K09656
Mcavernosa14881	K08803
Mcavernosa22808	K20313
Mcavernosa03726	K16686
Mcavernosa09694	K13706
Mcavernosa28178	K10454
Mcavernosa13739	K03386
Mcavernosa31556	K09668
Mcavernosa17041	K18592
Mcavernosa03317	K07763
Mcavernosa04526	K24915
Mcavernosa17967	K19848
Mcavernosa31103	K06704
Mcavernosa28933	K10365
Mcavernosa09191	K13517
Mcavernosa13993	K10380
Mcavernosa19368	K15122
Mcavernosa20339	K11324
Mcavernosa34807	K24722
Mcavernosa11715	K14721
Mcavernosa29213	K22733
Mcavernosa25417	K01201
Mcavernosa07904	K06255
Mcavernosa08449	K08819
Mcavernosa32052	K20366
Mcavernosa03288	K08658
Mcavernosa31396	K17981
Mcavernosa03797	K10404
Mcavernosa14746	K10646
Mcavernosa04672	K23471
Mcavernosa10274	K14640
Mcavernosa10593	K25307
Mcavernosa21413	K09848
Mcavernosa05690	K05312
Mcavernosa00930	K02732
Mcavernosa15786	K17277
Mcavernosa19735	K11095
Mcavernosa19849	K06835
Mcavernosa10347	K04968
Mcavernosa00072	K04706
Mcavernosa02641	K05312
Mcavernosa16839	K12840
Mcavernosa20714	K01510
Mcavernosa30897	K05312
Mcavernosa02268	K07440
Mcavernosa08782	K06711
Mcavernosa30819	K03017
Mcavernosa03619	K10500
Mcavernosa17271	K12627
Mcavernosa29628	K17617
Mcavernosa03321	K01398
Mcavernosa05169	K24511
Mcavernosa03871	K08202
Mcavernosa05157	K15734
Mcavernosa24879	K00966
Mcavernosa05223	K24047
Mcavernosa05591	K02599
Mcavernosa29091	K04539
Mcavernosa27340	K13159
Mcavernosa13920	K18407
Mcavernosa03868	K08202
Mcavernosa34487	K01814
Mcavernosa26556	K20292
Mcavernosa05659	K08821
Mcavernosa07391	K05291
Mcavernosa32160	K11150
Mcavernosa31127	K00746
Mcavernosa27966	K03136
Mcavernosa19329	K15255
Mcavernosa19613	K21893
Mcavernosa06893	K03127
Mcavernosa28963	K08601
Mcavernosa33142	K00753
Mcavernosa16601	K01301
Mcavernosa03382	K25164
Mcavernosa21317	K23281
Mcavernosa05667	K23792
Mcavernosa17312	K10396
Mcavernosa17403	K12199
Mcavernosa05160	K19527
Mcavernosa27447	K18411
Mcavernosa12598	K01076
Mcavernosa06022	K15015
Mcavernosa17526	K20726
Mcavernosa22437	K18743
Mcavernosa14532	K04142
Mcavernosa00045	K01410
Mcavernosa07029	K02156
Mcavernosa16283	K01672
Mcavernosa09580	K17266
Mcavernosa07413	K17341
Mcavernosa17769	K05313
Mcavernosa28842	K02937
Mcavernosa27377	K07817
Mcavernosa35096	K21847
Mcavernosa20294	K21066
Mcavernosa03120	K04919
Mcavernosa27470	K04851
Mcavernosa08338	K15047
Mcavernosa15557	K20649
Mcavernosa03018	K15502
Mcavernosa15010	K01312
Mcavernosa06139	K07752
Mcavernosa33902	K09228
Mcavernosa03049	K17602
Mcavernosa07235	K23113
Mcavernosa09201	K08214
Mcavernosa03548	K08145
Mcavernosa25940	K20473
Mcavernosa06787	K06271
Mcavernosa25809	K01301
Mcavernosa14701	K11426
Mcavernosa13195	K20779
Mcavernosa14344	K19029
Mcavernosa12652	K19467
Mcavernosa12375	K12385
Mcavernosa18415	K10408
Mcavernosa33041	K01870
Mcavernosa24491	K00365
Mcavernosa12451	K08132
Mcavernosa22455	K07130
Mcavernosa30053	K10571
Mcavernosa01620	K05592
Mcavernosa13625	K23901
Mcavernosa25590	K19499
Mcavernosa11046	K19755
Mcavernosa21522	K08832
Mcavernosa16454	K04967
Mcavernosa03654	K10990
Mcavernosa27900	K08155
Mcavernosa05905	K02183
Mcavernosa05199	K17500
Mcavernosa02620	K19360
Mcavernosa07637	K00461
Mcavernosa01052	K08486
Mcavernosa07931	K11975
Mcavernosa01695	K22390
Mcavernosa23035	K05087
Mcavernosa22662	K11982
Mcavernosa01484	K04957
Mcavernosa28374	K13431
Mcavernosa31099	K12035
Mcavernosa11041	K06171
Mcavernosa23949	K04405
Mcavernosa32167	K23583
Mcavernosa17774	K04362
Mcavernosa06593	K05181
Mcavernosa11507	K01313
Mcavernosa13062	K03283
Mcavernosa11489	K21891
Mcavernosa09121	K18592
Mcavernosa08370	K16740
Mcavernosa11896	K14072
Mcavernosa31431	K03066
Mcavernosa08177	K08187
Mcavernosa01987	K04491
Mcavernosa22890	K01298
Mcavernosa06349	K20647
Mcavernosa33416	K06766
Mcavernosa21299	K01672
Mcavernosa08350	K23847
Mcavernosa07498	K07739
Mcavernosa15205	K04634
Mcavernosa31747	K00121
Mcavernosa23771	K09067
Mcavernosa07574	K07937
Mcavernosa11608	K10773
Mcavernosa08331	K04249
Mcavernosa08235	K07868
Mcavernosa07897	K00850
Mcavernosa03116	K04469
Mcavernosa20924	K14801
Mcavernosa14849	K03798
Mcavernosa17867	K23166
Mcavernosa20437	K14972
Mcavernosa29080	K03234
Mcavernosa10121	K07868
Mcavernosa27265	K00546
Mcavernosa27013	K01672
Mcavernosa32721	K01872
Mcavernosa22616	K00567
Mcavernosa14991	K00728
Mcavernosa11651	K04150
Mcavernosa14531	K05181
Mcavernosa30568	K01363
Mcavernosa04660	K00325
Mcavernosa05344	K03377
Mcavernosa27907	K24498
Mcavernosa27825	K11538
Mcavernosa24325	K11323
Mcavernosa15830	K09191
Mcavernosa01499	K07767
Mcavernosa12150	K24436
Mcavernosa32669	K12854
Mcavernosa31457	K04710
Mcavernosa33340	K10896
Mcavernosa02570	K14802
Mcavernosa21056	K18274
Mcavernosa01142	K17086
Mcavernosa17424	K00966
Mcavernosa30558	K01135
Mcavernosa30450	K01783
Mcavernosa28907	K06236
Mcavernosa11924	K23540
Mcavernosa14799	K22943
Mcavernosa28460	K08409
Mcavernosa06186	K02183
Mcavernosa02976	K00408
Mcavernosa00343	K07198
Mcavernosa29398	K01135
Mcavernosa12418	K06027
Mcavernosa14759	K03165
Mcavernosa06769	K20526
Mcavernosa24968	K03144
Mcavernosa32530	K10258
Mcavernosa19324	K19525
Mcavernosa23292	K12831
Mcavernosa16428	K19759
Mcavernosa25737	K07408
Mcavernosa20785	K04157
Mcavernosa30715	K15186
Mcavernosa21449	K03035
Mcavernosa27608	K17341
Mcavernosa20218	K07998
Mcavernosa16802	K06110
Mcavernosa10152	K06058
Mcavernosa24403	K11087
Mcavernosa00565	K10460
Mcavernosa26512	K20179
Mcavernosa06011	K20407
Mcavernosa20819	K20279
Mcavernosa01376	K23214
Mcavernosa26884	K01510
Mcavernosa25288	K19363
Mcavernosa30640	K02433
Mcavernosa02901	K08833
Mcavernosa14646	K10582
Mcavernosa09461	K14836
Mcavernosa08156	K01769
Mcavernosa33732	K11154
Mcavernosa20765	K23092
Mcavernosa04492	K20909
Mcavernosa23865	K10867
Mcavernosa01843	K17422
Mcavernosa14527	K12021
Mcavernosa08377	K03103
Mcavernosa20071	K08465
Mcavernosa12056	K18163
Mcavernosa06318	K24169
Mcavernosa16845	K00135
Mcavernosa29632	K07809
Mcavernosa20660	K06233
Mcavernosa19178	K19360
Mcavernosa18896	K14786
Mcavernosa02795	K15175
Mcavernosa07066	K09633
Mcavernosa04846	K21989
Mcavernosa23181	K18681
Mcavernosa19424	K16506
Mcavernosa29299	K10645
Mcavernosa15317	K00939
Mcavernosa12231	K17255
Mcavernosa00358	K03766
Mcavernosa15249	K07752
Mcavernosa10788	K06106
Mcavernosa24482	K24746
Mcavernosa04097	K09317
Mcavernosa05631	K14574
Mcavernosa32014	K13510
Mcavernosa11577	K17341
Mcavernosa06710	K04615
Mcavernosa08751	K15290
Mcavernosa03758	K12495
Mcavernosa08323	K11187
Mcavernosa07802	K07204
Mcavernosa14838	K14735
Mcavernosa33239	K10408
Mcavernosa01219	K19904
Mcavernosa06821	K08592
Mcavernosa06441	K06777
Mcavernosa01530	K01930
Mcavernosa35184	K08105
Mcavernosa04248	K09317
Mcavernosa10246	K05758
Mcavernosa21862	K06569
Mcavernosa23832	K04659
Mcavernosa19790	K06699
Mcavernosa14007	K15684
Mcavernosa22905	K07427
Mcavernosa15100	K01186
Mcavernosa33917	K20051
Mcavernosa23172	K15179
Mcavernosa18998	K14323
Mcavernosa12380	K10754
Mcavernosa15794	K14073
Mcavernosa18583	K03030
Mcavernosa06087	K19906
Mcavernosa05699	K13238
Mcavernosa28000	K04988
Mcavernosa10467	K10380
Mcavernosa05262	K13758
Mcavernosa26750	K09608
Mcavernosa15870	K06755
Mcavernosa01288	K03868
Mcavernosa30122	K10144
Mcavernosa18438	K07151
Mcavernosa17127	K24464
Mcavernosa05865	K02433
Mcavernosa18965	K15106
Mcavernosa07195	K16072
Mcavernosa16222	K00627
Mcavernosa06610	K06792
Mcavernosa09895	K24469
Mcavernosa08026	K06234
Mcavernosa25220	K10884
Mcavernosa16310	K11671
Mcavernosa01593	K14944
Mcavernosa11835	K11665
Mcavernosa05318	K24469
Mcavernosa06617	K06053
Mcavernosa21439	K08202
Mcavernosa24489	K24822
Mcavernosa09931	K14650
Mcavernosa09378	K04711
Mcavernosa21790	K20103
Mcavernosa03961	K01267
Mcavernosa06681	K01077
Mcavernosa12643	K12489
Mcavernosa05004	K24183
Mcavernosa02878	K17675
Mcavernosa12798	K11835
Mcavernosa25238	K20123
Mcavernosa01327	K04442
Mcavernosa29915	K23010
Mcavernosa16711	K22937
Mcavernosa28421	K18166
Mcavernosa05483	K05218
Mcavernosa20735	K25163
Mcavernosa27725	K12385
Mcavernosa20282	K00106
Mcavernosa19605	K04458
Mcavernosa30740	K14072
Mcavernosa18481	K10302
Mcavernosa05700	K04988
Mcavernosa27146	K17849
Mcavernosa23299	K24734
Mcavernosa13604	K19907
Mcavernosa24771	K08844
Mcavernosa04898	K05637
Mcavernosa16307	K01697
Mcavernosa15394	K24387
Mcavernosa15111	K00719
Mcavernosa11242	K12375
Mcavernosa32550	K23728
Mcavernosa05529	K16857
Mcavernosa14477	K24835
Mcavernosa21427	K08202
Mcavernosa05088	K10770
Mcavernosa00087	K17592
Mcavernosa21661	K13046
Mcavernosa19290	K09216
Mcavernosa28061	K11111
Mcavernosa21937	K08202
Mcavernosa05537	K04662
Mcavernosa22258	K00265
Mcavernosa22233	K17253
Mcavernosa15449	K01204
Mcavernosa31437	K00058
Mcavernosa32479	K13304
Mcavernosa04346	K16857
Mcavernosa16675	K14312
Mcavernosa15962	K06677
Mcavernosa17364	K08764
Mcavernosa03296	K24888
Mcavernosa32346	K04936
Mcavernosa08366	K03237
Mcavernosa03857	K02211
Mcavernosa15468	K06711
Mcavernosa02215	K06267
Mcavernosa19312	K13342
Mcavernosa18220	K01890
Mcavernosa26595	K10266
Mcavernosa03476	K09365
Mcavernosa03740	K08493
Mcavernosa15445	K00060
Mcavernosa09111	K09313
Mcavernosa15343	K11154
Mcavernosa34360	K03128
Mcavernosa00278	K13868
Mcavernosa16958	K17345
Mcavernosa24637	K03899
Mcavernosa22541	K23289
Mcavernosa20104	K08635
Mcavernosa05443	K23961
Mcavernosa24459	K23001
Mcavernosa30195	K14411
Mcavernosa10040	K22257
Mcavernosa05928	K05011
Mcavernosa01737	K01896
Mcavernosa25640	K04985
Mcavernosa33017	K10144
Mcavernosa00646	K13339
Mcavernosa19632	K10601
Mcavernosa17498	K09093
Mcavernosa07564	K14708
Mcavernosa00509	K02838
Mcavernosa26645	K10380
Mcavernosa12816	K10408
Mcavernosa19484	K14440
Mcavernosa32062	K09656
Mcavernosa03111	K01047
Mcavernosa00170	K05544
Mcavernosa33465	K23342
Mcavernosa13663	K00613
Mcavernosa21734	K09702
Mcavernosa26725	K13377
Mcavernosa14699	K05849
Mcavernosa11035	K17543
Mcavernosa04550	K18587
Mcavernosa00420	K06813
Mcavernosa18652	K18398
Mcavernosa21958	K12847
Mcavernosa18874	K10642
Mcavernosa19055	K05125
Mcavernosa16813	K06760
Mcavernosa32594	K09214
Mcavernosa18494	K16794
Mcavernosa11368	K18462
Mcavernosa08991	K01681
Mcavernosa08638	K17603
Mcavernosa07277	K22806
Mcavernosa05534	K14317
Mcavernosa29640	K22017
Mcavernosa31629	K19511
Mcavernosa26591	K10408
Mcavernosa18568	K08203
Mcavernosa32195	K10277
Mcavernosa21206	K23717
Mcavernosa20101	K09637
Mcavernosa08286	K14401
Mcavernosa23977	K05121
Mcavernosa20555	K10380
Mcavernosa16762	K02946
Mcavernosa24570	K10464
Mcavernosa01063	K03909
Mcavernosa05959	K01091
Mcavernosa08971	K24893
Mcavernosa22368	K20099
Mcavernosa31500	K00861
Mcavernosa23612	K22754
Mcavernosa24444	K21440
Mcavernosa17355	K10728
Mcavernosa18539	K10272
Mcavernosa09249	K05105
Mcavernosa31252	K01465
Mcavernosa03810	K14713
Mcavernosa12379	K17253
Mcavernosa12779	K14696
Mcavernosa10097	K02030
Mcavernosa23266	K14292
Mcavernosa13774	K24098
Mcavernosa28251	K17495
Mcavernosa30570	K00342
Mcavernosa19540	K01358
Mcavernosa19371	K24747
Mcavernosa13479	K03232
Mcavernosa24279	K00505
Mcavernosa03155	K17341
Mcavernosa03494	K14764
Mcavernosa11688	K03929
Mcavernosa15892	K02183
Mcavernosa25342	K24539
Mcavernosa06571	K13047
Mcavernosa00134	K00767
Mcavernosa23598	K18470
Mcavernosa07872	K03033
Mcavernosa17058	K17609
Mcavernosa04014	K10479
Mcavernosa12177	K22017
Mcavernosa13825	K04135
Mcavernosa00550	K14020
Mcavernosa04815	K05658
Mcavernosa09403	K19932
Mcavernosa04741	K03004
Mcavernosa06150	K25168
Mcavernosa24272	K12021
Mcavernosa13771	K17307
Mcavernosa30358	K08187
Mcavernosa09029	K08776
Mcavernosa06927	K12739
Mcavernosa34237	K09553
Mcavernosa00377	K02168
Mcavernosa23728	K12385
Mcavernosa06416	K00933
Mcavernosa16184	K09516
Mcavernosa02817	K20827
Mcavernosa27436	K15259
Mcavernosa22834	K11140
Mcavernosa16021	K10632
Mcavernosa33988	K05208
Mcavernosa00926	K04316
Mcavernosa04945	K12192
Mcavernosa15633	K16677
Mcavernosa15006	K18177
Mcavernosa11698	K04393
Mcavernosa15134	K16309
Mcavernosa26342	K16506
Mcavernosa24941	K08187
Mcavernosa25914	K07435
Mcavernosa01574	K08815
Mcavernosa33851	K20358
Mcavernosa08392	K00485
Mcavernosa16144	K11730
Mcavernosa13842	K16499
Mcavernosa25613	K14808
Mcavernosa00314	K04984
Mcavernosa25143	K04353
Mcavernosa22155	K08818
Mcavernosa27274	K21548
Mcavernosa28576	K04988
Mcavernosa35077	K21772
Mcavernosa31607	K04284
Mcavernosa17084	K14398
Mcavernosa07723	K24835
Mcavernosa10406	K24500
Mcavernosa34295	K05181
Mcavernosa10800	K22746
Mcavernosa26888	K01206
Mcavernosa28023	K16772
Mcavernosa18353	K00922
Mcavernosa06451	K10582
Mcavernosa03980	K10185
Mcavernosa23583	K15040
Mcavernosa07946	K06240
Mcavernosa21951	K24298
Mcavernosa29850	K13912
Mcavernosa01809	K24431
Mcavernosa22356	K01049
Mcavernosa14431	K16669
Mcavernosa15142	K05655
Mcavernosa33056	K14308
Mcavernosa09723	K01565
Mcavernosa02327	K14301
Mcavernosa05403	K14408
Mcavernosa28050	K00312
Mcavernosa12427	K01251
Mcavernosa26216	K19750
Mcavernosa06452	K22696
Mcavernosa17342	K14792
Mcavernosa27472	K04851
Mcavernosa28742	K13091
Mcavernosa34443	K03260
Mcavernosa15496	K01369
Mcavernosa16990	K12028
Mcavernosa27237	K22913
Mcavernosa15421	K07874
Mcavernosa01758	K01634
Mcavernosa13553	K03175
Mcavernosa13456	K24431
Mcavernosa24119	K14445
Mcavernosa23401	K01022
Mcavernosa13247	K00237
Mcavernosa25582	K14616
Mcavernosa10858	K14805
Mcavernosa24038	K22210
Mcavernosa13115	K06224
Mcavernosa06548	K02940
Mcavernosa00931	K18586
Mcavernosa29697	K21138
Mcavernosa17235	K05290
Mcavernosa19664	K23969
Mcavernosa27847	K23041
Mcavernosa06430	K23790
Mcavernosa23312	K10590
Mcavernosa06600	K24835
Mcavernosa35175	K10356
Mcavernosa21750	K23624
Mcavernosa22448	K13644
Mcavernosa06245	K04150
Mcavernosa17159	K10406
Mcavernosa16388	K25070
Mcavernosa33583	K10443
Mcavernosa19105	K06134
Mcavernosa31890	K24632
Mcavernosa25467	K16777
Mcavernosa33095	K06972
Mcavernosa11006	K02374
Mcavernosa10459	K18134
Mcavernosa03007	K15602
Mcavernosa04185	K23518
Mcavernosa02415	K12389
Mcavernosa31891	K09256
Mcavernosa17349	K14792
Mcavernosa26758	K24431
Mcavernosa27987	K06237
Mcavernosa30621	K00731
Mcavernosa08927	K08052
Mcavernosa15350	K12331
Mcavernosa25747	K21440
