isogroup1422	K18753
isogroup119985	K19761
isogroup65394	K10615
isogroup49345	K12489
isogroup14358	K07752
isogroup350899	K07379
isogroup332	K02889
isogroup423482	K16669
isogroup35649	K19907
isogroup134884	K06255
isogroup115504	K06558
isogroup593857	K07376
isogroup60077	K09521
isogroup54557	K16759
isogroup224911	K11154
isogroup30612	K01847
isogroup96064	K16312
isogroup4055	K16866
isogroup39261	K14539
isogroup377152	K05034
isogroup36952	K10876
isogroup393204	K01624
isogroup5822	K19499
isogroup15327	K00820
isogroup33005	K07380
isogroup39187	K10401
isogroup6029	K13578
isogroup36183	K10165
isogroup19719	K12163
isogroup560037	K12391
isogroup122803	K14560
isogroup276805	K19219
isogroup56157	K04967
isogroup86058	K05673
isogroup71038	K00720
isogroup23162	K04555
isogroup13485	K20349
isogroup213978	K06825
isogroup104962	K15837
isogroup237307	K06758
isogroup112600	K18055
isogroup615472	K04967
isogroup90347	K11997
isogroup16140	K15118
isogroup23426	K05695
isogroup173662	K08520
isogroup259618	K07901
isogroup100881	K19362
isogroup64252	K05126
isogroup72461	K13216
isogroup105529	K12441
isogroup31282	K17981
isogroup346867	K04607
isogroup209358	K10397
isogroup8429	K20068
isogroup11389	K01681
isogroup45812	K12021
isogroup90303	K04148
isogroup264	K02936
isogroup2380	K14683
isogroup59607	K12035
isogroup145328	K12883
isogroup105414	K05592
isogroup100245	K11136
isogroup176747	K05614
isogroup433582	K01176
isogroup23297	K06279
isogroup16944	K04512
isogroup971	K01255
isogroup357136	K04612
isogroup10523	K09290
isogroup56816	K06639
isogroup12667	K21283
isogroup16585	K10408
isogroup26318	K11204
isogroup166849	K01897
isogroup18464	K07762
isogroup7736	K11086
isogroup68334	K18283
isogroup16028	K06662
isogroup95989	K14521
isogroup87289	K05929
isogroup222182	K00710
isogroup66238	K17606
isogroup1334	K13217
isogroup55901	K16489
isogroup197390	K07513
isogroup112146	K02607
isogroup566593	K04988
isogroup55409	K10595
isogroup29190	K18529
isogroup86452	K19372
isogroup152974	K17973
isogroup16520	K15421
isogroup40413	K14638
isogroup240	K11253
isogroup213095	K09219
isogroup26257	K20656
isogroup176486	K08052
isogroup191574	K08957
isogroup171575	K02987
isogroup86466	K16669
isogroup59626	K13107
isogroup14714	K01354
isogroup42694	K14168
isogroup69410	K00231
isogroup225169	K05181
isogroup452454	K16457
isogroup136710	K07855
isogroup3594	K00799
isogroup29340	K03143
isogroup340276	K05034
isogroup117897	K15166
isogroup15666	K01304
isogroup147950	K15837
isogroup1671	K19525
isogroup144293	K18274
isogroup690347	K02256
isogroup107878	K03174
isogroup142816	K00280
isogroup255038	K04079
isogroup5069	K00432
isogroup257383	K13412
isogroup44171	K14840
isogroup20979	K04515
isogroup48537	K19932
isogroup87071	K17341
isogroup184023	K11850
isogroup220074	K03691
isogroup139298	K04249
isogroup290570	K05312
isogroup231501	K17547
isogroup41308	K03654
isogroup18702	K17495
isogroup200838	K08186
isogroup180570	K10520
isogroup1126	K09044
isogroup7311	K17551
isogroup55597	K17605
isogroup196854	K04351
isogroup151326	K07375
isogroup25179	K21625
isogroup86190	K19787
isogroup17669	K07562
isogroup44920	K17592
isogroup308816	K02901
isogroup186446	K12311
isogroup8227	K01394
isogroup61884	K09848
isogroup264197	K16777
isogroup60060	K16669
isogroup33471	K14388
isogroup178966	K04615
isogroup204533	K02178
isogroup31567	K01562
isogroup34884	K13179
isogroup17422	K08065
isogroup277221	K17548
isogroup301251	K09229
isogroup20636	K01897
isogroup61598	K10642
isogroup170758	K20994
isogroup20956	K06083
isogroup45758	K05208
isogroup543945	K00029
isogroup90701	K11883
isogroup7809	K01079
isogroup40964	K04558
isogroup229534	K17341
isogroup57116	K16484
isogroup181797	K12836
isogroup20532	K20173
isogroup21194	K20398
isogroup25491	K12948
isogroup11733	K15377
isogroup27211	K01456
isogroup2428	K14443
isogroup29832	K12397
isogroup314400	K19601
isogroup14898	K10478
isogroup102	K05764
isogroup194043	K06478
isogroup4080	K06723
isogroup2314	K15614
isogroup123912	K10901
isogroup16606	K20316
isogroup74910	K03655
isogroup213331	K12035
isogroup37872	K11420
isogroup96158	K02030
isogroup109693	K09056
isogroup20472	K02085
isogroup469033	K10628
isogroup12179	K17346
isogroup151411	K03929
isogroup189998	K10380
isogroup187556	K02098
isogroup201085	K08664
isogroup3537	K12842
isogroup17537	K13095
isogroup64536	K00273
isogroup102245	K14209
isogroup229030	K02365
isogroup128	K02932
isogroup9489	K07830
isogroup100042	K14689
isogroup15113	K09518
isogroup65	K02924
isogroup235583	K05656
isogroup472728	K04649
isogroup199199	K10277
isogroup20269	K07293
isogroup4794	K16465
isogroup158061	K00767
isogroup397398	K08621
isogroup52953	K10421
isogroup237041	K13525
isogroup65733	K01904
isogroup297412	K10408
isogroup134	K02873
isogroup228831	K04594
isogroup27770	K06754
isogroup315261	K09452
isogroup251549	K13985
isogroup207881	K04887
isogroup153112	K08624
isogroup3149	K15047
isogroup651718	K04988
isogroup265524	K05673
isogroup12002	K05681
isogroup22538	K10185
isogroup259456	K04424
isogroup208787	K14590
isogroup5717	K03094
isogroup88247	K10644
isogroup145091	K15015
isogroup17354	K16329
isogroup215858	K10960
isogroup70336	K14573
isogroup209986	K06558
isogroup39129	K02599
isogroup17367	K08638
isogroup56824	K14457
isogroup136539	K06619
isogroup14786	K17292
isogroup168484	K12323
isogroup92316	K02943
isogroup66433	K01121
isogroup664968	K02256
isogroup237845	K08736
isogroup18394	K18598
isogroup72187	K17108
isogroup59707	K07127
isogroup11223	K15622
isogroup42894	K03025
isogroup137829	K03002
isogroup114209	K03929
isogroup204639	K16457
isogroup179444	K16482
isogroup418711	K10899
isogroup84113	K17592
isogroup72465	K14521
isogroup145723	K06051
isogroup9748	K07901
isogroup8344	K04705
isogroup36797	K09848
isogroup2646	K07192
isogroup118361	K01280
isogroup655566	K12567
isogroup1385	K13443
isogroup8518	K09428
isogroup56085	K10728
isogroup262345	K02605
isogroup184764	K10454
isogroup65627	K08852
isogroup294113	K04196
isogroup84016	K12035
isogroup90182	K17341
isogroup81886	K16765
isogroup30264	K00012
isogroup303840	K04828
isogroup67864	K04437
isogroup48677	K02954
isogroup5274	K03260
isogroup97016	K07376
isogroup386914	K16604
isogroup200745	K04857
isogroup259729	K10408
isogroup283433	K09331
isogroup69454	K14315
isogroup8031	K05643
isogroup107656	K19655
isogroup35332	K15223
isogroup6580	K12564
isogroup254074	K01527
isogroup10427	K06580
isogroup14295	K17065
isogroup422334	K13912
isogroup45158	K14011
isogroup137380	K17495
isogroup181835	K01676
isogroup78589	K01738
isogroup41990	K19532
isogroup545624	K01217
isogroup2033	K14592
isogroup86643	K16669
isogroup250869	K15837
isogroup60167	K06237
isogroup4975	K11320
isogroup240690	K07855
isogroup204654	K04988
isogroup190914	K20403
isogroup91017	K17201
isogroup294557	K10882
isogroup288502	K05665
isogroup88029	K04988
isogroup227734	K14165
isogroup118788	K10395
isogroup25862	K12880
isogroup33043	K14970
isogroup66223	K01673
isogroup36678	K07819
isogroup363628	K09452
isogroup293093	K02357
isogroup61840	K07497
isogroup6157	K09048
isogroup23958	K13912
isogroup24036	K20703
isogroup62780	K17108
isogroup33290	K08117
isogroup49928	K00939
isogroup183804	K08794
isogroup43825	K07497
isogroup489287	K04437
isogroup25818	K08770
isogroup135453	K10901
isogroup619761	K03263
isogroup372224	K02256
isogroup26122	K00451
isogroup190318	K10380
isogroup194614	K18398
isogroup92428	K10772
isogroup32096	K01230
isogroup19418	K18625
isogroup252671	K13868
isogroup89108	K18274
isogroup192703	K08882
isogroup74779	K05181
isogroup79355	K03130
isogroup61817	K16302
isogroup383039	K03021
isogroup128682	K02893
isogroup154945	K09229
isogroup304120	K19601
isogroup9523	K03332
isogroup1757	K06238
isogroup191	K02941
isogroup3791	K03965
isogroup438366	K00485
isogroup71985	K14841
isogroup2765	K07401
isogroup469353	K03235
isogroup359791	K08869
isogroup615418	K17751
isogroup236890	K03511
isogroup84533	K00771
isogroup10511	K19464
isogroup26809	K03654
isogroup56369	K19176
isogroup22986	K07841
isogroup13142	K14012
isogroup38742	K17345
isogroup145701	K09200
isogroup9172	K13443
isogroup118560	K15363
isogroup27735	K20408
isogroup21712	K05094
isogroup266123	K03173
isogroup170837	K09229
isogroup167037	K15254
isogroup94230	K10478
isogroup4639	K12893
isogroup8885	K03064
isogroup211284	K04592
isogroup14769	K02148
isogroup3461	K10053
isogroup58905	K17535
isogroup20129	K00949
isogroup121864	K06841
isogroup67026	K11866
isogroup2591	K14411
isogroup8445	K15909
isogroup137249	K14778
isogroup145417	K06628
isogroup22746	K07497
isogroup98946	K06226
isogroup32757	K01362
isogroup48395	K14616
isogroup546581	K01769
isogroup343087	K08806
isogroup208947	K04461
isogroup82036	K10397
isogroup1523	K03671
isogroup6761	K20792
isogroup180187	K07497
isogroup87400	K16914
isogroup12375	K09517
isogroup179251	K12231
isogroup160141	K06841
isogroup4766	K00106
isogroup185089	K02942
isogroup32195	K13988
isogroup6786	K08810
isogroup135652	K09608
isogroup79885	K01115
isogroup62164	K10280
isogroup122516	K17341
isogroup451597	K10408
isogroup226614	K08378
isogroup158266	K01733
isogroup136931	K11997
isogroup27150	K06768
isogroup25948	K15259
isogroup559648	K05665
isogroup19328	K12868
isogroup70435	K06252
isogroup408727	K00939
isogroup227606	K11886
isogroup75136	K03902
isogroup63669	K04967
isogroup192395	K04600
isogroup18404	K10773
isogroup636184	K17871
isogroup305379	K15015
isogroup5637	K07904
isogroup11298	K07883
isogroup113129	K11729
isogroup25689	K03994
isogroup49555	K07305
isogroup13274	K06174
isogroup190638	K12035
isogroup67373	K17341
isogroup88462	K14320
isogroup16109	K14546
isogroup42888	K12324
isogroup484617	K08630
isogroup55644	K01312
isogroup1227	K09667
isogroup556348	K00106
isogroup284855	K11374
isogroup10577	K14616
isogroup331155	K10756
isogroup185559	K00101
isogroup41045	K08576
isogroup227117	K07432
isogroup95387	K01025
isogroup55592	K17513
isogroup45751	K12028
isogroup522722	K10800
isogroup5440	K06560
isogroup68416	K18166
isogroup83188	K05330
isogroup21367	K00021
isogroup11147	K14323
isogroup69777	K03691
isogroup51642	K18628
isogroup46712	K07885
isogroup109698	K10445
isogroup161341	K04728
isogroup156	K02957
isogroup46838	K03012
isogroup28193	K08378
isogroup136981	K05665
isogroup234598	K03174
isogroup294539	K12323
isogroup173235	K09583
isogroup51187	K00710
isogroup46881	K00670
isogroup66906	K17360
isogroup61853	K00621
isogroup12637	K03247
isogroup78849	K13208
isogroup70400	K10803
isogroup21060	K01969
isogroup77809	K09608
isogroup196413	K06711
isogroup141485	K10478
isogroup38198	K20790
isogroup19053	K03038
isogroup14935	K00799
isogroup413512	K16669
isogroup80946	K06768
isogroup168629	K06226
isogroup93327	K09624
isogroup129321	K10327
isogroup74938	K01128
isogroup5779	K08031
isogroup14206	K15369
isogroup98309	K08649
isogroup82203	K04150
isogroup35259	K17920
isogroup184809	K10895
isogroup80406	K13047
isogroup128044	K16506
isogroup26332	K16487
isogroup40735	K20098
isogroup7991	K08726
isogroup199206	K04153
isogroup16922	K01907
isogroup14572	K10746
isogroup23940	K10301
isogroup186312	K00812
isogroup253057	K04594
isogroup459538	K07436
isogroup106729	K03798
isogroup346493	K01895
isogroup12564	K19194
isogroup109983	K02561
isogroup3018	K07953
isogroup611245	K17459
isogroup177522	K17690
isogroup12981	K03125
isogroup226147	K03848
isogroup108399	K02599
isogroup115988	K00227
isogroup56089	K12304
isogroup18071	K08892
isogroup170877	K06255
isogroup267425	K02471
isogroup37001	K12132
isogroup94627	K04605
isogroup134336	K02602
isogroup364049	K07497
isogroup21597	K03255
isogroup43260	K10875
isogroup54401	K10667
isogroup15050	K11584
isogroup3620	K13912
isogroup238319	K17545
isogroup15731	K02154
isogroup414665	K04605
isogroup128918	K08504
isogroup75331	K04919
isogroup25699	K15181
isogroup16598	K10394
isogroup441	K09435
isogroup19639	K01874
isogroup393699	K11887
isogroup37240	K07521
isogroup402047	K00734
isogroup53388	K00940
isogroup55429	K14556
isogroup71482	K11800
isogroup189383	K16669
isogroup45596	K09365
isogroup730780	K01077
isogroup73830	K13133
isogroup23579	K00542
isogroup12610	K18758
isogroup213711	K14859
isogroup81034	K10809
isogroup285026	K14592
isogroup502631	K16669
isogroup2241	K09569
isogroup58666	K00228
isogroup129728	K11851
isogroup84755	K00181
isogroup142578	K10457
isogroup74940	K00149
isogroup194209	K20655
isogroup23344	K06636
isogroup39957	K10591
isogroup10743	K20282
isogroup10051	K00311
isogroup176340	K14003
isogroup319648	K00106
isogroup127312	K01298
isogroup26645	K18172
isogroup61952	K18735
isogroup57269	K18953
isogroup54865	K10589
isogroup109351	K17572
isogroup62051	K08886
isogroup170061	K11977
isogroup36466	K12404
isogroup90637	K15456
isogroup146862	K08132
isogroup267150	K04604
isogroup225024	K16599
isogroup48947	K08830
isogroup4554	K00613
isogroup105	K02893
isogroup24116	K01597
isogroup2825	K15690
isogroup51594	K07930
isogroup273510	K06129
isogroup66218	K15117
isogroup15308	K11150
isogroup113190	K19413
isogroup329273	K06125
isogroup24800	K11406
isogroup131387	K04984
isogroup1407	K10413
isogroup171751	K14440
isogroup33775	K10392
isogroup76	K02908
isogroup154160	K16506
isogroup159018	K19626
isogroup59619	K00814
isogroup108864	K14555
isogroup147772	K03929
isogroup179385	K08801
isogroup30844	K20053
isogroup71802	K08681
isogroup30305	K11861
isogroup74323	K13046
isogroup115857	K01693
isogroup19218	K21396
isogroup155709	K10478
isogroup83542	K15290
isogroup5537	K11456
isogroup117561	K06626
isogroup138438	K11426
isogroup2883	K00500
isogroup140195	K08776
isogroup52379	K16726
isogroup81312	K07408
isogroup127909	K10642
isogroup22602	K01692
isogroup17530	K16738
isogroup21951	K17601
isogroup439196	K06877
isogroup11190	K02433
isogroup145914	K19328
isogroup56424	K21456
isogroup133519	K01754
isogroup3621	K12350
isogroup226285	K08076
isogroup52567	K15290
isogroup214691	K15109
isogroup56445	K07901
isogroup126165	K02966
isogroup13976	K10410
isogroup32811	K14692
isogroup11981	K00461
isogroup385674	K14554
isogroup171195	K02923
isogroup488858	K15261
isogroup57892	K07512
isogroup554877	K10380
isogroup21547	K10866
isogroup41700	K08745
isogroup192760	K05673
isogroup167659	K12598
isogroup66040	K11968
isogroup2038	K00864
isogroup36729	K11849
isogroup548260	K02987
isogroup210299	K06971
isogroup214407	K07497
isogroup16730	K17095
isogroup14990	K08045
isogroup21247	K13219
isogroup11120	K18032
isogroup2235	K14008
isogroup136323	K05527
isogroup232952	K01415
isogroup159517	K10457
isogroup123337	K14801
isogroup117977	K17341
isogroup49598	K12021
isogroup14304	K04730
isogroup104228	K08821
isogroup76234	K01324
isogroup177553	K13990
isogroup55556	K11858
isogroup35560	K10443
isogroup127290	K18665
isogroup51631	K04362
isogroup181075	K11366
isogroup10110	K15980
isogroup38318	K16673
isogroup207433	K10268
isogroup127654	K17421
isogroup25424	K16684
isogroup44495	K05087
isogroup290782	K02599
isogroup83449	K14616
isogroup67886	K20477
isogroup115247	K05285
isogroup109555	K08796
isogroup144213	K00738
isogroup87176	K14613
isogroup12670	K14457
isogroup207424	K08851
isogroup38532	K02187
isogroup42715	K08517
isogroup135366	K01895
isogroup67132	K14648
isogroup61172	K03990
isogroup175060	K07422
isogroup33561	K03174
isogroup87003	K07497
isogroup42577	K01365
isogroup348281	K11317
isogroup286866	K07409
isogroup23945	K17535
isogroup35890	K00522
isogroup42383	K07119
isogroup40776	K05701
isogroup24511	K06236
isogroup85419	K10808
isogroup416888	K17255
isogroup19778	K14994
isogroup38784	K16609
isogroup345168	K05181
isogroup154370	K04919
isogroup108062	K07374
isogroup17785	K05011
isogroup90447	K04593
isogroup19417	K08670
isogroup195586	K18327
isogroup110104	K02935
isogroup45185	K08515
isogroup445436	K07497
isogroup85271	K13278
isogroup16982	K07297
isogroup198	K01915
isogroup115545	K04255
isogroup188098	K05181
isogroup68066	K17407
isogroup250954	K17952
isogroup343139	K02915
isogroup22536	K03097
isogroup295716	K01077
isogroup90136	K00759
isogroup393262	K00698
isogroup34538	K11135
isogroup3508	K17725
isogroup84061	K15698
isogroup155764	K03899
isogroup131623	K17583
isogroup21835	K14558
isogroup129280	K05673
isogroup63730	K07048
isogroup30237	K01301
isogroup62658	K04375
isogroup79433	K07497
isogroup72034	K08660
isogroup64043	K03707
isogroup124295	K19827
isogroup12661	K14428
isogroup13149	K01892
isogroup227498	K01487
isogroup58920	K09880
isogroup229554	K05954
isogroup19248	K08266
isogroup158468	K04460
isogroup68411	K16513
isogroup184930	K09643
isogroup24579	K18419
isogroup14201	K12606
isogroup15618	K14310
isogroup385509	K10460
isogroup20310	K13293
isogroup25853	K14005
isogroup13392	K14306
isogroup31739	K15074
isogroup66307	K13990
isogroup24166	K17496
isogroup366219	K12035
isogroup52411	K12613
isogroup286010	K02355
isogroup20296	K21486
isogroup20873	K12847
isogroup1221	K02266
isogroup292642	K03068
isogroup108546	K10478
isogroup29054	K01128
isogroup146991	K08775
isogroup105914	K14614
isogroup51688	K21052
isogroup66409	K14165
isogroup32485	K15498
isogroup249573	K18060
isogroup30622	K18629
isogroup30859	K15192
isogroup8882	K03283
isogroup29619	K00344
isogroup311313	K18398
isogroup63194	K18167
isogroup268715	K04989
isogroup73304	K00297
isogroup9726	K06890
isogroup15912	K09485
isogroup95075	K17346
isogroup6241	K12881
isogroup209411	K05673
isogroup215446	K14568
isogroup33804	K00710
isogroup24473	K04422
isogroup277619	K18327
isogroup258687	K02183
isogroup47186	K14409
isogroup10124	K08622
isogroup7747	K11353
isogroup177208	K06483
isogroup25407	K10393
isogroup12039	K15699
isogroup196696	K04225
isogroup167902	K09671
isogroup25679	K03691
isogroup3378	K06215
isogroup239358	K04316
isogroup219593	K13983
isogroup18022	K15377
isogroup73971	K10799
isogroup9844	K08202
isogroup16538	K18080
isogroup131668	K02432
isogroup37668	K02258
isogroup256849	K05181
isogroup379478	K04874
isogroup501	K06237
isogroup50920	K12871
isogroup25543	K16463
isogroup387875	K00412
isogroup80283	K17820
isogroup49879	K19583
isogroup72166	K00567
isogroup438434	K02112
isogroup63479	K03654
isogroup6690	K08132
isogroup108305	K01020
isogroup8233	K04465
isogroup13822	K12375
isogroup35647	K13304
isogroup241107	K01855
isogroup76858	K13047
isogroup11478	K17781
isogroup176420	K04224
isogroup65539	K06883
isogroup17643	K15169
isogroup267985	K10450
isogroup509839	K06711
isogroup25295	K01586
isogroup253963	K10478
isogroup54291	K16686
isogroup43432	K06694
isogroup94735	K07890
isogroup154486	K04165
isogroup223401	K13956
isogroup10836	K05695
isogroup119773	K14833
isogroup5618	K00972
isogroup184157	K19899
isogroup104638	K17690
isogroup45105	K04710
isogroup37098	K11373
isogroup218999	K20151
isogroup26228	K01539
isogroup115940	K18170
isogroup221752	K16669
isogroup12042	K10586
isogroup13458	K09527
isogroup24626	K18134
isogroup178411	K10396
isogroup599991	K07901
isogroup129137	K05502
isogroup319809	K19465
isogroup18488	K00830
isogroup269239	K10455
isogroup12249	K15437
isogroup90158	K17495
isogroup15591	K00910
isogroup6608	K11188
isogroup23089	K04575
isogroup65511	K04506
isogroup15685	K01285
isogroup88815	K14806
isogroup6300	K00252
isogroup7214	K10370
isogroup267373	K05053
isogroup41194	K13298
isogroup27594	K06585
isogroup5355	K13109
isogroup127433	K05036
isogroup25144	K10153
isogroup2134	K09594
isogroup134199	K20029
isogroup4509	K05728
isogroup27996	K00905
isogroup238390	K08802
isogroup41290	K17924
isogroup13229	K11666
isogroup148027	K00544
isogroup31807	K00760
isogroup2483	K09105
isogroup300894	K03440
isogroup20712	K00049
isogroup207000	K00598
isogroup101389	K10457
isogroup78542	K17849
isogroup28856	K05931
isogroup267237	K05093
isogroup274900	K01217
isogroup9496	K15119
isogroup58489	K08025
isogroup16559	K08875
isogroup136920	K19993
isogroup64884	K06236
isogroup48296	K00069
isogroup109238	K10404
isogroup401339	K09624
isogroup51068	K08375
isogroup14427	K04674
isogroup58150	K16472
isogroup9613	K19495
isogroup35475	K14411
isogroup140522	K17495
isogroup284912	K13046
isogroup608120	K13293
isogroup171629	K08205
isogroup183430	K04563
isogroup2095	K00415
isogroup119115	K08239
isogroup43806	K20409
isogroup24079	K12261
isogroup50967	K16462
isogroup61592	K06874
isogroup156403	K17572
isogroup173004	K13240
isogroup80974	K14863
isogroup86214	K16762
isogroup289426	K10478
isogroup26655	K20473
isogroup11824	K02210
isogroup140547	K04600
isogroup188940	K04892
isogroup96164	K13236
isogroup233675	K03353
isogroup49461	K05871
isogroup335820	K10960
isogroup28826	K10380
isogroup15198	K03009
isogroup189319	K17495
isogroup184488	K00714
isogroup22158	K19760
isogroup46748	K11997
isogroup129330	K10858
isogroup274509	K13763
isogroup338089	K05181
isogroup58325	K03341
isogroup109934	K16912
isogroup1893	K15013
isogroup17847	K05309
isogroup156389	K15837
isogroup165	K08872
isogroup20885	K10389
isogroup74907	K17613
isogroup9197	K02168
isogroup9242	K05635
isogroup29597	K10746
isogroup110680	K11703
isogroup152795	K10454
isogroup101572	K08252
isogroup184436	K17495
isogroup4016	K13199
isogroup45856	K19907
isogroup32273	K14453
isogroup118598	K00408
isogroup37903	K15443
isogroup219085	K08190
isogroup69038	K02355
isogroup194348	K14440
isogroup112239	K10408
isogroup116158	K01014
isogroup232655	K08734
isogroup102238	K15326
isogroup235334	K16857
isogroup353784	K08625
isogroup345782	K11810
isogroup176723	K11252
isogroup396289	K13525
isogroup54330	K05108
isogroup593248	K07386
isogroup65210	K07874
isogroup496786	K02605
isogroup326346	K06677
isogroup57384	K05053
isogroup44502	K17095
isogroup178915	K04838
isogroup6372	K17794
isogroup224423	K06704
isogroup4062	K01315
isogroup15999	K11127
isogroup401653	K00472
isogroup521844	K10414
isogroup63961	K00002
isogroup35146	K13142
isogroup69691	K12389
isogroup253363	K08465
isogroup266610	K08076
isogroup15478	K14007
isogroup66909	K11807
isogroup77896	K13239
isogroup43354	K05464
isogroup49691	K10595
isogroup1293	K03948
isogroup499167	K10356
isogroup85567	K12035
isogroup39061	K15259
isogroup58155	K07189
isogroup87220	K19952
isogroup27872	K08773
isogroup372377	K01120
isogroup470182	K10405
isogroup72190	K11886
isogroup145351	K07994
isogroup63036	K08043
isogroup19160	K13111
isogroup331616	K08465
isogroup195965	K12035
isogroup45130	K10994
isogroup6109	K17341
isogroup440492	K15015
isogroup31330	K12175
isogroup76213	K21768
isogroup239871	K10457
isogroup387179	K14290
isogroup82371	K19755
isogroup38422	K07497
isogroup51784	K19511
isogroup8149	K10593
isogroup14418	K05125
isogroup39563	K18160
isogroup18532	K20705
isogroup56086	K17849
isogroup244863	K04887
isogroup6771	K09553
isogroup10852	K08957
isogroup84691	K10268
isogroup309155	K05673
isogroup29090	K01372
isogroup4379	K04347
isogroup35207	K20795
isogroup65868	K10408
isogroup69020	K16538
isogroup9895	K07763
isogroup69379	K17550
isogroup119	K00140
isogroup3040	K04634
isogroup296894	K04659
isogroup73565	K03135
isogroup15244	K17591
isogroup42772	K20099
isogroup184420	K08076
isogroup372051	K02214
isogroup26069	K09230
isogroup312771	K08252
isogroup33174	K00485
isogroup12082	K13207
isogroup29284	K09608
isogroup115312	K04148
isogroup38143	K11313
isogroup34401	K17887
isogroup25092	K11674
isogroup62115	K14305
isogroup62541	K15839
isogroup59623	K10380
isogroup140038	K15109
isogroup32224	K15293
isogroup25794	K19001
isogroup145831	K00485
isogroup76256	K13133
isogroup118250	K02608
isogroup28028	K20281
isogroup151376	K14536
isogroup232170	K04988
isogroup157216	K04600
isogroup132825	K07497
isogroup74971	K08735
isogroup75300	K18723
isogroup152699	K06126
isogroup184110	K10407
isogroup7721	K14837
isogroup62394	K16777
isogroup57	K02927
isogroup39487	K14553
isogroup26326	K00772
isogroup25823	K14411
isogroup8588	K06689
isogroup64472	K20099
isogroup62223	K17928
isogroup45456	K00408
isogroup202819	K10478
isogroup53414	K09608
isogroup65779	K05218
isogroup129960	K06066
