isogroup283428	K03147
isogroup55544	K01802
isogroup110908	K11411
isogroup205710	K00276
isogroup24622	K14401
isogroup265013	K01676
isogroup265700	K10580
isogroup40179	K00649
isogroup211067	K17278
isogroup279107	K03850
isogroup198016	K04459
isogroup315501	K02116
isogroup524442	K12830
isogroup117321	K11368
isogroup271342	K15276
isogroup211173	K04885
isogroup100608	K05125
isogroup109145	K05656
isogroup54209	K01135
isogroup293203	K05863
isogroup318055	K02471
isogroup21678	K01969
isogroup235226	K13675
isogroup33473	K15445
isogroup95671	K14207
isogroup72475	K06825
isogroup269943	K05181
isogroup226621	K11262
isogroup225720	K19525
isogroup204644	K05034
isogroup346676	K10809
isogroup110282	K01952
isogroup26070	K09592
isogroup156285	K19413
isogroup266656	K03102
isogroup26153	K17816
isogroup96213	K01201
isogroup102648	K02433
isogroup266670	K08798
isogroup41741	K04499
isogroup42423	K19384
isogroup158717	K04853
isogroup117691	K10615
isogroup41502	K09848
isogroup7474	K15438
isogroup313896	K01641
isogroup274251	K00569
isogroup306190	K17495
isogroup282743	K02965
isogroup114299	K05679
isogroup265029	K10949
isogroup94961	K18123
isogroup113683	K10380
isogroup156663	K02978
isogroup8253	K12177
isogroup110981	K15254
isogroup1467	K21396
isogroup26862	K04600
isogroup2175	K14326
isogroup151545	K00380
isogroup397459	K01493
isogroup145172	K05039
isogroup334963	K02519
isogroup264844	K03438
isogroup11802	K11279
isogroup192692	K05692
isogroup81118	K07880
isogroup1782	K06491
isogroup28514	K08524
isogroup49890	K21121
isogroup129173	K18588
isogroup317738	K10134
isogroup119322	K03924
isogroup263846	K02995
isogroup373	K00522
isogroup50587	K00759
isogroup299433	K20032
isogroup29800	K16669
isogroup32089	K00868
isogroup30892	K13411
isogroup20633	K01589
isogroup35406	K15100
isogroup92364	K15442
isogroup70170	K08834
isogroup300077	K03686
isogroup63064	K17495
isogroup6409	K14688
isogroup187655	K09214
isogroup168163	K04892
isogroup114747	K18798
isogroup21039	K06413
isogroup86316	K16777
isogroup155510	K10594
isogroup15635	K17797
isogroup156123	K01262
isogroup16996	K17598
isogroup418007	K01509
isogroup6437	K17307
isogroup116420	K13184
isogroup2228	K02132
isogroup289653	K05794
isogroup10936	K01687
isogroup400545	K04079
isogroup89851	K11491
isogroup302432	K20293
isogroup116210	K09580
isogroup285511	K08727
isogroup79638	K05857
isogroup230061	K09578
isogroup376722	K04710
isogroup83158	K00799
isogroup294800	K01673
isogroup292968	K00472
isogroup268504	K11982
isogroup105222	K14213
isogroup115289	K04771
isogroup266161	K11703
isogroup286540	K00476
isogroup94116	K04739
isogroup697910	K07380
isogroup179121	K12823
isogroup300996	K00606
isogroup46582	K00182
isogroup43383	K13103
isogroup87747	K04739
isogroup45680	K13806
isogroup11404	K06820
isogroup25367	K15171
isogroup20588	K17600
isogroup39562	K14857
isogroup180632	K03283
isogroup670571	K13983
isogroup45936	K08835
isogroup27538	K16743
isogroup97402	K01315
isogroup325226	K03644
isogroup313642	K02883
isogroup273793	K08798
isogroup276564	K06927
isogroup282333	K01803
isogroup118720	K01410
isogroup107990	K12440
isogroup93430	K19178
isogroup347588	K05665
isogroup287516	K03235
isogroup70387	K00290
isogroup162701	K04986
isogroup117526	K01918
isogroup204705	K21064
isogroup36324	K03842
isogroup231982	K10380
isogroup213974	K10380
isogroup41499	K07514
isogroup321442	K03320
isogroup281314	K15731
isogroup30738	K04515
isogroup104524	K10967
isogroup92738	K17690
isogroup43635	K21486
isogroup29369	K09608
isogroup213143	K00108
isogroup306140	K02871
isogroup46745	K15152
isogroup73152	K13353
isogroup274851	K21993
isogroup57309	K18479
isogroup1091	K04646
isogroup295585	K00314
isogroup117511	K00486
isogroup28127	K07756
isogroup25616	K17562
isogroup220617	K10839
isogroup7619	K03033
isogroup115836	K08630
isogroup115946	K03263
isogroup78411	K05129
isogroup122098	K12035
isogroup21184	K20828
isogroup314550	K08675
isogroup152906	K14850
isogroup2494	K17495
isogroup70682	K00799
isogroup29790	K00477
isogroup112569	K14442
isogroup30869	K00058
isogroup299114	K18669
isogroup243765	K12573
isogroup13035	K05868
isogroup174080	K02510
isogroup115794	K04739
isogroup284854	K10380
isogroup19383	K03014
isogroup232145	K05016
isogroup550521	K04646
isogroup8375	K05610
isogroup234894	K00939
isogroup39624	K17301
isogroup700113	K02349
isogroup470698	K03676
isogroup859	K04565
isogroup51897	K10380
isogroup80065	K05343
isogroup33395	K02183
isogroup188806	K19927
isogroup16402	K19985
isogroup76218	K01047
isogroup45550	K19759
isogroup192444	K00474
isogroup289702	K17943
isogroup274669	K16675
isogroup202351	K02471
isogroup83841	K16606
isogroup200794	K13126
isogroup360265	K14638
isogroup280317	K00222
isogroup43711	K14805
isogroup284430	K07299
isogroup25590	K11481
isogroup260548	K09322
isogroup66822	K00311
isogroup58528	K01697
isogroup286008	K07889
isogroup53058	K15272
isogroup714758	K02256
isogroup178116	K12386
isogroup5140	K01262
isogroup26496	K00939
isogroup315364	K10408
isogroup73874	K10380
isogroup29987	K19613
isogroup302997	K01090
isogroup165208	K05656
isogroup275057	K15188
isogroup201854	K15111
isogroup264260	K02908
isogroup114248	K04849
isogroup104080	K07497
isogroup101768	K01057
isogroup4800	K12838
isogroup283956	K01535
isogroup29523	K14537
isogroup7914	K16353
isogroup43628	K15191
isogroup39229	K11141
isogroup53577	K03327
isogroup35703	K06276
isogroup365685	K11584
isogroup82445	K01624
isogroup71199	K20890
isogroup135013	K06813
isogroup271908	K08139
isogroup203314	K01915
isogroup624810	K16857
isogroup99923	K17572
isogroup7742	K20412
isogroup220086	K06051
isogroup84045	K07497
isogroup47848	K12385
isogroup188813	K03737
isogroup640947	K03993
isogroup308075	K06877
isogroup407551	K04460
isogroup119985	K00715
isogroup65394	K10615
isogroup49345	K12489
isogroup302318	K20843
isogroup212879	K05941
isogroup14358	K07752
isogroup307537	K13291
isogroup208779	K21989
isogroup26696	K00615
isogroup330620	K10408
isogroup350899	K07379
isogroup173261	K00799
isogroup119186	K04043
isogroup282160	K00002
isogroup332	K02889
isogroup423482	K16669
isogroup194356	K01006
isogroup215131	K09537
isogroup35649	K19907
isogroup115504	K13254
isogroup593857	K07376
isogroup72615	K10380
isogroup60077	K09521
isogroup93644	K18479
isogroup54557	K16759
isogroup299881	K03929
isogroup224911	K11154
isogroup153668	K00873
isogroup30612	K01847
isogroup224218	K04905
isogroup96064	K16312
isogroup251153	K01624
isogroup28760	K12432
isogroup41117	K08794
isogroup231820	K01183
isogroup4055	K16866
isogroup273334	K00905
isogroup366257	K05349
isogroup39261	K14539
isogroup377152	K05034
isogroup36952	K10876
isogroup393204	K01624
isogroup39291	K13412
isogroup5822	K19499
isogroup20507	K02149
isogroup92154	K21989
isogroup119392	K08288
isogroup15327	K00820
isogroup33005	K07380
isogroup39187	K10401
isogroup6029	K13578
isogroup218212	K05663
isogroup38864	K06890
isogroup36183	K10165
isogroup35405	K01382
isogroup296326	K14376
isogroup28048	K05894
isogroup19719	K12163
isogroup77108	K08214
isogroup228366	K10595
isogroup268081	K04688
isogroup560037	K12391
isogroup122803	K14560
isogroup282404	K10599
isogroup56157	K04967
isogroup86058	K05673
isogroup61374	K10393
isogroup71038	K00720
isogroup215108	K21396
isogroup23162	K04555
isogroup13485	K20349
isogroup270773	K12581
isogroup280776	K19430
isogroup40226	K10380
isogroup213978	K06825
isogroup104962	K15837
isogroup83061	K14493
isogroup234656	K06180
isogroup237307	K06758
isogroup112600	K18055
isogroup212449	K05605
isogroup75268	K07300
isogroup615472	K04967
isogroup90835	K07198
isogroup90347	K11997
isogroup45901	K08145
isogroup16140	K15118
isogroup23426	K05695
isogroup173662	K08520
isogroup168081	K02355
isogroup288836	K16601
isogroup167788	K01442
isogroup259618	K07901
isogroup100881	K19362
isogroup64252	K05126
isogroup72461	K13216
isogroup115014	K08341
isogroup117935	K13412
isogroup50854	K10396
isogroup105529	K12441
isogroup54977	K01625
isogroup116892	K01365
isogroup31282	K17981
isogroup116996	K02154
isogroup102859	K00451
isogroup56492	K10481
isogroup346867	K04607
isogroup77570	K21440
isogroup209358	K10397
isogroup79629	K06207
isogroup8429	K20068
isogroup181947	K03320
isogroup441505	K17499
isogroup11389	K01681
isogroup11551	K13179
isogroup326549	K12819
isogroup90303	K04148
isogroup266516	K13238
isogroup189921	K08288
isogroup266576	K14379
isogroup111774	K08582
isogroup264	K02936
isogroup2380	K14683
isogroup279917	K16290
isogroup59607	K12035
isogroup285771	K07376
isogroup107294	K00002
isogroup145328	K12883
isogroup103797	K11594
isogroup105414	K05592
isogroup115051	K16726
isogroup284751	K05643
isogroup100245	K11136
isogroup197002	K04688
isogroup176747	K05614
isogroup433582	K01176
isogroup181494	K00002
isogroup23297	K06279
isogroup299806	K15436
isogroup46667	K10380
isogroup32007	K01379
isogroup115408	K09166
isogroup112155	K16271
isogroup267176	K06891
isogroup16944	K04512
isogroup971	K01255
isogroup273990	K10424
isogroup10523	K09290
isogroup56816	K06639
isogroup54283	K08151
isogroup85908	K04852
isogroup62725	K13748
isogroup166916	K02183
isogroup96148	K08857
isogroup12667	K21283
isogroup37936	K11108
isogroup291902	K01379
isogroup16585	K10408
isogroup195539	K12608
isogroup115819	K12857
isogroup51392	K13720
isogroup70822	K20166
isogroup186824	K00889
isogroup210065	K21804
isogroup26318	K11204
isogroup38395	K12405
isogroup180444	K05016
isogroup241897	K01279
isogroup58736	K12493
isogroup166849	K01897
isogroup58374	K10591
isogroup332926	K00700
isogroup332810	K00710
isogroup71993	K00324
isogroup300915	K05673
isogroup213402	K12857
isogroup18464	K07762
isogroup7736	K11086
isogroup68334	K18283
isogroup216964	K03929
isogroup282951	K10807
isogroup16028	K06662
isogroup152929	K11839
isogroup31945	K00380
isogroup55883	K08790
isogroup305125	K14950
isogroup39503	K01379
isogroup43009	K15284
isogroup95989	K14521
isogroup118613	K02880
isogroup66377	K10408
isogroup87289	K05929
isogroup52427	K04957
isogroup222182	K00710
isogroup66238	K17606
isogroup293028	K00645
isogroup53321	K13412
isogroup1334	K13217
isogroup55901	K16489
isogroup80764	K03347
isogroup315732	K16457
isogroup311241	K19525
isogroup117417	K04083
isogroup197390	K07513
isogroup186111	K15109
isogroup112146	K02607
isogroup48558	K12132
isogroup309139	K07376
isogroup566593	K04988
isogroup246633	K03782
isogroup69198	K04043
isogroup287760	K03627
isogroup290042	K08577
isogroup55409	K10595
isogroup315960	K13024
isogroup29190	K18529
isogroup86452	K19372
isogroup152974	K17973
isogroup61638	K17508
isogroup16520	K15421
isogroup40413	K14638
isogroup240	K11253
isogroup213095	K09219
isogroup26257	K20656
isogroup176486	K08052
isogroup191574	K08957
isogroup182849	K00476
isogroup180410	K00898
isogroup285049	K14724
isogroup40677	K07198
isogroup294787	K11416
isogroup273035	K12132
isogroup319485	K10414
isogroup113720	K15111
isogroup267817	K17732
isogroup56514	K14442
isogroup46456	K11811
isogroup171575	K02987
isogroup86466	K16669
isogroup163779	K01768
isogroup287242	K02879
isogroup59626	K13107
isogroup14714	K01354
isogroup101288	K20417
isogroup42694	K14168
isogroup117017	K12606
isogroup69410	K00231
isogroup225169	K05181
isogroup103764	K01613
isogroup119798	K01537
isogroup452454	K16457
isogroup119837	K12501
isogroup311221	K02154
isogroup136710	K07855
isogroup3594	K00799
isogroup177654	K16606
isogroup29340	K03143
isogroup115809	K10644
isogroup116820	K01210
isogroup340276	K05034
isogroup43594	K01834
isogroup154771	K00281
isogroup117897	K15166
isogroup15666	K01304
isogroup228226	K10408
isogroup294164	K03102
isogroup111531	K04997
isogroup337944	K11204
isogroup147950	K15837
isogroup120581	K00898
isogroup160429	K11527
isogroup54270	K09577
isogroup1671	K19525
isogroup273250	K13701
isogroup144293	K18274
isogroup57318	K04392
isogroup178444	K03687
isogroup58107	K06147
isogroup690347	K02256
isogroup276091	K10408
isogroup107878	K03174
isogroup45177	K06966
isogroup142816	K00280
isogroup113876	K13412
isogroup51556	K15085
isogroup255038	K04079
isogroup5069	K00432
isogroup245965	K10393
isogroup224184	K17584
isogroup99889	K00974
isogroup257383	K13412
isogroup182172	K01768
isogroup124924	K15777
isogroup300454	K09020
isogroup81376	K18469
isogroup309941	K04365
isogroup114712	K14824
isogroup31387	K00953
isogroup44171	K14840
isogroup20979	K04515
isogroup48537	K19932
isogroup97322	K00099
isogroup287474	K11839
isogroup203790	K15403
isogroup87071	K17341
isogroup204322	K13037
isogroup184023	K11850
isogroup264502	K02727
isogroup220074	K03691
isogroup139298	K04249
isogroup294552	K08176
isogroup239326	K00326
isogroup337210	K00264
isogroup204491	K05849
isogroup290570	K05312
isogroup111379	K14802
isogroup107453	K03235
isogroup244909	K14521
isogroup231501	K17547
isogroup41308	K03654
isogroup22266	K00147
isogroup18702	K17495
isogroup215731	K01669
isogroup163790	K01202
isogroup108043	K11323
isogroup200838	K08186
isogroup180570	K10520
isogroup44516	K13953
isogroup286660	K07376
isogroup156569	K19219
isogroup197280	K10380
isogroup290406	K00326
isogroup335264	K14379
isogroup1126	K09044
isogroup7311	K17551
isogroup216365	K10615
isogroup265080	K12132
isogroup116219	K02542
isogroup211280	K10380
isogroup102328	K21440
isogroup55597	K17605
isogroup196854	K04351
isogroup151326	K07375
isogroup25179	K21625
isogroup36546	K08838
isogroup100207	K04834
isogroup86190	K19787
isogroup292648	K03696
isogroup40464	K18980
isogroup270486	K10380
isogroup271959	K17619
isogroup17669	K07562
isogroup44920	K17592
isogroup88676	K16726
isogroup40304	K00630
isogroup203172	K12604
isogroup52923	K21878
isogroup245726	K03834
isogroup308816	K02901
isogroup313312	K11824
isogroup352855	K05643
isogroup186446	K01885
isogroup68702	K07376
isogroup8227	K01394
isogroup61884	K09848
isogroup59634	K19029
isogroup60060	K16669
isogroup230246	K00326
isogroup33471	K14388
isogroup287718	K04043
isogroup73591	K14457
isogroup178966	K04615
isogroup204533	K02178
isogroup31567	K01562
isogroup34884	K13179
isogroup39377	K09478
isogroup132977	K03447
isogroup54654	K13412
isogroup17422	K08065
isogroup269885	K16604
isogroup277221	K17548
isogroup301251	K09229
isogroup20636	K01897
isogroup61598	K10642
isogroup307611	K01897
isogroup170758	K20994
isogroup58310	K08582
isogroup423403	K07376
isogroup20956	K06083
isogroup290349	K10949
isogroup45758	K05208
isogroup64943	K15381
isogroup301807	K08193
isogroup102989	K04515
isogroup543945	K00029
isogroup40285	K13126
isogroup90701	K11883
isogroup7809	K01079
isogroup40964	K04558
isogroup331894	K08869
isogroup57838	K19584
isogroup264015	K03262
isogroup357393	K10408
isogroup181797	K12836
isogroup286864	K10615
isogroup20532	K20173
isogroup21194	K20398
isogroup168228	K00002
isogroup284355	K13412
isogroup25491	K12948
isogroup11733	K15377
isogroup204514	K14007
isogroup27211	K01456
isogroup2428	K14443
isogroup29832	K12397
isogroup314400	K19601
isogroup305757	K05592
isogroup311239	K09880
isogroup14898	K10478
isogroup162273	K12393
isogroup102	K05764
isogroup194043	K06478
isogroup291298	K17570
isogroup65093	K19329
isogroup72679	K00799
isogroup210892	K14326
isogroup91437	K12835
isogroup4080	K06723
isogroup81979	K00799
isogroup2314	K15614
isogroup182618	K12960
isogroup123912	K10901
isogroup71132	K18980
isogroup286820	K19613
isogroup191641	K09579
isogroup302341	K00140
isogroup16606	K20316
isogroup74910	K03655
isogroup106826	K01649
isogroup279434	K19603
isogroup213331	K12035
isogroup46182	K09518
isogroup37872	K11420
isogroup96158	K02030
isogroup113509	K11886
isogroup109693	K09056
isogroup48725	K14755
isogroup276849	K03438
isogroup20472	K02085
isogroup276599	K02183
isogroup469033	K10628
isogroup307184	K03283
isogroup56913	K06630
isogroup29734	K21396
isogroup265651	K20472
isogroup12179	K17346
isogroup46818	K13755
isogroup161088	K00933
isogroup92471	K11166
isogroup116178	K02925
isogroup160023	K01673
isogroup271651	K02183
isogroup271590	K10614
isogroup119480	K03362
isogroup102889	K04429
isogroup227793	K08654
isogroup183341	K14780
isogroup6298	K10408
isogroup114450	K12385
isogroup282843	K09500
isogroup151411	K03929
isogroup294365	K21862
isogroup298810	K00797
isogroup119131	K07937
isogroup189998	K10380
isogroup201085	K08664
isogroup95411	K09680
isogroup3537	K12842
isogroup17537	K13095
isogroup64536	K00273
isogroup102245	K14209
isogroup229030	K02365
isogroup212350	K14440
isogroup128	K02932
isogroup9489	K07830
isogroup212466	K01408
isogroup15113	K09518
isogroup65	K02924
isogroup235583	K05656
isogroup472728	K04649
isogroup289231	K04371
isogroup88001	K15276
isogroup104025	K01379
isogroup70294	K00020
isogroup154404	K13761
isogroup199199	K10277
isogroup329870	K00771
isogroup20269	K07293
isogroup4794	K16465
isogroup29502	K17278
isogroup43763	K16602
isogroup158061	K00767
isogroup397398	K08621
isogroup263995	K03094
isogroup52953	K10421
isogroup59563	K01644
isogroup237041	K13525
isogroup265483	K03246
isogroup65733	K01904
isogroup317472	K00472
isogroup268119	K08798
isogroup77033	K13366
isogroup8307	K18703
isogroup297412	K10408
isogroup420340	K06213
isogroup96397	K15692
isogroup134	K02873
isogroup227173	K10614
isogroup228831	K04594
isogroup80967	K13412
isogroup294481	K19755
isogroup70912	K00750
isogroup27770	K06754
isogroup350393	K12122
isogroup285322	K14815
isogroup315261	K09452
isogroup112288	K00476
isogroup304285	K03798
isogroup251549	K13985
isogroup207881	K04887
isogroup153112	K08624
isogroup3149	K15047
isogroup329973	K14809
isogroup34014	K01354
isogroup291623	K14724
isogroup651718	K04988
isogroup119349	K13412
isogroup314937	K05849
isogroup209819	K02998
isogroup12002	K05681
isogroup305013	K01338
isogroup203377	K00612
isogroup200726	K13293
isogroup117144	K00901
isogroup22538	K10185
isogroup273126	K10380
isogroup270003	K20165
isogroup259456	K04424
isogroup229503	K01179
isogroup208787	K14590
isogroup297505	K01890
isogroup57457	K08857
isogroup5717	K03094
isogroup162969	K06943
isogroup88247	K10644
isogroup259985	K14841
isogroup145091	K15015
isogroup291093	K18798
isogroup17354	K16329
isogroup70336	K14573
isogroup180051	K15282
isogroup116102	K04461
isogroup296291	K01530
isogroup299167	K03252
isogroup209986	K06558
isogroup39129	K02599
isogroup283771	K12410
isogroup290597	K17301
isogroup280276	K08798
isogroup17367	K08638
isogroup399358	K01510
isogroup116050	K11170
isogroup364925	K00128
isogroup173002	K00101
isogroup56824	K14457
isogroup136539	K06619
isogroup267424	K07936
isogroup14786	K17292
isogroup168484	K12323
isogroup92316	K02943
isogroup309064	K01803
isogroup181244	K00791
isogroup270281	K17795
isogroup66433	K01121
isogroup329353	K15449
isogroup664968	K02256
isogroup305159	K07198
isogroup345239	K03979
isogroup237845	K08736
isogroup46966	K04554
isogroup42608	K01915
isogroup28899	K17943
isogroup186863	K05857
isogroup18394	K18598
isogroup72187	K17108
isogroup59707	K07127
isogroup391736	K12164
isogroup301028	K03544
isogroup11223	K15622
isogroup42894	K00645
isogroup137829	K03002
isogroup264968	K17550
isogroup118707	K02202
isogroup204639	K16457
isogroup202040	K08869
isogroup38547	K02528
isogroup179444	K16482
isogroup118671	K13354
isogroup418711	K10899
isogroup222415	K15449
isogroup84113	K17592
isogroup72465	K14521
isogroup193361	K11187
isogroup63399	K10615
isogroup274684	K00485
isogroup288931	K05665
isogroup338223	K03386
isogroup187602	K12850
isogroup268575	K01591
isogroup114586	K17725
isogroup80205	K16055
isogroup145723	K06051
isogroup160352	K13576
isogroup9748	K07901
isogroup8344	K04705
isogroup36797	K09848
isogroup248530	K10615
isogroup2646	K07192
isogroup118361	K01280
isogroup97281	K14990
isogroup655566	K12567
isogroup178729	K13448
isogroup285961	K14016
isogroup1385	K13443
isogroup291454	K01593
isogroup299935	K19671
isogroup8518	K09428
isogroup287704	K03687
isogroup180671	K12888
isogroup46476	K20726
isogroup56085	K10728
isogroup198088	K06889
isogroup293926	K01358
isogroup262345	K02605
isogroup184764	K10454
isogroup65627	K08852
isogroup225669	K12460
isogroup84016	K12035
isogroup205738	K10585
isogroup90182	K17341
isogroup220765	K12442
isogroup81886	K16765
isogroup30264	K00012
isogroup231217	K16196
isogroup303840	K04828
isogroup67864	K04437
isogroup277970	K03424
isogroup50296	K13289
isogroup115660	K03039
isogroup283513	K09458
isogroup65800	K08869
isogroup114180	K13412
isogroup267410	K08056
isogroup5274	K03260
isogroup386914	K16604
isogroup220720	K14326
isogroup287271	K04891
isogroup178370	K10380
isogroup200745	K04857
isogroup59205	K14165
isogroup259729	K10408
isogroup183393	K10477
isogroup283433	K09331
isogroup264092	K04460
isogroup178331	K03639
isogroup69454	K14315
isogroup275018	K10450
isogroup102486	K02575
isogroup8031	K05643
isogroup107656	K19655
isogroup35332	K15223
isogroup6580	K12564
isogroup254074	K01527
isogroup317553	K07376
isogroup220258	K08794
isogroup219193	K15216
isogroup113847	K09560
isogroup10427	K06580
isogroup26996	K01382
isogroup165251	K03320
isogroup52202	K04461
isogroup14295	K17065
isogroup422334	K13912
isogroup56500	K18066
isogroup45158	K14011
isogroup115983	K13412
isogroup137380	K17495
isogroup216995	K10380
isogroup269818	K20165
isogroup181835	K01676
isogroup78589	K01738
isogroup41990	K19532
isogroup280659	K01915
isogroup545624	K01217
isogroup44810	K10859
isogroup2033	K14592
isogroup283526	K03527
isogroup271922	K03798
isogroup284034	K08818
isogroup293376	K00889
isogroup272671	K12410
isogroup252426	K18533
isogroup86643	K16669
isogroup250869	K15837
isogroup161524	K00020
isogroup60167	K06237
isogroup289339	K17086
isogroup4975	K11320
isogroup240690	K07855
isogroup190170	K04739
isogroup357676	K10408
isogroup361782	K03046
isogroup204654	K04988
isogroup190914	K20403
isogroup367766	K06890
isogroup91017	K17201
isogroup313502	K00476
isogroup294557	K10882
isogroup288502	K05665
isogroup49318	K22207
isogroup268251	K10380
isogroup316237	K13293
isogroup123285	K07374
isogroup88029	K04988
isogroup227734	K14165
isogroup167360	K11407
isogroup118788	K10395
isogroup283153	K01845
isogroup25862	K12880
isogroup246013	K01006
isogroup209072	K04706
isogroup33043	K14970
isogroup104032	K09602
isogroup52384	K01869
isogroup298114	K09580
isogroup66223	K01673
isogroup36678	K07819
isogroup275522	K09479
isogroup363628	K09452
isogroup293093	K10408
isogroup274391	K16675
isogroup61840	K07497
isogroup118126	K05643
isogroup6157	K09048
isogroup23958	K13912
isogroup122196	K01358
isogroup107899	K10799
isogroup120717	K05542
isogroup264713	K01835
isogroup205648	K14404
isogroup24036	K20703
isogroup58796	K10624
isogroup62780	K17108
isogroup231662	K01262
isogroup274891	K14963
isogroup33290	K08117
isogroup208654	K15210
isogroup48900	K03355
isogroup89027	K07198
isogroup267497	K00931
isogroup49928	K00939
isogroup279311	K14652
isogroup292540	K14848
isogroup116352	K17964
isogroup433150	K03231
isogroup247261	K07937
isogroup208954	K00011
isogroup113564	K11162
isogroup183804	K07126
isogroup43825	K07497
isogroup274532	K10455
isogroup293867	K08853
isogroup489287	K04437
isogroup25818	K08770
isogroup117979	K05286
isogroup135453	K10901
isogroup268255	K21734
isogroup619761	K03263
isogroup95072	K03924
isogroup223048	K03512
isogroup41458	K02155
isogroup372224	K02256
isogroup64706	K02945
isogroup26122	K00451
isogroup190318	K10380
isogroup92428	K10772
isogroup194614	K18398
isogroup276772	K04487
isogroup32096	K01230
isogroup19418	K18625
isogroup252671	K13868
isogroup89108	K18274
isogroup192703	K08882
isogroup441130	K10420
isogroup297397	K03006
isogroup74779	K05181
isogroup79355	K03130
isogroup117424	K18468
isogroup115019	K14950
isogroup61817	K16302
isogroup26016	K17619
isogroup195610	K06901
isogroup383039	K03021
isogroup265197	K07407
isogroup128682	K02893
isogroup350153	K01784
isogroup154945	K09229
isogroup304120	K19601
isogroup319343	K20296
isogroup200787	K19269
isogroup9523	K03332
isogroup282494	K13107
isogroup85820	K16066
isogroup1757	K06238
isogroup308181	K03320
isogroup164922	K01379
isogroup116570	K02183
isogroup191	K02941
isogroup300199	K08857
isogroup277467	K03768
isogroup3791	K03965
isogroup31868	K11481
isogroup438366	K00485
isogroup104360	K19932
isogroup156554	K09861
isogroup71985	K14841
isogroup2765	K07401
isogroup469353	K03235
isogroup359791	K08869
isogroup615418	K17751
isogroup274778	K00799
isogroup168691	K07115
isogroup281541	K01689
isogroup115672	K03462
isogroup40279	K10578
isogroup236890	K03511
isogroup84533	K00771
isogroup28234	K01685
isogroup168015	K01006
isogroup102947	K12439
isogroup307516	K18468
isogroup10511	K19464
isogroup26809	K03654
isogroup56369	K19176
isogroup161697	K12850
isogroup317392	K10615
isogroup116873	K17943
isogroup22986	K07841
isogroup214474	K00710
isogroup178075	K03032
isogroup265577	K02183
isogroup13142	K14012
isogroup296020	K14826
isogroup72177	K01008
isogroup38742	K17345
isogroup108530	K10408
isogroup145701	K09200
isogroup305097	K10901
isogroup130666	K02885
isogroup327687	K01648
isogroup283160	K18467
isogroup59850	K22075
isogroup229356	K17675
isogroup9172	K13443
isogroup118560	K15363
isogroup158407	K12486
isogroup27735	K20408
isogroup21712	K05094
isogroup226110	K03237
isogroup264988	K05034
isogroup170837	K09229
isogroup167037	K15272
isogroup31876	K05658
isogroup94230	K10478
isogroup39184	K10417
isogroup4639	K12893
isogroup269429	K00382
