Cladocopium293578	K22370
Cladocopium240679	K19375
Cladocopium188162	K12823
Mcavernosa17063	K03068
Cladocopium185401	K00820
Cladocopium181060	K07376
Cladocopium159173	K04097
Cladocopium296482	K01802
Cladocopium324688	K22763
Cladocopium275428	K00754
Cladocopium210710	K19525
Mcavernosa32497	K08149
Cladocopium118980	K10615
Cladocopium179193	K17278
Cladocopium82042	K20242
Cladocopium203172	K12604
Mcavernosa18398	K14718
Mcavernosa17245	K20798
Cladocopium231835	K03327
Mcavernosa07721	K03097
Mcavernosa23543	K14564
Mcavernosa23836	K08269
Cladocopium174404	K11992
Cladocopium266028	K17086
Cladocopium296809	K14403
Cladocopium274390	K01405
Cladocopium119807	K17839
Mcavernosa02517	K01415
Mcavernosa16357	K10706
Mcavernosa17513	K19408
Cladocopium116040	K10165
Cladocopium215601	K06889
Cladocopium96473	K14401
Cladocopium299491	K11717
Cladocopium272522	K11187
Mcavernosa13000	K01052
Mcavernosa21314	K04223
Mcavernosa26060	K18334
Mcavernosa24507	K04967
Cladocopium303552	K05632
Mcavernosa31115	K14616
Mcavernosa04023	K20282
Cladocopium268172	K01875
Mcavernosa23853	K22524
Cladocopium44924	K20028
Mcavernosa28914	K15414
Cladocopium63372	K05011
Cladocopium314618	K19225
Mcavernosa15988	K04431
Cladocopium40608	K01955
Cladocopium183439	K10592
Cladocopium116468	K10380
Cladocopium45739	K05928
Mcavernosa11990	K08399
Cladocopium121344	K10885
Cladocopium314100	K00812
Cladocopium5452	K00706
Cladocopium50403	K06941
Cladocopium223048	K03512
Mcavernosa00935	K19947
Cladocopium170480	K22503
Cladocopium299204	K01802
Cladocopium351493	K07126
Mcavernosa10367	K05293
Mcavernosa26276	K09570
Mcavernosa03658	K05702
Mcavernosa27086	K18532
Cladocopium136160	K02641
Cladocopium115409	K15102
Cladocopium34704	K00951
Cladocopium77169	K00819
Mcavernosa26982	K05673
Mcavernosa30789	K20776
Cladocopium116092	K03737
Mcavernosa20549	K12322
Mcavernosa32841	K20191
Cladocopium165021	K13755
Cladocopium114599	K17943
Mcavernosa25725	K16547
Cladocopium267471	K03671
Cladocopium185122	K05663
Cladocopium265623	K01182
Cladocopium92369	K15630
Mcavernosa18021	K14715
Cladocopium284020	K03259
Mcavernosa02278	K10153
Cladocopium239326	K00326
Cladocopium212815	K03977
Cladocopium153919	K18598
Mcavernosa25431	K20403
Cladocopium264427	K03247
Mcavernosa31077	K12602
Cladocopium105636	K06058
Cladocopium295100	K00721
Cladocopium154473	K10747
Mcavernosa19816	K10862
Cladocopium291429	K18460
Mcavernosa31972	K04266
Mcavernosa12519	K09377
Cladocopium264667	K15276
Cladocopium50674	K06276
Mcavernosa12542	K09109
Mcavernosa21230	K13985
Cladocopium97278	K03522
Cladocopium246881	K11103
Mcavernosa24343	K23222
Cladocopium42604	K04567
Cladocopium175787	K17508
Cladocopium306477	K01687
Cladocopium185252	K13748
Cladocopium115983	K13412
Mcavernosa11799	K09849
Cladocopium120636	K03321
Cladocopium301431	K01110
Cladocopium56718	K03362
Cladocopium118066	K07937
Mcavernosa11229	K12301
Cladocopium81824	K18059
Mcavernosa13426	K09656
Mcavernosa14881	K08803
Mcavernosa13739	K03386
Mcavernosa17041	K18592
Cladocopium158712	K01676
Cladocopium22301	K03737
Cladocopium286707	K01662
Cladocopium281724	K02261
Cladocopium270649	K03118
Cladocopium296549	K08139
Mcavernosa29213	K22733
Mcavernosa25417	K01201
Mcavernosa03797	K10404
Cladocopium295232	K05853
Mcavernosa14746	K10646
Cladocopium56021	K07146
Cladocopium313770	K14682
Mcavernosa10347	K04968
Mcavernosa16839	K12840
Mcavernosa20714	K01510
Cladocopium370497	K10579
Cladocopium283547	K00108
Cladocopium84485	K04371
Mcavernosa03619	K10500
Mcavernosa17271	K12627
Cladocopium40464	K23164
Mcavernosa24879	K00966
Cladocopium160790	K15275
Mcavernosa05591	K02599
Cladocopium217564	K00939
Mcavernosa29091	K04539
Mcavernosa27340	K13159
Cladocopium271037	K12660
Cladocopium329658	K02350
Cladocopium49240	K06997
Cladocopium169924	K00101
Cladocopium46045	K07748
Mcavernosa07391	K05291
Mcavernosa31127	K00746
Mcavernosa27966	K03136
Cladocopium333452	K14830
Cladocopium96156	K07933
Cladocopium187466	K00681
Mcavernosa06893	K03127
Cladocopium287029	K08596
Cladocopium283792	K01885
Mcavernosa27447	K18411
Cladocopium171799	K01230
Cladocopium200288	K21989
Cladocopium255504	K13412
Cladocopium103114	K08798
Cladocopium49794	K22762
Cladocopium267886	K15377
Cladocopium267711	K19753
Mcavernosa14532	K04142
Mcavernosa07029	K02156
Cladocopium272702	K03637
Cladocopium244498	K10798
Cladocopium116911	K01054
Cladocopium313538	K01410
Mcavernosa28842	K02937
Mcavernosa35096	K21847
Cladocopium299904	K12818
Cladocopium295668	K14835
Mcavernosa06139	K07752
Mcavernosa07235	K23113
Cladocopium83486	K00131
Cladocopium97265	K05768
Mcavernosa25809	K01301
Cladocopium330103	K00872
Cladocopium282150	K02730
Cladocopium264242	K12460
Mcavernosa12375	K12385
Mcavernosa24491	K00365
Mcavernosa22455	K07130
Cladocopium301277	K01598
Mcavernosa01620	K05592
Cladocopium87803	K00101
Cladocopium360746	K12598
Mcavernosa25590	K19499
Mcavernosa16454	K04967
Mcavernosa07637	K00461
Cladocopium74740	K02295
Mcavernosa01695	K22390
Mcavernosa01484	K04957
Cladocopium58578	K09502
Cladocopium183666	K12960
Cladocopium294512	K16675
Mcavernosa06593	K05181
Mcavernosa08370	K16740
Cladocopium420340	K06213
Mcavernosa11896	K14072
Mcavernosa31431	K03066
Cladocopium69950	K12439
Cladocopium94812	K07263
Mcavernosa22890	K01298
Mcavernosa06349	K20647
Mcavernosa33416	K06766
Cladocopium269943	K05181
Cladocopium251567	K10380
Mcavernosa08331	K04249
Mcavernosa08235	K07868
Mcavernosa07897	K00850
Mcavernosa17867	K23166
Cladocopium182044	K01382
Cladocopium47147	K08337
Mcavernosa10121	K07868
Cladocopium272990	K20526
Cladocopium117291	K14809
Mcavernosa14991	K00728
Cladocopium210143	K00873
Mcavernosa11651	K04150
Cladocopium114473	K17498
Mcavernosa05344	K03377
Mcavernosa24325	K11323
Cladocopium225346	K11805
Cladocopium288192	K03272
Cladocopium309091	K13412
Mcavernosa30450	K01783
Cladocopium180462	K13525
Cladocopium203790	K15403
Mcavernosa28460	K08409
Mcavernosa00343	K07198
Cladocopium274296	K01886
Mcavernosa06769	K20526
Cladocopium81550	K01001
Cladocopium298060	K14157
Mcavernosa20785	K04157
Cladocopium338802	K03068
Mcavernosa20218	K07998
Mcavernosa10152	K06058
Mcavernosa26512	K20179
Cladocopium67549	K10878
Cladocopium276295	K09511
Mcavernosa25288	K19363
Mcavernosa02901	K08833
Mcavernosa14527	K12021
Cladocopium153159	K01070
Cladocopium184305	K10595
Mcavernosa23181	K18681
Mcavernosa19424	K16506
Mcavernosa29299	K10645
Mcavernosa15317	K00939
Cladocopium195679	K04515
Cladocopium103076	K01950
Cladocopium270739	K01648
Mcavernosa04097	K09317
Cladocopium147903	K02293
Mcavernosa07802	K07204
Cladocopium275258	K00703
Cladocopium268435	K15687
Cladocopium246285	K06133
Cladocopium328192	K17914
Mcavernosa35184	K08105
Cladocopium63908	K17600
Cladocopium419359	K10408
Cladocopium115462	K04421
Mcavernosa23832	K04659
Cladocopium272156	K05956
Mcavernosa14007	K15684
Cladocopium303250	K01315
Mcavernosa33917	K20051
Mcavernosa23172	K15179
Mcavernosa18998	K14323
Cladocopium175425	K20093
Cladocopium265001	K03264
Cladocopium207153	K10391
Cladocopium335561	K03844
Cladocopium308919	K13412
Cladocopium182369	K05592
Mcavernosa18438	K07151
Cladocopium120602	K10380
Mcavernosa07195	K16072
Mcavernosa16222	K00627
Cladocopium291206	K08582
Cladocopium408046	K04710
Mcavernosa09931	K14650
Cladocopium55139	K02371
Mcavernosa06681	K01077
Cladocopium271499	K15407
Cladocopium208754	K14454
Mcavernosa01327	K04442
Cladocopium332975	K10408
Mcavernosa05483	K05218
Cladocopium39157	K04371
Cladocopium65682	K13102
Cladocopium225655	K07376
Mcavernosa18481	K10302
Mcavernosa24771	K08844
Mcavernosa16307	K01697
Mcavernosa11242	K12375
Cladocopium298508	K00863
Cladocopium267260	K00558
Cladocopium267618	K03686
Cladocopium340548	K19589
Mcavernosa00087	K17592
Cladocopium279421	K09489
Cladocopium185489	K13126
Mcavernosa22233	K17253
Mcavernosa15449	K01204
Mcavernosa04346	K16857
Cladocopium328352	K10846
Cladocopium319839	K00898
Mcavernosa32346	K04936
Mcavernosa08366	K03237
Mcavernosa19312	K13342
Cladocopium220885	K19947
Mcavernosa26595	K10266
Cladocopium302235	K03063
Cladocopium175501	K00045
Mcavernosa16958	K17345
Mcavernosa24637	K03899
Cladocopium304855	K14806
Mcavernosa20104	K08635
Cladocopium63939	K09579
Cladocopium123011	K04885
Cladocopium207292	K13696
Cladocopium86522	K22763
Mcavernosa19632	K10601
Cladocopium266516	K13238
Cladocopium43171	K09553
Cladocopium156123	K01262
Cladocopium40265	K11982
Mcavernosa03111	K01047
Cladocopium81106	K14413
Cladocopium210337	K18422
Mcavernosa21734	K09702
Mcavernosa26725	K13377
Cladocopium285574	K09567
Cladocopium306313	K05658
Mcavernosa11035	K17543
Mcavernosa21958	K12847
Cladocopium217659	K19787
Cladocopium115085	K10799
Mcavernosa05534	K14317
Cladocopium117181	K18466
Cladocopium117119	K14962
Mcavernosa31629	K19511
Cladocopium218907	K08582
Cladocopium219053	K03737
Mcavernosa20555	K10380
Cladocopium322152	K17989
Mcavernosa16762	K02946
Mcavernosa01063	K03909
Cladocopium286891	K00434
Mcavernosa23612	K22754
Cladocopium68178	K03035
Mcavernosa31252	K01465
Cladocopium80255	K00324
Cladocopium64412	K04515
Cladocopium162020	K00451
Cladocopium91406	K12479
Cladocopium310682	K14863
Cladocopium296143	K04710
Cladocopium119260	K09640
Cladocopium268504	K22378
Mcavernosa06571	K13047
Mcavernosa00134	K00767
Cladocopium74036	K10446
Cladocopium302048	K06147
Cladocopium277051	K15111
Cladocopium227985	K11434
Mcavernosa00550	K14020
Cladocopium272386	K19329
Mcavernosa04815	K05658
Mcavernosa09403	K19932
Mcavernosa24272	K12021
Cladocopium201312	K00873
Cladocopium263954	K01507
Cladocopium169667	K00700
Mcavernosa23728	K12385
Mcavernosa06416	K00933
Mcavernosa27436	K15259
Cladocopium279751	K01179
Cladocopium213527	K05012
Mcavernosa33988	K05208
Cladocopium78699	K17609
Cladocopium51658	K13646
Cladocopium161136	K01487
Cladocopium122710	K05546
Cladocopium19825	K07767
Mcavernosa01574	K08815
Mcavernosa33851	K20358
Cladocopium266849	K12443
Mcavernosa08392	K00485
Cladocopium115424	K09705
Cladocopium306053	K03303
Cladocopium295710	K15423
Cladocopium16137	K08827
Cladocopium271610	K03678
Mcavernosa06451	K10582
Cladocopium190505	K01076
Cladocopium52870	K03675
Mcavernosa09723	K01565
Cladocopium349110	K00031
Cladocopium92859	K12818
Cladocopium31385	K07936
Cladocopium300771	K01850
Cladocopium34666	K20100
Mcavernosa34443	K03260
Mcavernosa15496	K01369
Mcavernosa27237	K22913
Mcavernosa15421	K07874
Cladocopium169888	K02973
Cladocopium237997	K13917
Cladocopium244236	K22377
Cladocopium84537	K21806
Cladocopium289230	K11103
Cladocopium116263	K02111
Cladocopium204737	K04460
Mcavernosa00931	K18586
Cladocopium80730	K00382
Cladocopium226419	K12598
Cladocopium81883	K07376
Mcavernosa22448	K13644
Cladocopium35005	K03768
Mcavernosa19105	K06134
Cladocopium231401	K13412
Cladocopium315792	K07890
Mcavernosa10459	K18134
Cladocopium154215	K03294
Cladocopium305462	K09553
Mcavernosa26758	K18274
Cladocopium270588	K12306
Mcavernosa25747	K21440
Cladocopium79880	K03686
Cladocopium174677	K11423
Mcavernosa05460	K15306
Cladocopium54631	K14994
Mcavernosa21605	K14572
Mcavernosa04394	K01253
Mcavernosa21147	K00942
Cladocopium117195	K01870
Cladocopium337614	K15336
Mcavernosa20501	K10308
Cladocopium272714	K05841
Cladocopium54595	K01210
Cladocopium120414	K01953
Cladocopium172177	K00434
Cladocopium239456	K06184
Mcavernosa32301	K02553
Mcavernosa07587	K01229
Mcavernosa16163	K04984
Cladocopium113863	K08582
Cladocopium196951	K08739
Mcavernosa10166	K05128
Mcavernosa28146	K00383
Cladocopium315115	K07511
Mcavernosa13254	K04809
Cladocopium316222	K03778
Cladocopium124628	K14811
Cladocopium40255	K15259
Cladocopium307676	K15498
Mcavernosa11763	K09321
Mcavernosa17995	K09459
Cladocopium235061	K01188
Cladocopium297373	K03798
Cladocopium122685	K14079
Cladocopium214756	K06147
Mcavernosa04026	K16796
Mcavernosa00160	K11716
Cladocopium192410	K00218
Mcavernosa09858	K00059
Mcavernosa32350	K05110
Mcavernosa08920	K17341
Cladocopium75020	K12835
Mcavernosa05399	K16753
Mcavernosa26266	K11886
Cladocopium211446	K13126
Cladocopium69891	K09459
Cladocopium48746	K12655
Mcavernosa22482	K05658
Cladocopium41419	K01749
Mcavernosa04151	K14165
Cladocopium264769	K02155
Cladocopium210769	K02108
Cladocopium45067	K04904
Cladocopium235957	K08582
Cladocopium266903	K10380
Mcavernosa01597	K04079
Cladocopium60906	K01135
Cladocopium284184	K08830
Cladocopium283272	K01599
Mcavernosa17581	K05888
Mcavernosa16436	K09373
Cladocopium117775	K00545
Mcavernosa20771	K09648
Mcavernosa28433	K11267
Cladocopium82051	K01338
Mcavernosa25490	K03265
Cladocopium55814	K12815
Cladocopium343034	K01178
Cladocopium48707	K14005
Mcavernosa20863	K11593
Cladocopium206148	K03165
Cladocopium114785	K17914
Cladocopium376204	K00265
Cladocopium103957	K08869
Cladocopium115690	K20216
Cladocopium241267	K14206
Mcavernosa08297	K08378
Mcavernosa13169	K05695
Mcavernosa21051	K16506
Cladocopium82847	K14411
Mcavernosa20086	K18533
Cladocopium212786	K12231
Cladocopium215873	K07115
Cladocopium117444	K05849
Cladocopium223317	K15083
Cladocopium364017	K09489
Cladocopium118795	K14155
Cladocopium263846	K02995
Cladocopium74537	K15292
Cladocopium282756	K11262
Mcavernosa30778	K07963
Cladocopium88379	K10590
Mcavernosa07296	K17094
Mcavernosa00469	K19755
Cladocopium124609	K13126
Cladocopium180473	K11121
Cladocopium52413	K11414
Cladocopium120144	K05643
Cladocopium324150	K06942
Cladocopium174587	K04855
Mcavernosa32848	K06699
Cladocopium187912	K10669
Cladocopium92172	K01735
Cladocopium48523	K03233
Cladocopium61923	K11166
Mcavernosa31637	K12835
Mcavernosa00672	K04874
Cladocopium296898	K00574
Cladocopium48892	K02258
Mcavernosa33951	K18464
Cladocopium339753	K10408
Cladocopium207129	K14785
Cladocopium273207	K00799
Cladocopium60455	K01074
Mcavernosa06702	K18627
Cladocopium116149	K01834
Mcavernosa31270	K23026
Mcavernosa26658	K10158
Mcavernosa25885	K10380
Mcavernosa15891	K19604
Mcavernosa20018	K12619
Cladocopium286527	K05665
Cladocopium307419	K17341
Cladocopium281579	K01873
Mcavernosa02326	K04135
Cladocopium189845	K22133
Cladocopium58310	K08582
Mcavernosa18514	K07023
Cladocopium31166	K01196
Cladocopium176549	K04874
Cladocopium264634	K01379
Cladocopium240573	K20843
Cladocopium170969	K03500
Cladocopium333157	K21358
Cladocopium99423	K12132
Mcavernosa32814	K06699
Cladocopium39050	K12443
Cladocopium76086	K15430
Mcavernosa26963	K07820
Mcavernosa34144	K05693
Mcavernosa34687	K21436
Mcavernosa17962	K06265
Cladocopium80639	K23025
Mcavernosa04433	K08076
Cladocopium218625	K01179
Cladocopium209737	K14274
Mcavernosa02659	K07962
Cladocopium36706	K08869
Cladocopium95032	K19750
Mcavernosa03975	K12160
Mcavernosa06685	K01077
Mcavernosa00514	K16506
Mcavernosa19854	K11852
Cladocopium170362	K01183
Mcavernosa15777	K19752
Cladocopium180544	K01265
Mcavernosa13726	K08518
Mcavernosa01051	K07936
Cladocopium162760	K11323
Cladocopium285852	K18460
Mcavernosa18036	K07889
Cladocopium39231	K04771
Mcavernosa17755	K15255
Mcavernosa21559	K08465
Cladocopium299030	K01069
Cladocopium259723	K12823
Cladocopium202351	K02471
Cladocopium317967	K00383
Cladocopium288527	K07399
Cladocopium155172	K08852
Cladocopium23925	K01802
Cladocopium80190	K14802
Mcavernosa09674	K03120
Cladocopium111759	K08900
Mcavernosa19908	K12311
Mcavernosa22769	K10370
Cladocopium22968	K06685
Cladocopium324912	K10356
Cladocopium317209	K15335
Cladocopium221780	K06994
Mcavernosa09071	K21413
Cladocopium62559	K09553
Mcavernosa05293	K17866
Mcavernosa28126	K23092
Cladocopium273403	K04464
Cladocopium299951	K21396
Mcavernosa24255	K08624
Cladocopium130666	K02885
Cladocopium220270	K19025
Cladocopium170337	K03686
Cladocopium165830	K00856
Cladocopium163310	K08794
Cladocopium114401	K00476
Cladocopium170239	K12823
Cladocopium166695	K08855
Mcavernosa26450	K10277
Mcavernosa02927	K16288
Mcavernosa06988	K00273
Mcavernosa03577	K08455
Cladocopium265264	K00953
Cladocopium272746	K13412
Mcavernosa29373	K06255
Mcavernosa27672	K08375
Mcavernosa28237	K19525
Mcavernosa15225	K16728
Mcavernosa16036	K09586
Cladocopium276465	K04515
Mcavernosa01777	K14797
Cladocopium63552	K01595
Cladocopium297556	K15046
Cladocopium265197	K07407
Cladocopium270033	K15103
Cladocopium37310	K06911
Mcavernosa10584	K10408
Cladocopium118732	K16310
Mcavernosa25014	K20298
Mcavernosa16697	K17680
Mcavernosa17912	K05888
Cladocopium297314	K13761
Mcavernosa31825	K15254
Mcavernosa17024	K08193
Mcavernosa24002	K12600
Mcavernosa22856	K05208
Cladocopium379922	K02328
Cladocopium272496	K21396
Mcavernosa09305	K19360
Cladocopium273891	K06941
Cladocopium226459	K01768
Mcavernosa15154	K17457
Cladocopium114527	K01120
Mcavernosa01832	K13912
Mcavernosa15220	K20349
Mcavernosa25424	K01201
Mcavernosa17429	K03909
Cladocopium258093	K16726
Cladocopium266161	K11703
Cladocopium275860	K09454
Cladocopium91715	K12041
Cladocopium336422	K06689
Mcavernosa02074	K00164
Mcavernosa32311	K04144
Mcavernosa09549	K21774
Mcavernosa22674	K15293
Cladocopium199474	K21991
Cladocopium19736	K00383
Mcavernosa15737	K19914
Cladocopium288028	K05677
Cladocopium84572	K22614
Cladocopium168013	K16726
Cladocopium303848	K03164
Cladocopium392151	K01648
Mcavernosa15118	K13046
Cladocopium264779	K03320
Cladocopium408675	K04598
Cladocopium269960	K23289
Mcavernosa00974	K08738
Mcavernosa16247	K05048
Cladocopium34548	K19329
Cladocopium86566	K10595
Cladocopium112716	K15047
Mcavernosa17382	K14676
Mcavernosa22055	K10359
Cladocopium116029	K17616
Mcavernosa08497	K02921
Cladocopium46862	K00726
Mcavernosa31037	K17804
Cladocopium88359	K10666
Mcavernosa02187	K06174
Mcavernosa11125	K16669
Cladocopium196493	K16538
Cladocopium101000	K14780
Cladocopium280524	K13412
Cladocopium118940	K17767
Cladocopium66749	K03455
Mcavernosa25329	K10086
Cladocopium55783	K14816
Mcavernosa07516	K04082
Mcavernosa06211	K03320
Mcavernosa33929	K16458
Cladocopium87147	K00476
Cladocopium40643	K01915
Cladocopium184969	K01148
Cladocopium294874	K01711
Mcavernosa32367	K22754
Cladocopium221866	K16075
Mcavernosa09868	K08056
Mcavernosa08837	K08045
Mcavernosa31017	K04825
Mcavernosa19970	K12869
Cladocopium308850	K15109
Mcavernosa17015	K01724
Mcavernosa20149	K05357
Mcavernosa32137	K04352
Cladocopium175117	K10423
Cladocopium208801	K14963
Cladocopium95144	K01850
Cladocopium96166	K08287
Cladocopium103921	K00914
Cladocopium57313	K14831
Cladocopium387002	K18408
Cladocopium25135	K03676
Cladocopium43336	K18749
Cladocopium287928	K05546
Cladocopium270206	K03235
Mcavernosa13145	K04984
Mcavernosa23163	K11341
Cladocopium286190	K01756
Mcavernosa01353	K18082
Mcavernosa08705	K12462
Mcavernosa28738	K09627
Mcavernosa18610	K19054
Cladocopium224237	K08582
Cladocopium45592	K03686
Cladocopium285156	K00163
Cladocopium94372	K18482
Mcavernosa21831	K18201
Cladocopium205312	K10277
Cladocopium37332	K01609
Mcavernosa22626	K15272
Cladocopium45878	K20032
Mcavernosa12303	K22861
Cladocopium230377	K00464
Mcavernosa12060	K16759
Cladocopium73840	K08869
Mcavernosa32431	K18025
Cladocopium249188	K06901
Cladocopium183816	K10799
Mcavernosa03762	K13176
Cladocopium100038	K02184
Cladocopium117883	K10799
Cladocopium299452	K09502
Mcavernosa14122	K12818
Cladocopium53109	K01611
Cladocopium187862	K05668
Mcavernosa11905	K13728
Cladocopium156056	K06119
Cladocopium316414	K10408
Cladocopium88136	K00164
Mcavernosa21113	K17592
Mcavernosa24502	K01880
Cladocopium307293	K03521
Cladocopium113665	K01535
Mcavernosa01170	K09370
Cladocopium103807	K03767
Cladocopium115590	K00645
Cladocopium186446	K01885
Mcavernosa33068	K01081
Cladocopium29502	K17278
Cladocopium332368	K02184
Cladocopium38217	K22647
Cladocopium176952	K12818
Cladocopium91968	K05791
Mcavernosa30937	K15255
Mcavernosa27241	K13171
Cladocopium267540	K01593
Cladocopium102169	K01866
Cladocopium53447	K15104
Cladocopium94560	K06911
Cladocopium164451	K06994
Mcavernosa24425	K08956
Mcavernosa13715	K14407
Mcavernosa29147	K12035
Mcavernosa27029	K09624
Cladocopium31234	K00471
Cladocopium182698	K01663
Cladocopium116834	K16726
Cladocopium284600	K19681
Cladocopium79821	K12236
Cladocopium88422	K01069
Cladocopium268558	K20347
Cladocopium218718	K00972
Cladocopium267631	K00600
Cladocopium114635	K06943
Mcavernosa14046	K06238
Cladocopium296147	K12440
Cladocopium268422	K10799
Mcavernosa25589	K19498
Mcavernosa04816	K05765
Cladocopium298734	K10144
Cladocopium190683	K04780
Mcavernosa28760	K02737
Mcavernosa24180	K09291
Cladocopium9434	K13126
Mcavernosa16216	K21396
Mcavernosa05570	K18258
Mcavernosa18763	K10143
Mcavernosa23932	K04501
Cladocopium118831	K04788
Cladocopium92298	K07556
Mcavernosa17219	K00659
Cladocopium53336	K01613
Cladocopium114182	K04730
Cladocopium295770	K01625
Mcavernosa20163	K16506
Mcavernosa22528	K11154
Mcavernosa18414	K10408
Mcavernosa19917	K08804
Cladocopium270757	K05010
Mcavernosa17032	K02879
Mcavernosa06580	K14616
Mcavernosa12012	K00463
Mcavernosa33576	K20187
Mcavernosa15807	K06092
Cladocopium52718	K13291
Cladocopium203272	K15654
Cladocopium113318	K00326
Cladocopium81953	K03737
Cladocopium58530	K05282
Mcavernosa24455	K03685
Cladocopium315572	K10396
Mcavernosa09407	K04612
Cladocopium160452	K02528
Cladocopium200153	K02218
Mcavernosa22722	K09502
Mcavernosa11696	K12132
Cladocopium187091	K22934
Mcavernosa34973	K04984
Mcavernosa13094	K08288
Cladocopium111038	K09592
Mcavernosa21943	K08202
Cladocopium273053	K21912
Mcavernosa22212	K00681
Cladocopium181934	K02183
Cladocopium113997	K01887
Mcavernosa33107	K01712
Cladocopium103374	K10357
Mcavernosa15790	K01768
Cladocopium230195	K04427
Cladocopium449388	K15083
Mcavernosa07150	K17759
Mcavernosa29959	K00546
Mcavernosa21490	K08187
Cladocopium244001	K13984
Mcavernosa04117	K12854
Mcavernosa20537	K09108
Cladocopium200376	K04646
Mcavernosa24964	K00315
Cladocopium176210	K18443
Cladocopium274407	K10666
Mcavernosa24298	K19360
Cladocopium46256	K06630
Cladocopium34234	K15731
Cladocopium338550	K10392
Cladocopium281286	K01802
Cladocopium267680	K14993
Mcavernosa23606	K14077
Cladocopium97501	K13293
Cladocopium116542	K02358
Cladocopium292893	K17732
Cladocopium309130	K17914
Cladocopium121063	K15334
Cladocopium204653	K01599
Mcavernosa11933	K04828
Mcavernosa14294	K14410
Cladocopium286642	K02528
Mcavernosa22729	K00344
Cladocopium230881	K04905
Cladocopium388952	K10408
Mcavernosa06106	K10457
Cladocopium153403	K21989
Mcavernosa09366	K02917
Cladocopium317321	K11628
Cladocopium95421	K11540
Cladocopium288851	K15377
Cladocopium279902	K02734
Mcavernosa07368	K01442
Cladocopium277760	K10454
Cladocopium225759	K08596
Cladocopium319333	K19801
Mcavernosa07254	K12323
Cladocopium269405	K09554
Cladocopium223625	K14844
Cladocopium173964	K03688
Cladocopium116608	K14848
Mcavernosa02020	K02201
Mcavernosa22764	K14395
Mcavernosa31727	K01637
Mcavernosa22234	K00799
Mcavernosa04314	K08814
Cladocopium153540	K18406
Cladocopium95900	K03798
Mcavernosa00352	K04615
Mcavernosa02484	K05858
Cladocopium215671	K00128
Mcavernosa15812	K10393
Cladocopium62702	K10570
Cladocopium46142	K14755
Mcavernosa29949	K01310
Cladocopium91656	K10585
Cladocopium20434	K12323
Cladocopium275345	K13348
Cladocopium57947	K01488
Mcavernosa03924	K15503
Cladocopium303545	K00626
Mcavernosa04134	K05360
Mcavernosa06065	K00602
