Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa12760	fibroblast growth factor binding
Mcavernosa04721	protein modification by small protein conjugation
Mcavernosa00397	Belongs to the PI3 PI4-kinase family
Mcavernosa21693	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Mcavernosa11415	Adenylyl- / guanylyl cyclase, catalytic domain
Mcavernosa04591	cell cycle
Mcavernosa20615	Calbindin
Mcavernosa20441	Belongs to the G-protein coupled receptor 2 family
Mcavernosa14126	It is involved in the biological process described with RNA processing
Mcavernosa17109	potassium voltage-gated channel
Mcavernosa08055	Belongs to the thioredoxin family
Mcavernosa08291	Serologically defined colon cancer antigen 3
Mcavernosa29954	regulation of cap-dependent translational initiation
Mcavernosa20040	activation of MAPKK activity
Mcavernosa05895	regulatory subunit 4
Mcavernosa22536	A Receptor for Ubiquitination Targets
Mcavernosa10287	GTPase activator activity
Mcavernosa20145	Universal stress protein family
Mcavernosa00408	-
Mcavernosa09428	negative regulation of TOR signaling
Mcavernosa02692	fibroblast growth factor-activated receptor activity
Mcavernosa29636	Leucine rich repeat containing 34
Mcavernosa06111	cyclin-dependent protein serine/threonine kinase inhibitor activity
Mcavernosa00332	hedgehog receptor activity
Mcavernosa20672	oxidation-reduction process
Mcavernosa30913	fructose-bisphosphate aldolase
Mcavernosa04392	mitochondrial transport
Mcavernosa01487	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
Mcavernosa02694	fibroblast growth factor-activated receptor activity
Mcavernosa24742	Glycine-rich domain-containing protein-like
Mcavernosa14227	base-excision repair
Mcavernosa20487	Solute carrier family 16 (monocarboxylic acid transporters), member 2
Mcavernosa21552	inositol monophosphate 3-phosphatase activity
Mcavernosa08287	-
Mcavernosa21572	ADP-ribosylation factor 4
Mcavernosa14239	Solute carrier family 35 member E1
Mcavernosa23889	GTP diphosphatase activity
Mcavernosa33019	cell cycle G1/S phase transition
Mcavernosa23153	tRNA wobble uridine modification
Mcavernosa06587	calcium ion binding
Mcavernosa28775	heme binding
Mcavernosa19196	Discoidin, CUB and LCCL
Mcavernosa08636	Rtf1, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)
Mcavernosa21772	abhydrolase domain-containing protein 15
Mcavernosa21962	meiotic chromosome condensation
Mcavernosa16180	protein modification by small protein conjugation
Mcavernosa00535	spermatogenesis
Mcavernosa05635	Ribosome maturation protein
Mcavernosa28018	Disrupted in renal carcinoma
Mcavernosa10417	negative regulation of fat cell proliferation
Mcavernosa15179	protein ubiquitination
Mcavernosa33528	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Mcavernosa05918	polysaccharide localization
Mcavernosa09646	process utilizing autophagic mechanism
Mcavernosa12556	negative regulation of fibroblast apoptotic process
Mcavernosa30782	histone demethylase activity (H3-monomethyl-K4 specific)
Mcavernosa15384	hedgehog receptor activity
Mcavernosa10632	HIstidiNe Triad nucleotide-binding protein
Mcavernosa20053	Belongs to the protein kinase superfamily. AGC Ser Thr protein kinase family. GPRK subfamily
Mcavernosa34373	cytoplasmic translation
Mcavernosa10922	glutathione peroxidase activity
Mcavernosa31224	ribosomal large subunit assembly
Mcavernosa18846	NFX1-type zinc finger-containing protein
Mcavernosa12281	Solute carrier family 26 member
Mcavernosa17353	member RAS oncogene family
Mcavernosa06792	ephrin receptor binding
Mcavernosa28776	Diacylglycerol kinase catalytic domain
Mcavernosa16882	voltage-gated potassium channel activity
Mcavernosa33884	MYB binding protein (P160) 1a
Mcavernosa00795	U3 snoRNA binding
Mcavernosa02784	ubiquitin-dependent endocytosis
Mcavernosa00528	Charged multivesicular body protein 3
Mcavernosa10042	reverse transcriptase
Mcavernosa13202	CTPase activity
Mcavernosa10743	tRNA 5'-leader removal
Mcavernosa06144	fibroblast growth factor-activated receptor activity
Mcavernosa00120	establishment of Sertoli cell barrier
Mcavernosa13225	positive regulation of proteasomal protein catabolic process
Mcavernosa20869	negative regulation of sequestering of triglyceride
Mcavernosa22551	Phospholipase A2
Mcavernosa19597	L-isoleucine transaminase activity
Mcavernosa08584	bicaudal D homolog
Mcavernosa28257	mitochondrial fission
Mcavernosa08139	radial pattern formation
Mcavernosa23959	cellular response to cell-matrix adhesion
Mcavernosa22832	chromatin organization
Mcavernosa33463	hippo signaling
Mcavernosa33186	DDB1 and CUL4 associated factor 12
Mcavernosa12054	regulation of DNA-dependent DNA replication initiation
Mcavernosa01364	mitotic DNA replication preinitiation complex assembly
Mcavernosa10798	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Mcavernosa16657	neurotrophin receptor activity
Mcavernosa18937	voltage-gated potassium channel activity
Mcavernosa31627	heme binding. It is involved in the biological process described with response to oxidative stress
Mcavernosa29855	Belongs to the MIP aquaporin (TC 1.A.8) family
Mcavernosa14170	succinate-hydroxymethylglutarate CoA-transferase activity
Mcavernosa20471	mitochondrial translational elongation
Mcavernosa09022	chondroitin-glucuronate 5-epimerase activity
Mcavernosa28059	stress-activated protein kinase signaling cascade
Mcavernosa19407	metalloendopeptidase activity
Mcavernosa14323	lipoprotein receptor-related protein
Mcavernosa28033	Zinc finger protein
Mcavernosa32199	cell-cell adhesion
Mcavernosa26566	2 iron, 2 sulfur cluster binding
Mcavernosa30981	helicase activity
Mcavernosa12507	Tight junction protein
Mcavernosa04041	TMEM192 family
Mcavernosa23248	acetylcholine-gated cation-selective channel activity
Mcavernosa07816	tachykinin receptor activity
Mcavernosa10103	protein serine/threonine kinase activity
Mcavernosa20519	nucleic acid binding
Mcavernosa06758	ADP-ribosylation factor family
Mcavernosa27570	cysteine desulfurase activity
Mcavernosa18916	Sodium leak channel, non-selective
Mcavernosa02172	metalloendopeptidase activity
Mcavernosa12039	CS domain
Mcavernosa13027	X-box binding protein 1
Mcavernosa07672	such methylation being required for the assembly and biogenesis of snRNP core particles. Specifically mediates the symmetric dimethylation of histone H4 'Arg-3' to form H4R3me2s. Plays a role in gene imprinting by being recruited by CTCFL at the H19 imprinted control region (ICR) and methylating histone H4 to form H4R3me2s, possibly leading to recruit DNA methyltransferases at these sites. May also play a role in embryonic stem cell (ESC) pluripotency. Also able to mediate the arginine methylation of histone H2A and myelin basic protein (MBP) in vitro
Mcavernosa22586	cysteine-type endopeptidase activity
Mcavernosa16378	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Mcavernosa05921	RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter
Mcavernosa08973	DNA binding
Mcavernosa06116	Werner syndrome
Mcavernosa02473	structural constituent of cuticle
Mcavernosa21913	GTP binding. It is involved in the biological process described with
Mcavernosa07877	alanyl-tRNA aminoacylation
Mcavernosa31949	G-protein coupled receptor activity
Mcavernosa03054	post-chaperonin tubulin folding pathway
Mcavernosa10296	calcium ion-regulated exocytosis of neurotransmitter
Mcavernosa04464	symporter activity
Mcavernosa10324	nuclease HARBI1-like
Mcavernosa06621	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa25367	solute:proton antiporter activity
Mcavernosa13376	FYVE, RhoGEF and PH
Mcavernosa29849	scavenger receptor activity
Mcavernosa05163	Vacuolar protein sorting-associated protein
Mcavernosa09013	-
Mcavernosa05810	phosphoprotein phosphatase activity
Mcavernosa31380	amine oxidase
Mcavernosa31207	D5 dopamine receptor binding
Mcavernosa31845	protein kinase A binding
Mcavernosa20188	bisphosphoglycerate 2-phosphatase activity
Mcavernosa10094	potassium channel modulatory factor 1
Mcavernosa25708	Tyrosine kinase, catalytic domain
Mcavernosa00007	CBX family C-terminal motif
Mcavernosa05914	skeletal muscle acetylcholine-gated channel clustering
Mcavernosa08494	-
Mcavernosa01073	methyltransferase activity
Mcavernosa17732	UPF0378 protein KIAA0100 homolog
Mcavernosa16647	catalytic activity. It is involved in the biological process described with metabolic process
Mcavernosa07379	regulation of transcription factor catabolic process
Mcavernosa23054	Domain of unknown function (DUF4796)
Mcavernosa21204	sodium-dependent L-ascorbate transmembrane transporter activity
Mcavernosa19124	positive regulation of hyaluranon cable assembly
Mcavernosa05562	negative regulation of nitric-oxide synthase activity
Mcavernosa00356	gamma-aminobutyric acid type B receptor subunit
Mcavernosa19288	positive regulation of DNA ligase activity
Mcavernosa12931	guanyl-nucleotide exchange factor activity. It is involved in the biological process described with positive regulation of neuron differentiation
Mcavernosa33868	RAB5A, member RAS oncogene family
Mcavernosa00038	Protein tyrosine kinase
Mcavernosa15352	Rho guanine nucleotide exchange factor
Mcavernosa00136	negative regulation of transcription from RNA polymerase II promoter involved in heart development
Mcavernosa17063	lipoprotein receptor-related protein
Mcavernosa05181	nucleologenesis
Mcavernosa12827	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Mcavernosa13742	CECR6/TMEM121 family
Mcavernosa32155	Ubiquitin specific peptidase 9, X-linked
Mcavernosa00415	nicotinate nucleotide biosynthetic process
Mcavernosa24388	calcineurin-NFAT signaling cascade
Mcavernosa27506	Amiloride-sensitive sodium channel
Mcavernosa32497	Solute carrier family 2, facilitated glucose transporter member 10
Mcavernosa01592	protein ADP-ribosylase activity
Mcavernosa26989	cell separation after cytokinesis
Mcavernosa04086	folate import across plasma membrane
Mcavernosa06583	mRNA, complete cds
Mcavernosa28551	positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
Mcavernosa30952	Sulfatase-modifying factor enzyme 1
Mcavernosa21364	protein ubiquitination
Mcavernosa18398	zinc transporter
Mcavernosa13749	lactation elevated
Mcavernosa09553	phosphatidylinositol-3,4-bisphosphate binding
Mcavernosa17245	O-methyltransferase activity
Mcavernosa33975	hydrolase activity
Mcavernosa10352	Sorting nexin family member 21
Mcavernosa28157	Redox-regulatory protein FAM213A
Mcavernosa07721	regulation of chromosome separation
Mcavernosa23543	Nucleolar protein
Mcavernosa16186	actin filament network formation
Mcavernosa23836	autophagy of host cells involved in interaction with symbiont
Mcavernosa22131	15-hydroxyprostaglandin dehydrogenase (NAD+) activity
Mcavernosa11726	Ankyrin repeat
Mcavernosa05677	Usher syndrome
Mcavernosa17685	oxidoreductase activity
Mcavernosa13121	RNA splicing
Mcavernosa04252	V-type proton ATPase subunit B
Mcavernosa33581	regulation of mast cell degranulation
Mcavernosa13218	Carboxylesterase family
Mcavernosa08949	regulation of embryonic development
Mcavernosa03971	double-strand break repair via alternative nonhomologous end joining
Mcavernosa02517	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Mcavernosa10724	DDE superfamily endonuclease
Mcavernosa16557	late endosome to vacuole transport
Mcavernosa28756	Enoyl-(Acyl carrier protein) reductase
Mcavernosa05886	nucleic acid binding
Mcavernosa05504	beta-2-glycoprotein
Mcavernosa16357	Senataxin
Mcavernosa14493	Phosphoethanolamine
Mcavernosa31834	WD domain, G-beta repeat
Mcavernosa17513	calcium ion binding
Mcavernosa00263	cardiac muscle cell proliferation
Mcavernosa32387	O-acetyltransferase activity
Mcavernosa13166	Domain of unknown function (DUF4062)
Mcavernosa30577	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Mcavernosa16117	methylmalonyl-CoA mutase activity
Mcavernosa22570	Tubulin/FtsZ family, GTPase domain
Mcavernosa10483	Tctex-1 family
Mcavernosa31328	structural constituent of ribosome
Mcavernosa06563	hydrolase activity
Mcavernosa18282	manganese ion binding
Mcavernosa04153	aurora kinase
Mcavernosa22146	iron ion binding
Mcavernosa01732	guanylate cyclase activity
Mcavernosa04006	LicD family
Mcavernosa14714	7 transmembrane receptor (rhodopsin family)
Mcavernosa02052	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Mcavernosa29566	mechanosensitive ion channel activity
Mcavernosa18070	negative regulation of RIG-I signaling pathway
Mcavernosa13000	hydrolase activity, acting on ester bonds
Mcavernosa03551	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Mcavernosa10805	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein
Mcavernosa06418	nuclear pore organization
Mcavernosa19462	Fukutin isoform
Mcavernosa08708	transporter activity
Mcavernosa19334	intracellular sodium activated potassium channel activity
Mcavernosa21314	Belongs to the G-protein coupled receptor 1 family
Mcavernosa05957	Ubiquitin carboxyl-terminal hydrolase
Mcavernosa31648	methionyl-tRNA aminoacylation
Mcavernosa26060	L-fuconate dehydratase activity
Mcavernosa27496	ATP-binding cassette sub-family A member 1-like
Mcavernosa09618	cap2 mRNA methylation
Mcavernosa22848	type B pancreatic cell proliferation
Mcavernosa09036	Tetratricopeptide repeat
